Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Educación superior;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Educación superior;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Educación superior;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación primaria e inferior;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación primaria e inferior;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación primaria e inferior;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación superior;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación superior;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Educación superior;2021;.
09 Burgos;09003 Adrada de Haza;;Total;Total;2023;185
09 Burgos;09003 Adrada de Haza;;Total;Total;2022;185
09 Burgos;09003 Adrada de Haza;;Total;Total;2021;184
09 Burgos;09003 Adrada de Haza;;Total;Educación primaria e inferior;2023;46
09 Burgos;09003 Adrada de Haza;;Total;Educación primaria e inferior;2022;47
09 Burgos;09003 Adrada de Haza;;Total;Educación primaria e inferior;2021;54
09 Burgos;09003 Adrada de Haza;;Total;Primera etapa de Educación Secundaria y similar;2023;49
09 Burgos;09003 Adrada de Haza;;Total;Primera etapa de Educación Secundaria y similar;2022;53
09 Burgos;09003 Adrada de Haza;;Total;Primera etapa de Educación Secundaria y similar;2021;51
09 Burgos;09003 Adrada de Haza;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;44
09 Burgos;09003 Adrada de Haza;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;42
09 Burgos;09003 Adrada de Haza;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;35
09 Burgos;09003 Adrada de Haza;;Total;Educación superior;2023;46
09 Burgos;09003 Adrada de Haza;;Total;Educación superior;2022;43
09 Burgos;09003 Adrada de Haza;;Total;Educación superior;2021;44
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2023;90
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2022;90
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2021;91
09 Burgos;09003 Adrada de Haza;;Hombres;Educación primaria e inferior;2023;20
09 Burgos;09003 Adrada de Haza;;Hombres;Educación primaria e inferior;2022;19
09 Burgos;09003 Adrada de Haza;;Hombres;Educación primaria e inferior;2021;22
09 Burgos;09003 Adrada de Haza;;Hombres;Primera etapa de Educación Secundaria y similar;2023;31
09 Burgos;09003 Adrada de Haza;;Hombres;Primera etapa de Educación Secundaria y similar;2022;34
09 Burgos;09003 Adrada de Haza;;Hombres;Primera etapa de Educación Secundaria y similar;2021;34
