Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
49 Zamora;49002 Abezames;;Mujeres;Educación primaria e inferior;2023;7
49 Zamora;49002 Abezames;;Mujeres;Educación primaria e inferior;2022;8
49 Zamora;49002 Abezames;;Mujeres;Educación primaria e inferior;2021;10
49 Zamora;49002 Abezames;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;1
49 Zamora;49002 Abezames;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;1
49 Zamora;49002 Abezames;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;1
49 Zamora;49002 Abezames;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;5
49 Zamora;49002 Abezames;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;5
49 Zamora;49002 Abezames;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;4
49 Zamora;49002 Abezames;;Mujeres;Educación superior;2023;13
49 Zamora;49002 Abezames;;Mujeres;Educación superior;2022;14
49 Zamora;49002 Abezames;;Mujeres;Educación superior;2021;13
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2023;60
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2022;60
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2021;56
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Educación primaria e inferior;2023;13
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Educación primaria e inferior;2022;15
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Educación primaria e inferior;2021;16
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;13
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;14
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;13
