Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
05 Ávila;05001 Adanero;;Mujeres;Educación primaria e inferior;2023;21
05 Ávila;05001 Adanero;;Mujeres;Educación primaria e inferior;2022;25
05 Ávila;05001 Adanero;;Mujeres;Educación primaria e inferior;2021;23
05 Ávila;05001 Adanero;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;28
05 Ávila;05001 Adanero;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;31
05 Ávila;05001 Adanero;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;34
05 Ávila;05001 Adanero;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;17
05 Ávila;05001 Adanero;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;17
05 Ávila;05001 Adanero;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;11
05 Ávila;05001 Adanero;;Mujeres;Educación superior;2023;18
05 Ávila;05001 Adanero;;Mujeres;Educación superior;2022;21
05 Ávila;05001 Adanero;;Mujeres;Educación superior;2021;19
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2023;198
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2022;210
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2021;190
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación primaria e inferior;2023;42
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación primaria e inferior;2022;50
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación primaria e inferior;2021;44
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;70
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;73
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;71
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;42
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;41
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;34
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación superior;2023;44
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación superior;2022;46
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Educación superior;2021;41
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Total;2023;114
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Total;2022;116
