Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2023;37.577
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2022;35.445
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2021;34.031
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2020;31.594
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por hogar;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2023;16.964
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2022;15.697
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2021;14.786
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2020;13.993
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Renta neta media por persona;2016;.
