Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2017;16.357
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2016;15.685
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2015;14.752
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2023;17.850
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2022;18.550
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2021;17.150
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2020;15.400
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2019;15.050
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2018;15.750
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2017;15.400
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Mediana de la renta por unidad de consumo;2016;15.050
