Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2023;27.960
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2022;26.149
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2021;26.776
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2020;25.359
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2019;25.740
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2018;24.978
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2017;24.530
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2016;22.994
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por hogar;2015;23.118
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2023;18.929
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2022;17.769
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2021;17.881
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2020;16.868
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2019;16.577
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2018;16.056
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2017;15.474
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2016;15.098
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Media de la renta por unidad de consumo;2015;15.227
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2023;17.850
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2022;15.750
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2021;16.450
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2020;15.050
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2019;14.700
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2018;13.650
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2017;12.250
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2016;11.550
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Mediana de la renta por unidad de consumo;2015;12.600
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2023;16.072
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2022;14.911
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2021;14.807
