Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
05002 Adrada, La;;;Media de la renta por unidad de consumo;2018;12.833
05002 Adrada, La;;;Media de la renta por unidad de consumo;2017;12.310
05002 Adrada, La;;;Media de la renta por unidad de consumo;2016;11.569
05002 Adrada, La;;;Media de la renta por unidad de consumo;2015;11.311
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2023;14.350
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2022;13.650
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2021;12.950
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2020;12.250
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2019;11.550
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2018;10.850
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2017;10.150
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2016;10.150
05002 Adrada, La;;;Mediana de la renta por unidad de consumo;2015;9.450
05002 Adrada, La;;;Renta bruta media por persona;2023;13.434
05002 Adrada, La;;;Renta bruta media por persona;2022;12.492
05002 Adrada, La;;;Renta bruta media por persona;2021;12.009
05002 Adrada, La;;;Renta bruta media por persona;2020;11.618
05002 Adrada, La;;;Renta bruta media por persona;2019;10.671
05002 Adrada, La;;;Renta bruta media por persona;2018;10.040
05002 Adrada, La;;;Renta bruta media por persona;2017;9.554
05002 Adrada, La;;;Renta bruta media por persona;2016;9.074
05002 Adrada, La;;;Renta bruta media por persona;2015;8.758
05002 Adrada, La;;;Renta bruta media por hogar;2023;30.351
05002 Adrada, La;;;Renta bruta media por hogar;2022;27.695
05002 Adrada, La;;;Renta bruta media por hogar;2021;26.439
05002 Adrada, La;;;Renta bruta media por hogar;2020;26.406
05002 Adrada, La;;;Renta bruta media por hogar;2019;25.015
05002 Adrada, La;;;Renta bruta media por hogar;2018;23.692
05002 Adrada, La;;;Renta bruta media por hogar;2017;22.487
05002 Adrada, La;;;Renta bruta media por hogar;2016;21.553
05002 Adrada, La;;;Renta bruta media por hogar;2015;20.974
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2023;11.531
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2022;10.657
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2021;10.304
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2020;10.026
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2019;9.297
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2018;8.757
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2017;8.378
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2016;7.969
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por persona;2015;7.730
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2023;26.052
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2022;23.626
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2021;22.685
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2020;22.788
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2019;21.796
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2018;20.664
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2017;19.719
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2016;18.930
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta neta media por hogar;2015;18.513
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2023;16.417
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2022;15.617
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2021;14.795
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2020;14.475
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2019;13.749
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2018;12.833
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2017;12.310
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2016;11.569
05002 Adrada, La;0500201 Adrada, La distrito 01;;Media de la renta por unidad de consumo;2015;11.311
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2023;14.350
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2022;13.650
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2021;12.950
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2020;12.250
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2019;11.550
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2018;10.850
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2017;10.150
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2016;10.150
05002 Adrada, La;0500201 Adrada, La distrito 01;;Mediana de la renta por unidad de consumo;2015;9.450
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2023;13.434
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2022;12.492
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2021;12.009
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2020;11.618
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2019;10.671
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2018;10.040
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2017;9.554
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2016;9.074
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por persona;2015;8.758
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2023;30.351
