Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: pensiones;2019;27,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: pensiones;2018;26,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: pensiones;2017;25,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: pensiones;2016;28,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: pensiones;2015;29,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;4,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;5,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;2,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;2,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;2,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2023;3,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2022;4,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2021;5,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2020;6,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2019;6,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2018;6,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2017;5,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2016;4,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otras prestaciones;2015;4,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otros ingresos;2023;14,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Fuente de ingreso: otros ingresos;2022;13,9
