Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: pensiones;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otras prestaciones;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: otros ingresos;2015;.
34003 Abia de las Torres;;;Fuente de ingreso: salario;2023;48,7
34003 Abia de las Torres;;;Fuente de ingreso: salario;2022;48,5
34003 Abia de las Torres;;;Fuente de ingreso: salario;2021;46
34003 Abia de las Torres;;;Fuente de ingreso: salario;2020;49,7
34003 Abia de las Torres;;;Fuente de ingreso: salario;2019;54,7
34003 Abia de las Torres;;;Fuente de ingreso: salario;2018;52,8
34003 Abia de las Torres;;;Fuente de ingreso: salario;2017;55
34003 Abia de las Torres;;;Fuente de ingreso: salario;2016;52,6
34003 Abia de las Torres;;;Fuente de ingreso: salario;2015;51,4
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2023;23,9
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2022;20,8
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2021;18,9
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2020;18,4
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2019;17,5
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2018;17,4
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2017;17,7
34003 Abia de las Torres;;;Fuente de ingreso: pensiones;2016;20,7
