CUSEC_origen;ceas_id;CUSEC_servicio;distancia
0509301001;16;0524101002;20100,656
0509401001;8;0506501001;8636,866
0509401001;4;0513501001;23001,835
0509401001;135;3724602001;18936,845
0509501001;9;0500201002;12492,686
0509501001;10;0524002001;5379,850
0509501001;14;0504101001;22849,839
0509501001;21;0505401001;16110,068
0509501001;13;0505701001;27694,873
0509501001;16;0524101002;22165,925
0509601001;4;0513501001;9953,356
0509601001;2;0501901001;27422,494
0509601001;3;0501904004;27112,929
0509601001;22;0501904010;27343,350
0509601001;14;0504101001;21562,415
0509601001;21;0505401001;29274,797
0509601001;18;0516501001;22492,735
0509701001;5;0502101002;9225,061
0509701001;17;0518601001;11956,011
0509701001;123;3704602001;25941,183
0509701001;126;3715601002;22368,529
0509901001;7;0511402001;6392,614
0509901001;8;0506501001;26143,461
0509901001;135;3724602001;20443,411
0510001001;12;0513201001;11757,888
0510001001;18;0516501001;9796,346
0510001001;11;0501401001;7023,563
0510001001;20;0504703001;19680,168
0510001001;17;0518601001;29169,841
0510101001;18;0516501001;12592,053
0510101001;9;0500201002;29931,699
0510101001;14;0504101001;17838,440
0510101001;21;0505401001;21583,589
0510101001;12;0513201001;21517,432
0510101001;4;0513501001;21597,125
0510101001;11;0501401001;23316,247
0510201001;13;0505701001;9926,037
0510201001;15;0516801001;13523,542
0510201001;16;0524101002;14841,397
0510201001;9;0500201002;29773,649
0510201002;13;0505701001;7606,860
0510201002;16;0524101002;13110,387
0510201002;9;0500201002;26689,890
0510201002;2;0501901001;26849,427
0510201002;1;0501903002;29084,879
0510201002;3;0501904004;26259,627
0510201002;22;0501904010;25697,769
0510201002;15;0516801001;15355,084
0510201002;10;0524002001;29899,371
0510301001;5;0502101002;14403,788
0510301001;17;0518601001;6133,925
0510301001;18;0516501001;27700,427
0510301001;126;3715601002;25166,242
0510401001;18;0516501001;7684,282
0510401001;5;0502101002;26112,159
0510401001;20;0504703001;27544,307
0510401001;12;0513201001;24211,325
0510401001;4;0513501001;29635,354
0510401001;17;0518601001;15989,089
