CUSEC,dist_min_ceas_km,n_ceas_1km,n_ceas_5km,n_ceas_15km,n_ceas_30km,disp_ponderada_ceas
0508301001,9.69917343933487,0,0,4,7,1.5
0508401001,9.769252737177743,0,0,1,4,0.6000000000000001
0508501001,10.944167633679246,0,0,1,2,0.4
0508601001,8.913099270876366,0,0,2,3,0.7
0508701001,14.120327733027056,0,0,2,7,1.1
0508801001,10.803662928897191,0,0,1,7,0.9000000000000001
0508901001,5.088917037961814,0,0,3,4,0.9999999999999999
0509001001,10.013399018708137,0,0,2,3,0.7
0509201001,11.98907968981948,0,0,1,7,0.9000000000000001
0509301001,14.551622723924515,0,0,1,9,1.1
0509401001,8.636865568616326,0,0,1,3,0.5
0509501001,5.379849780295474,0,0,2,6,1.0
0509601001,9.95335572672325,0,0,1,7,0.9000000000000001
0509701001,9.225060827956158,0,0,2,4,0.8
0509901001,6.392614346454267,0,0,1,3,0.5
0510001001,7.023562706279401,0,0,3,5,1.0999999999999999
0510101001,12.592053029921928,0,0,1,7,0.9000000000000001
0510201001,9.92603659345231,0,0,3,4,0.9999999999999999
0510201002,7.6068601414742885,0,0,2,9,1.3
0510301001,6.133924742502286,0,0,2,4,0.8
0510401001,7.6842815109542455,0,0,1,7,0.9000000000000001
0510501001,5.601342000054742,0,0,1,6,0.8
0510601001,6.2885729522552305,0,0,1,7,0.9000000000000001
0510701001,11.681130383748455,0,0,1,3,0.5
0510801001,7.79662015776724,0,0,1,4,0.6000000000000001
0510901001,14.043736162610877,0,0,1,4,0.6000000000000001
0511001001,6.255634384769606,0,0,2,6,1.0
0511201001,5.050381444499141,0,0,1,4,0.6000000000000001
0511301001,3.7292865527633303,0,1,1,4,0.9
0511401001,4.061054490917932,0,1,1,6,1.1
0511402001,0.0,1,1,1,5,1.4
0511501001,8.943398488999392,0,0,1,5,0.7
0511601001,5.373061283851886,0,0,1,5,0.7
0511701001,7.966444321160058,0,0,1,4,0.6000000000000001
0511801001,13.876507294509407,0,0,1,3,0.5
0511901001,9.258349058513843,0,0,1,3,0.5
0512001001,11.374890908956822,0,0,4,7,1.5
0512101001,7.348433317399159,0,0,4,7,1.5
0512201001,17.68563096506044,0,0,0,4,0.4
0512301001,11.6493706176255,0,0,4,7,1.5
0512401001,13.235048112056754,0,0,2,4,0.8
0512501001,10.85317946933104,0,0,1,4,0.6000000000000001
0512601001,5.628018911365214,0,0,1,4,0.6000000000000001
0512701001,5.244435797055532,0,0,2,7,1.1
0512801001,7.729711066147057,0,0,4,6,1.4
0512901001,10.959339436684624,0,0,1,3,0.5
0513001001,14.763814406201409,0,0,2,8,1.2000000000000002
0513101001,16.3916629269977,0,0,0,3,0.30000000000000004
0513201001,0.0,1,1,2,6,1.7000000000000002
0513301001,11.494478981748207,0,0,2,7,1.1
0513401001,8.592975750244292,0,0,1,4,0.6000000000000001
0513501001,0.0,1,1,1,7,1.6
0513601001,12.421058063371692,0,0,1,7,0.9000000000000001
0513801001,9.891321304526128,0,0,1,7,0.9000000000000001
0513901001,5.5530576639351885,0,0,1,7,0.9000000000000001
0514001001,6.906870038099014,0,0,1,9,1.1
0514101001,10.073175020399605,0,0,4,7,1.5
0514201001,8.652825108043057,0,0,1,3,0.5
0514301001,6.3215212291844445,0,0,1,4,0.6000000000000001
0514401001,16.053370722353257,0,0,0,3,0.30000000000000004
0514501001,10.080435780022738,0,0,1,6,0.8
0514701001,7.59463670638741,0,0,2,4,0.8
0514801001,7.01632579674636,0,0,1,6,0.8
0514901001,8.78258258830023,0,0,1,8,1.0
0515101001,15.033006794171017,0,0,0,3,0.30000000000000004
0515201001,10.256930851398787,0,0,1,4,0.6000000000000001
0515301001,10.358650051889759,0,0,1,4,0.6000000000000001
0515401001,8.254707459003546,0,0,1,6,0.8
0515501001,6.687530237980112,0,0,1,4,0.6000000000000001
0515601001,7.750559008600393,0,0,4,6,1.4
0515701001,16.114676834414656,0,0,0,7,0.7000000000000001
0515801001,8.64561570451241,0,0,1,11,1.3
0515901001,12.51026185898009,0,0,1,4,0.6000000000000001
0516001001,12.331440949559376,0,0,1,7,0.9000000000000001
0516101001,11.758209075005455,0,0,1,7,0.9000000000000001
0516201001,13.900272507033906,0,0,1,6,0.8
0516301001,5.026245347067826,0,0,3,8,1.4
0516301002,7.589314445003415,0,0,3,9,1.5
0516401001,12.595247758254493,0,0,1,7,0.9000000000000001
0516501001,0.0,1,1,1,8,1.7000000000000002
0516601001,7.550225800740245,0,0,1,11,1.3
0516701001,8.727092881178754,0,0,2,8,1.2000000000000002
0516801001,0.0,1,1,1,3,1.2
0516801002,2.1575963326012038,0,1,1,3,0.8
0516802001,5.545875767211556,0,0,1,7,0.9000000000000001
0516802002,5.961610466178878,0,0,1,3,0.5
0516901001,7.0200940086157235,0,0,2,10,1.4
0517001001,4.369934516225652,0,1,1,4,0.9
0517101001,11.12818684544144,0,0,3,5,1.0999999999999999
0517201001,13.811399077237622,0,0,3,6,1.2
0517301001,15.636754447590707,0,0,0,6,0.6000000000000001
0517401001,11.566892756205354,0,0,2,2,0.6
0517501001,16.43179005803837,0,0,0,7,0.7000000000000001
0517601001,13.766218435732712,0,0,4,7,1.5
0517701001,5.828456087244642,0,0,1,5,0.7
0517801001,4.438537940381128,0,1,1,5,1.0
0517901001,11.195538435795712,0,0,1,8,1.0
0518001001,7.488409870951037,0,0,1,7,0.9000000000000001
0518101001,20.239901436450047,0,0,0,3,0.30000000000000004
0518201001,9.121680786350469,0,0,2,7,1.1
0518301001,17.043644273619808,0,0,0,5,0.5
0518401001,7.775958031792768,0,0,1,2,0.4
0518501001,11.344015984487367,0,0,1,6,0.8
0518601001,0.0,1,1,1,3,1.2
0518701001,5.298858154762489,0,0,4,7,1.5
0518702001,5.108070702820404,0,0,4,7,1.5
0518801001,6.1753479966339855,0,0,1,3,0.5
0518901001,7.751326923058223,0,0,3,4,0.9999999999999999
0519001001,11.965886109718637,0,0,2,6,1.0
0519101001,7.741187003246043,0,0,1,3,0.5
0519201001,13.922527993340886,0,0,1,2,0.4
0519301001,6.977663548821725,0,0,1,4,0.6000000000000001
0519401001,14.617728619434065,0,0,1,7,0.9000000000000001
0519501001,12.952910282578998,0,0,3,10,1.6
0519601001,4.337307338839245,0,1,1,3,0.8
0519701001,10.036533190824448,0,0,4,6,1.4
0519801001,9.617513848757934,0,0,2,3,0.7
0519901001,8.26764925611711,0,0,2,5,0.9
0520001001,3.897552951032779,0,1,1,4,0.9
0520101001,9.47679433994987,0,0,2,8,1.2000000000000002
0520401001,0.0,1,1,1,6,1.5
0520501001,14.934782515731433,0,0,1,6,0.8
0520601001,7.136435086889375,0,0,4,5,1.3
0520701001,8.955331832775997,0,0,2,6,1.0
0520801001,11.932310203276307,0,0,2,5,0.9
0520901001,15.942522225917775,0,0,0,3,0.30000000000000004
0521001001,12.492551223325767,0,0,1,7,0.9000000000000001
0521101001,12.33688614229725,0,0,2,10,1.4
0521201001,10.56739974124168,0,0,1,9,1.1
0521301001,5.774054394790985,0,0,1,3,0.5
0521401001,2.5464518140279453,0,1,1,4,0.9
0521501001,10.004559796943399,0,0,2,6,1.0
0521601001,6.319137189623331,0,0,1,7,0.9000000000000001
0521701001,5.575559656229285,0,0,1,4,0.6000000000000001
0521801001,23.74021309367692,0,0,0,4,0.4
0521901001,13.311002626696943,0,0,1,7,0.9000000000000001
0522001001,11.295920107587929,0,0,1,7,0.9000000000000001
0522101001,0.8945025992232486,1,1,2,6,1.7000000000000002
0522201001,14.20283833326841,0,0,1,11,1.3
0522401001,7.036024946982609,0,0,1,7,0.9000000000000001
0522501001,7.7063069769729085,0,0,1,3,0.5
0522601001,5.815428399156687,0,0,2,5,0.9
0522701001,4.65407628411409,0,1,3,6,1.5
0522801001,4.74156960250721,0,1,1,3,0.8
0522901001,11.65436239542938,0,0,2,6,1.0
0523001001,9.957145443203931,0,0,1,7,0.9000000000000001
0523101001,14.838162169786768,0,0,1,4,0.6000000000000001
0523201001,7.693135121507984,0,0,4,7,1.5
0523301001,11.959873980040314,0,0,2,7,1.1
0523401001,7.855746760802148,0,0,1,7,0.9000000000000001
0523501001,9.946081364791365,0,0,1,6,0.8
0523601001,11.90864061258659,0,0,2,3,0.7
0523701001,13.230699702228215,0,0,1,7,0.9000000000000001
0523801001,11.007987837536199,0,0,1,8,1.0
0523901001,15.600823191786688,0,0,0,9,0.9
0524001001,4.415297984295339,0,2,4,6,1.9999999999999998
0524002001,0.0,1,1,2,6,1.7000000000000002
0524101001,2.3094287962494464,0,1,4,7,1.8
0524101002,0.0,1,1,2,7,1.8
0524201001,12.360686729184678,0,0,2,4,0.8
0524301001,11.291741076844591,0,0,2,6,1.0
0524401001,5.399622019149207,0,0,1,4,0.6000000000000001
0524501001,8.506140297185356,0,0,4,9,1.7
0524601001,12.593793840696176,0,0,1,3,0.5
0524701001,4.86098410217783,0,1,1,7,1.2000000000000002
0524901001,7.142157434710988,0,0,1,4,0.6000000000000001
0525101001,9.358635351939602,0,0,1,3,0.5
0525201001,7.882086661892333,0,0,1,6,0.8
0525301001,8.61361717787263,0,0,1,7,0.9000000000000001
0525401001,5.340473100679109,0,0,1,6,0.8
0525601001,14.338188047518804,0,0,1,7,0.9000000000000001
0525701001,14.659046935207495,0,0,1,3,0.5
0525801001,9.590107681808373,0,0,1,7,0.9000000000000001
0525901001,12.701584152925463,0,0,2,4,0.8
0526001001,14.540675597129159,0,0,1,3,0.5
0526101001,8.809150008477522,0,0,2,4,0.8
0526201001,11.378537634761011,0,0,2,6,1.0
0526301001,9.95408728377697,0,0,1,3,0.5
0526401001,4.015070391574688,0,1,1,8,1.3
0526501001,4.997999259110528,0,1,1,5,1.0
0526601001,15.02365499378676,0,0,0,2,0.2
0526701001,17.400422070732635,0,0,0,6,0.6000000000000001
0590101001,10.616981395365457,0,0,1,6,0.8
0590201001,17.515132493335198,0,0,0,7,0.7000000000000001
0590301001,22.02553997688456,0,0,0,4,0.4
0590401001,11.635701094417039,0,0,2,5,0.9
0590501001,4.297084007225623,0,1,2,8,1.5
0900101001,9.90056847644722,0,0,1,6,0.8
0900301001,6.8792765536463545,0,0,4,5,1.3
0900601001,9.370740534824337,0,0,2,7,1.1
0900701001,5.631741165446718,0,0,2,6,1.0
0900901001,7.777607277810812,0,0,10,11,3.1
0901001001,9.76556517139348,0,0,2,8,1.2000000000000002
0901101001,20.708383963818903,0,0,0,2,0.2
0901201001,28.963295324603422,0,0,0,1,0.1
0901301001,6.695458242289171,0,0,3,6,1.2
0901401001,9.94292252601367,0,0,1,6,0.8
0901601001,5.586388449839726,0,0,3,6,1.2
0901701001,6.403451798253962,0,0,1,6,0.8
0901801001,0.4088048659660269,2,2,3,4,2.4
0901801002,0.4669801449043771,2,2,3,4,2.4
0901801003,0.7152845371439038,1,2,3,4,2.0
0901801004,0.9739778059962666,1,2,3,4,2.0
0901801005,0.819767526283443,1,2,3,4,2.0
0901801006,1.1975651250636952,0,2,3,4,1.6
0901801007,0.11880556852504016,2,2,3,4,2.4
0901801008,0.14003140456292149,2,2,3,4,2.4
0901801009,0.0,2,2,3,4,2.4
0901802001,0.6913333979739805,2,2,3,4,2.4
0901802002,0.4818338972330099,2,2,3,4,2.4
0901802003,0.2828789554645131,2,2,3,4,2.4
0901802004,0.0,2,2,3,4,2.4
0901802005,4.948773054114695,0,1,3,4,1.3
0901803001,0.2714666598096431,2,2,3,4,2.4
0901803002,0.3676954273377293,2,2,3,4,2.4
0901803003,0.8080108380388435,1,2,3,4,2.0
0901803004,0.6379878788080171,1,2,3,4,2.0
0901803005,4.054127277385371,0,2,3,5,1.7
0901803006,0.5784251258751043,1,2,3,4,2.0
0901803007,0.6195436445854665,1,2,3,4,2.0
0901803008,0.42302556987995865,2,2,3,4,2.4
0901901001,11.788270528983245,0,0,1,3,0.5
0902001001,8.60060496830437,0,0,1,3,0.5
0902101001,6.754177367339207,0,0,1,5,0.7
0902201001,8.830798257844572,0,0,1,4,0.6000000000000001
0902301001,10.230708037160777,0,0,10,12,3.2
0902401001,9.490371029377785,0,0,2,6,1.0
0902501001,31.59530533172188,0,0,0,0,0.0
0902601001,19.289981830241427,0,0,0,11,1.1
0902701001,16.333494351715984,0,0,0,12,1.2000000000000002
0902901001,13.501171443183301,0,0,3,12,1.7999999999999998
0903001001,17.52275277836052,0,0,0,11,1.1
0903201001,7.969706031577172,0,0,1,2,0.4
0903301001,12.94706431688468,0,0,1,5,0.7
0903401001,13.431853932310188,0,0,1,5,0.7
0903501001,15.327017570726277,0,0,0,5,0.5
0903601001,5.379789797265375,0,0,2,4,0.8
0903701001,19.270214751586746,0,0,0,3,0.30000000000000004
0903801001,7.361884649482304,0,0,1,3,0.5
0903901001,9.187490412109804,0,0,1,2,0.4
0904101001,7.394495379383425,0,0,2,8,1.2000000000000002
0904301001,8.376191134060704,0,0,2,6,1.0
0904401001,18.620194956827454,0,0,0,12,1.2000000000000002
0904501001,17.861545102884246,0,0,0,4,0.4
0904601001,7.757335572251666,0,0,1,3,0.5
0904701001,5.428022729608332,0,0,1,5,0.7
0904801001,0.0,1,1,1,3,1.2
0904801002,0.37961521023730843,1,1,1,3,1.2
0905001001,27.31554426257375,0,0,0,4,0.4
0905101001,5.668641998929015,0,0,4,5,1.3
0905201001,8.641849499042554,0,0,3,7,1.2999999999999998
0905401001,10.242984536765867,0,0,2,6,1.0
0905501001,13.40420085621546,0,0,1,4,0.6000000000000001
0905601001,3.444850700245444,0,1,1,5,1.0
0905601002,0.0,1,1,1,4,1.3
0905601003,3.4270946102502386,0,1,1,6,1.1
0905601004,2.61101130837827,0,1,1,5,1.0
0905701001,6.687086457250762,0,0,3,5,1.0999999999999999
0905801001,7.859071213248364,0,0,10,13,3.3
0905901001,0.28106420211910665,5,9,9,11,7.6000000000000005
0905901002,0.29059149941587165,3,9,9,11,6.8
0905902001,0.252703099034701,2,9,9,11,6.4
0905902002,0.20799842917441932,2,9,9,11,6.4
0905902003,0.33858234167818174,2,9,9,11,6.4
0905902004,0.0,2,9,9,11,6.4
0905902005,0.22924766915453854,2,9,9,11,6.4
0905903001,0.5984426635708626,5,9,9,11,7.6000000000000005
0905903002,0.35763779135730567,5,9,9,11,7.6000000000000005
0905903003,0.3247575127044206,1,9,9,11,6.0
0905903004,0.5941042406166863,1,9,9,11,6.0
0905903005,3.5996224138038855,0,5,9,12,4.5
0905903006,0.9811459346712254,2,9,9,11,6.4
0905903007,0.0,1,9,9,11,6.0
0905903008,0.4367243584313904,1,9,9,11,6.0
0905903009,1.1152637960943426,0,9,9,11,5.6
0905903010,0.8436675458255951,1,9,9,11,6.0
0905903011,1.0494334497776832,0,9,9,11,5.6
0905904001,0.4798116340231271,2,9,9,11,6.4
0905904002,0.7745857757954113,2,9,9,11,6.4
0905904003,0.3950436109155657,3,9,9,11,6.8
0905904004,0.5176078782832316,3,9,9,11,6.8
0905905001,0.4549143824355353,2,9,9,11,6.4
0905905002,0.5567602188791326,3,9,9,11,6.8
0905905003,0.663636665368652,1,9,9,11,6.0
0905905004,0.6991086312834063,3,9,9,11,6.8
0905905005,0.5308780811450118,3,9,9,11,6.8
0905905006,0.43969880156088265,2,9,9,11,6.4
0905905007,0.652827929958687,3,9,9,11,6.8
0905905008,0.6033343308955685,1,9,9,11,6.0
0905905009,0.808332016439913,1,9,9,11,6.0
0905905010,0.608904887635516,1,9,9,11,6.0
0905905011,0.7570500902125273,3,9,9,11,6.8
0905905012,0.8047390296747583,1,9,9,11,6.0
0905905013,0.0,1,9,9,11,6.0
0905905014,1.4860215800025938,0,6,9,11,4.7
0905905015,0.7481146635530878,3,9,9,11,6.8
0905905016,0.7267578110116573,3,9,9,11,6.8
0905905017,0.24490264959564698,1,9,9,11,6.0
0905905018,0.631568019614727,3,9,9,11,6.8
0905905019,0.40043390235127363,1,9,9,11,6.0
0905905020,0.7443714116164442,3,9,9,11,6.8
0905905021,0.7543594374653053,3,9,9,11,6.8
0905905022,0.6302608661785855,3,9,9,11,6.8
0905905023,0.4898441998831445,1,9,9,11,6.0
0905905024,0.410330157733234,3,9,9,11,6.8
0905905025,0.5862452621773614,3,9,9,11,6.8
0905905026,0.6414785778826603,3,9,9,11,6.8
0905905027,0.4073355756826728,2,9,9,11,6.4
0905905028,0.6336824653492341,2,9,9,11,6.4
0905905029,0.45417776388130576,1,9,9,11,6.0
0905905030,0.4725494473882042,1,9,9,11,6.0
0905905031,0.6805028865081199,1,9,9,11,6.0
0905905032,0.498995610622142,1,9,9,11,6.0
0905905033,0.9769948498464925,1,9,9,11,6.0
0905905034,0.6838390343260337,1,9,9,11,6.0
0905905035,1.2994433956170277,0,6,9,11,4.7
0905905036,0.6336106123731603,3,9,9,11,6.8
0905905037,0.8842270714706197,3,9,9,11,6.8
0905905038,2.57438662717601,0,7,9,11,5.0
0905905039,0.2528441167947137,3,9,9,11,6.8
0905905040,0.46669310341605175,3,9,9,11,6.8
0905905041,0.7907035749956334,1,9,9,11,6.0
0905905042,0.9155823217256327,1,9,9,11,6.0
0905905043,1.168417779769224,0,9,9,11,5.6
0905905044,0.46080177601338823,3,9,9,11,6.8
0905905045,0.7154118426097531,3,9,9,11,6.8
0905905046,1.1872982840589814,0,6,9,11,4.7
0905905047,0.7723556739653824,1,9,9,11,6.0
0905905048,3.373913250883138,0,3,9,11,3.8
0905905049,0.3721315440303258,2,9,9,11,6.4
0905905050,1.0307306791092332,0,9,9,11,5.6
0905905051,0.6442970652646437,1,9,9,11,6.0
0905905052,1.059439536164446,0,6,9,11,4.7
0905906001,0.47884079854798184,4,9,9,11,7.2
0905906002,0.5833252714218009,4,9,9,11,7.2
0905906003,0.6174948827242049,5,9,9,11,7.6000000000000005
0905906004,0.49469347821348303,5,9,9,11,7.6000000000000005
0905906005,0.39897641295362735,4,9,9,11,7.2
0905906006,1.9151389878129699,0,9,9,11,5.6
0905906007,0.19656805840594113,2,9,9,11,6.4
0905906008,1.2682941263445966,0,9,9,11,5.6
0905906009,0.0,2,9,9,11,6.4
0905906010,0.15167257442332405,2,9,9,11,6.4
0905906011,0.35711657876471364,2,9,9,11,6.4
0905906012,0.8091012314255118,2,9,9,11,6.4
0905907001,0.532442091007042,4,9,9,11,7.2
0905907002,0.6270251384635779,4,9,9,11,7.2
0905907003,1.0245360711175013,0,9,9,11,5.6
0905907004,0.6718399711588116,4,9,9,11,7.2
0905907005,0.7030766628771595,4,9,9,11,7.2
0905907006,1.1899179974315954,0,9,9,11,5.6
0905907007,2.469303978045349,0,9,9,11,5.6
0905907008,1.2387358979796308,0,9,9,11,5.6
0905907009,0.5355879371996415,4,9,9,11,7.2
0905907010,2.4154423292652796,0,9,9,11,5.6
0905908001,0.14478095053408607,2,9,9,11,6.4
0905908002,0.3204164368786496,2,9,9,11,6.4
0905908003,1.9363794583646723,0,8,10,11,5.499999999999999
0905908004,0.44449531542750714,1,9,9,11,6.0
0905908005,2.3219802252982844,0,6,10,12,5.0
0905908006,0.6522862727201751,3,9,9,11,6.8
0905908007,0.13947732485828415,2,9,9,11,6.4
0905908008,0.5540999678739572,2,9,9,11,6.4
0905908009,2.953920570298455,0,5,9,11,4.4
0905908010,0.9839454735324813,1,8,9,11,5.7
0905908011,0.5631138291522123,1,9,9,11,6.0
0905909001,0.30681064075134334,4,9,9,11,7.2
0905909002,0.2763302969286533,3,9,9,11,6.8
0905909003,0.47305385412551865,3,9,9,11,6.8
0905909004,0.16376262062371733,3,9,9,11,6.8
0905909005,0.29579077063743725,3,9,9,11,6.8
0905909006,0.7047004799456008,2,9,9,11,6.4
0905909007,0.0,2,9,9,11,6.4
0905909008,0.26691508125892843,2,9,9,11,6.4
0905909009,0.5677611237629699,3,9,9,11,6.8
0905909010,0.2793297523470193,3,9,9,11,6.8
0905909011,0.38087410129258803,3,9,9,11,6.8
0905909012,0.5355984278835663,3,9,9,11,6.8
0905909013,0.4617479715569833,3,9,9,11,6.8
0905909014,0.409906273700687,3,9,9,11,6.8
0905909015,0.0,1,9,9,11,6.0
0905909016,3.9209521904398033,0,3,9,11,3.8
0905909017,0.4674414481165606,4,9,9,11,7.2
0905909018,0.37871457189862057,2,9,9,11,6.4
0905909019,0.5200161841652496,2,9,9,11,6.4
0905909020,0.14629332930182634,2,9,9,11,6.4
0905909021,0.36017105167494184,3,9,9,11,6.8
0905909022,0.41502074895270546,3,9,9,11,6.8
0905909023,0.4289728877798893,1,9,9,11,6.0
0905909024,0.8662406857878351,3,9,9,11,6.8
0905909025,0.5894133150783094,3,9,9,11,6.8
0905909026,0.4495491052353885,3,9,9,11,6.8
0905909027,0.5014986344713863,3,9,9,11,6.8
0905909028,0.6376007632975551,3,9,9,11,6.8
0905909029,0.2360699831569058,3,9,9,11,6.8
0905909030,0.21697338424607865,3,9,9,11,6.8
0905909031,0.6547316400524237,3,9,9,11,6.8
0905909032,0.34194900681709645,3,9,9,11,6.8
0905909033,0.45506488721120075,3,9,9,11,6.8
0905909034,0.1932073318276619,3,9,9,11,6.8
0905909035,0.7714926259855207,2,9,9,11,6.4
0905909036,0.4527270895008545,2,9,9,11,6.4
0905909037,0.7258044256247291,3,9,9,11,6.8
0905909038,0.7292837003965017,4,9,9,11,7.2
0905909039,0.35989968196186733,3,9,9,11,6.8
0905909040,0.3501937707391401,1,9,9,11,6.0
