CUSEC,dist_min_infantil_y_primaria_km,n_infantil_y_primaria_1km,n_infantil_y_primaria_5km,n_infantil_y_primaria_15km,n_infantil_y_primaria_30km,disp_ponderada_infantil_y_primaria,dist_min_adultos_e_idiomas_km,n_adultos_e_idiomas_1km,n_adultos_e_idiomas_5km,n_adultos_e_idiomas_15km,n_adultos_e_idiomas_30km,disp_ponderada_adultos_e_idiomas,dist_min_secundaria_y_bachillerato_km,n_secundaria_y_bachillerato_1km,n_secundaria_y_bachillerato_5km,n_secundaria_y_bachillerato_15km,n_secundaria_y_bachillerato_30km,disp_ponderada_secundaria_y_bachillerato,dist_min_educación_especial_km,n_educación_especial_1km,n_educación_especial_5km,n_educación_especial_15km,n_educación_especial_30km,disp_ponderada_educación_especial,dist_min_formación_profesional_km,n_formación_profesional_1km,n_formación_profesional_5km,n_formación_profesional_15km,n_formación_profesional_30km,disp_ponderada_formación_profesional
0504703003,5.810109250450904,0,0,6,12,2.4,12.486844147476088,0,0,1,1,0.3,7.430253322059276,0,0,2,2,0.6,67.90888206179376,0,0,0,0,0.0,11.977003585190484,0,0,1,1,0.3
0504801001,3.4215926246631585,0,1,3,18,2.7,20.772183835375778,0,0,0,3,0.30000000000000004,3.4215926246631585,0,1,1,4,0.9,41.96690247314626,0,0,0,0,0.0,36.61804361071799,0,0,0,0,0.0
0504901001,0.0,1,2,20,30,8.0,9.748707875522978,0,0,2,2,0.6,9.018236711212188,0,0,5,7,1.7,11.267524244574451,0,0,1,1,0.3,10.505626723900903,0,0,2,2,0.6
0505101001,2.360137622952772,0,2,3,22,3.4000000000000004,4.273979608868227,0,1,1,2,0.7,4.273979608868227,0,1,1,5,1.0,66.00408591747198,0,0,0,0,0.0,17.539315334796793,0,0,0,1,0.1
0505201001,14.853959502526228,0,0,1,11,1.3,33.86198621583029,0,0,0,0,0.0,14.853959502526228,0,0,1,1,0.3,44.06773829804459,0,0,0,0,0.0,36.131819058107915,0,0,0,0,0.0
0505301001,6.723497913381417,0,0,21,26,6.8,10.308132661247638,0,0,2,2,0.6,10.33966011054016,0,0,5,5,1.5,11.970969508648565,0,0,1,1,0.3,5.768702029117978,0,0,2,2,0.6
0505401001,0.0,1,1,10,26,5.3,15.948488276005744,0,0,0,3,0.30000000000000004,9.715216842224102,0,0,3,5,1.0999999999999999,38.85498873351304,0,0,0,0,0.0,28.426226433765535,0,0,0,1,0.1
0505501001,3.089202771180677,0,3,13,20,5.5,6.351022163584529,0,0,2,2,0.6,3.089202771180677,0,1,4,6,1.7,35.674517890830835,0,0,0,0,0.0,35.674517890830835,0,0,0,0,0.0
0505601001,10.746890059111218,0,0,2,22,2.6,16.285078451295874,0,0,0,3,0.30000000000000004,16.285078451295874,0,0,0,5,0.5,52.089275617318556,0,0,0,0,0.0,23.02549582806335,0,0,0,1,0.1
0505701001,2.8547392259517976,0,2,7,35,5.5,5.529400218516291,0,0,1,4,0.6000000000000001,2.8547392259517976,0,1,3,12,2.1,27.74540641374994,0,0,0,1,0.1,27.74540641374994,0,0,0,1,0.1
