CUSEC;dist_min_ceas_km;n_ceas_1km;n_ceas_5km;n_ceas_15km;n_ceas_30km;disp_ponderada_ceas;dist_min_especializada_km;n_especializada_1km;n_especializada_5km;n_especializada_15km;n_especializada_30km;disp_ponderada_especializada;dist_min_primaria_km;n_primaria_1km;n_primaria_5km;n_primaria_15km;n_primaria_30km;disp_ponderada_primaria;dist_min_infantil_y_primaria_km;n_infantil_y_primaria_1km;n_infantil_y_primaria_5km;n_infantil_y_primaria_15km;n_infantil_y_primaria_30km;disp_ponderada_infantil_y_primaria;dist_min_adultos_e_idiomas_km;n_adultos_e_idiomas_1km;n_adultos_e_idiomas_5km;n_adultos_e_idiomas_15km;n_adultos_e_idiomas_30km;disp_ponderada_adultos_e_idiomas;dist_min_secundaria_y_bachillerato_km;n_secundaria_y_bachillerato_1km;n_secundaria_y_bachillerato_5km;n_secundaria_y_bachillerato_15km;n_secundaria_y_bachillerato_30km;disp_ponderada_secundaria_y_bachillerato;dist_min_educación_especial_km;n_educación_especial_1km;n_educación_especial_5km;n_educación_especial_15km;n_educación_especial_30km;disp_ponderada_educación_especial;dist_min_formación_profesional_km;n_formación_profesional_1km;n_formación_profesional_5km;n_formación_profesional_15km;n_formación_profesional_30km;disp_ponderada_formación_profesional;dist_min_inclusión_social_km;n_inclusión_social_1km;n_inclusión_social_5km;n_inclusión_social_15km;n_inclusión_social_30km;disp_ponderada_inclusión_social;dist_min_población_general_km;n_población_general_1km;n_población_general_5km;n_población_general_15km;n_población_general_30km;disp_ponderada_población_general;dist_min_toxicomanías_y_adicciones_km;n_toxicomanías_y_adicciones_1km;n_toxicomanías_y_adicciones_5km;n_toxicomanías_y_adicciones_15km;n_toxicomanías_y_adicciones_30km;disp_ponderada_toxicomanías_y_adicciones;dist_min_personas_con_discapacidad_km;n_personas_con_discapacidad_1km;n_personas_con_discapacidad_5km;n_personas_con_discapacidad_15km;n_personas_con_discapacidad_30km;disp_ponderada_personas_con_discapacidad;dist_min_familia_km;n_familia_1km;n_familia_5km;n_familia_15km;n_familia_30km;disp_ponderada_familia;dist_min_mujer_km;n_mujer_1km;n_mujer_5km;n_mujer_15km;n_mujer_30km;disp_ponderada_mujer;dist_min_infancia_y_juventud_km;n_infancia_y_juventud_1km;n_infancia_y_juventud_5km;n_infancia_y_juventud_15km;n_infancia_y_juventud_30km;disp_ponderada_infancia_y_juventud;dist_min_voluntariado_km;n_voluntariado_1km;n_voluntariado_5km;n_voluntariado_15km;n_voluntariado_30km;disp_ponderada_voluntariado;dist_min_personas_mayores_km;n_personas_mayores_1km;n_personas_mayores_5km;n_personas_mayores_15km;n_personas_mayores_30km;disp_ponderada_personas_mayores;Seccion_id
0501801001;10,011;0;0;2;3;0,700;31,448;0;0;0;0;0,000;10,011;0;0;4;6;1,400;8,727;0;0;5;10;2,000;11,094;0;0;1;1;0,300;10,011;0;0;2;2;0,600;66,036;0;0;0;0;0,000;31,992;0;0;0;0;0,000;12,921;0;0;3;3;0,900;63,711;0;0;0;0;0,000;60,286;0;0;0;0;0,000;12,921;0;0;5;5;1,500;67,398;0;0;0;0;0,000;12,921;0;0;1;1;0,300;63,711;0;0;0;0;0,000;67,398;0;0;0;0;0,000;21,973;0;0;0;3;0,300;21
0501901001;0,000;2;4;4;7;3,500;1,052;0;2;3;3;1,500;0,613;1;7;7;16;5,500;0,463;5;15;19;34;13,700;0,463;1;2;2;2;1,600;0,411;1;5;5;7;3,600;2,224;0;1;1;1;0,600;2,224;0;1;2;2;0,900;1,987;0;20;40;40;18,000;1,987;0;4;10;10;4,200;1,987;0;1;4;5;1,600;1,987;0;10;10;10;6,000;2,097;0;1;1;1;0,600;1,987;0;2;3;3;1,500;1,987;0;1;2;2;0,900;2,097;0;1;1;1;0,600;2,097;0;2;2;3;1,300;22
0501901002;4,889;0;1;4;7;1,800;6,986;0;0;3;3;0,900;6,334;0;0;9;15;3,300;0,000;1;3;20;29;8,200;6,338;0;0;2;2;0,600;5,862;0;0;5;6;1,600;8,163;0;0;1;1;0,300;5,572;0;0;2;2;0,600;0,000;11;11;39;40;19,500;0,000;5;5;9;10;6,300;0,000;3;3;4;4;3,300;6,530;0;0;10;10;3,000;6,530;0;0;1;1;0,300;0,000;1;1;3;4;1,700;0,000;1;1;2;2;1,300;6,530;0;0;1;1;0,300;6,530;0;0;2;3;0,700;23
0501902001;0,503;2;4;4;7;3,500;0,705;1;2;3;3;1,900;0,243;1;7;7;16;5,500;0,243;9;15;19;34;15,300;0,493;1;2;2;2;1,600;0,550;4;5;5;7;4,800;1,798;0;1;1;1;0,600;1,798;0;1;2;2;0,900;1,487;0;20;40;40;18,000;1,487;0;4;10;10;4,200;1,487;0;1;4;5;1,600;1,487;0;10;10;10;6,000;1,843;0;1;1;1;0,600;1,487;0;2;3;3;1,500;1,487;0;1;2;2;0,900;1,843;0;1;1;1;0,600;1,843;0;2;2;3;1,300;24
0501902002;0,985;1;4;4;7;3,100;0,468;2;2;3;3;2,300;0,468;5;7;7;16;7,100;0,000;10;15;19;35;15,800;0,950;2;2;2;2;2,000;0,000;4;5;5;7;4,800;1,427;0;1;1;1;0,600;1,427;0;1;2;2;0,900;0,950;12;20;40;40;22,800;0,950;4;4;10;10;5,800;0,950;1;1;4;5;2,000;0,950;9;10;10;10;9,600;1,647;0;1;1;1;0,600;0,950;1;2;3;3;1,900;0,950;1;1;2;2;1,300;1,647;0;1;1;1;0,600;1,647;0;2;2;3;1,300;25
0501903001;0,411;1;4;4;6;3,000;1,245;0;2;3;3;1,500;0,474;1;7;7;16;5,500;0,474;5;15;19;34;13,700;0,806;1;2;2;2;1,600;0,000;1;5;5;7;3,600;2,342;0;1;1;1;0,600;2,342;0;1;2;2;0,900;1,715;0;20;40;40;18,000;1,950;0;4;10;10;4,200;1,950;0;1;4;5;1,600;1,715;0;10;10;10;6,000;1,715;0;1;1;1;0,600;1,715;0;2;3;3;1,500;1,950;0;1;2;2;0,900;1,715;0;1;1;1;0,600;1,715;0;2;2;3;1,300;26
0501903002;0,000;1;2;4;7;2,500;3,580;0;2;3;3;1,500;4,331;0;3;7;15;3,800;0,000;1;11;19;32;10,700;4,891;0;1;2;2;0,900;4,086;0;2;5;6;2,200;6,020;0;0;1;1;0,300;6,020;0;0;2;2;0,600;3,257;0;19;40;40;17,700;4,889;0;5;10;10;4,500;4,889;0;3;4;4;2,100;3,257;0;1;10;10;3,300;3,257;0;1;1;1;0,600;3,257;0;2;3;4;1,600;4,889;0;1;2;2;0,900;3,257;0;1;1;1;0,600;3,257;0;2;2;3;1,300;27
0501904001;6,126;0;0;4;8;1,600;6,406;0;0;3;3;0,900;5,896;0;0;7;16;3,000;2,583;0;1;18;35;7,400;6,438;0;0;2;3;0,700;6,126;0;0;5;7;1,700;6,428;0;0;1;1;0,300;5,193;0;0;2;2;0,600;3,534;0;8;39;40;14,200;7,206;0;0;9;10;2,800;7,206;0;0;4;5;1,300;7,206;0;0;10;10;3,000;8,717;0;0;1;1;0,300;7,206;0;0;3;3;0,900;7,206;0;0;2;2;0,600;8,717;0;0;1;1;0,300;8,717;0;0;2;3;0,700;28
0501904002;0,367;3;4;4;7;3,900;0,665;1;2;3;3;1,900;0,726;1;7;7;16;5,500;0,000;7;15;19;34;14,500;0,000;1;2;2;2;1,600;0,665;5;5;5;7;5,200;1,851;0;1;1;1;0,600;1,851;0;1;2;2;0,900;1,765;0;20;40;40;18,000;1,765;0;4;10;10;4,200;1,765;0;1;4;5;1,600;1,765;0;10;10;10;6,000;2,329;0;1;1;1;0,600;1,765;0;2;3;3;1,500;1,765;0;1;2;2;0,900;2,329;0;1;1;1;0,600;2,329;0;2;2;3;1,300;29
0501904003;0,294;3;3;4;8;3,700;0,775;1;2;3;3;1,900;0,983;1;7;7;18;5,700;0,142;5;14;19;35;13,500;0,303;1;2;2;2;1,600;0,775;3;5;5;7;4,400;1,910;0;1;1;1;0,600;1,910;0;2;2;2;1,200;1,951;0;20;40;40;18,000;1,951;0;4;10;10;4,200;1,951;0;1;4;5;1,600;1,951;0;10;10;10;6,000;2,632;0;1;1;1;0,600;1,951;0;2;3;3;1,500;1,951;0;1;2;2;0,900;2,632;0;1;1;1;0,600;2,632;0;2;2;3;1,300;30
