CUSEC,dist_min_BUS_km,disp_ponderada_BUS,dist_min_RAIL_km,disp_ponderada_RAIL,n_lineas_bus,n_lineas_rail,n_lineas_total
2403901002,0.0,15.9,9.788042395140167,1.9000000000000001,4,0,4
2404001001,19.324030066163342,9.600000000000001,9.056471508982208,2.2,0,0,0
2404101001,13.530883836841593,2.0,6.327348230092865,0.8,0,0,0
2404201001,10.02539835930144,3.3,27.77111885533985,0.2,0,0,0
2404301001,23.086331106629995,0.8,22.14632946067654,0.4,0,0,0
2404401001,17.517025591463938,1.4000000000000001,12.28711438181217,0.7,0,0,0
2404601001,14.706785967895634,1.2,22.0122644968563,0.4,0,0,0
2404701001,26.88474186882314,0.30000000000000004,24.168271922076535,0.1,0,0,0
2404901001,4.448731890752104,4.1,3.6534378613491687,1.9,0,0,0
2405001001,0.0,4.0,10.866045851171416,0.8,2,0,2
2405101001,15.006351023248852,1.6,21.602287848076084,0.7000000000000001,0,0,0
2405201001,17.486569970709013,0.5,0.0,2.4,0,2,2
2405301001,4.1951566334885655,4.6,20.292323620037145,0.5,0,0,0
2405401001,0.0,4.2,40.982912532085436,0.0,2,0,2
2405501001,0.0,15.4,13.219364675232141,1.9000000000000001,1,0,1
2405601001,20.83176842173222,0.4,7.978337506644657,2.1,0,0,0
2405601002,22.75757055497482,0.4,0.0,2.8000000000000003,0,2,2
2405701001,0.0,4.8,0.0,2.0,2,5,7
2405801001,10.120580493351321,13.6,5.956462276100104,1.6,0,0,0
2405901001,5.326929369728486,2.4,6.940942934802448,0.8,0,0,0
2406001001,27.294199422412866,0.2,12.706769896999269,1.3,0,0,0
2406101001,10.18822471285528,16.1,9.889264320678693,3.6999999999999997,0,0,0
2406201001,8.537957319430648,13.7,9.981792141604476,1.3,0,0,0
2406301001,23.620077063304134,1.0,9.437861626838291,1.6,0,0,0
2406401001,6.884443378318517,4.3,6.884443378318517,1.2,0,0,0
2406501001,0.0,32.6,6.116922818119756,2.3,6,0,6
2406501002,0.0,17.4,10.023121683161797,2.1,2,0,2
2406601001,15.461322249197172,1.7000000000000002,8.885084537496828,0.8,0,0,0
2406701001,32.25430407062661,0.0,25.422859574683724,0.2,0,0,0
2406801001,27.996880531332323,0.2,0.0,2.8000000000000003,0,2,2
2406901001,6.900245844653205,1.8000000000000003,4.158838850124594,1.7,0,0,0
2407001001,14.802295811494004,1.7000000000000002,20.473912715583467,0.5,0,0,0
2407001002,17.095036877144274,1.5,19.630435171630882,0.5,0,0,0
2407001003,18.28241779553851,1.5,20.948661957067376,0.5,0,0,0
2407001004,17.352579015538435,1.5,20.373797740207806,0.5,0,0,0
2407101001,6.727471654096263,2.5,6.727471654096263,1.2,0,0,0
2407301001,5.371004021690552,13.700000000000001,13.92164132041661,1.2,0,0,0
2407401001,10.601477954072454,3.5,31.894344554065597,0.0,0,0,0
2407601001,12.163090998539415,14.100000000000001,0.0,4.9,0,2,2
2407701001,0.0,3.2,8.329353970747103,1.2999999999999998,2,0,2
2407801001,9.527829697317513,2.5,35.99611095333126,0.0,0,0,0
2407901001,14.897320462432234,9.900000000000002,15.619722541642082,2.1,0,0,0
2408001001,2.9636105480687114,2.2,0.0,2.1,0,6,6
2408101001,9.564443780495209,12.9,9.865185908942928,1.4,0,0,0
2408201001,0.0,15.4,2.8911386261558847,2.4999999999999996,6,0,6
2408301001,13.404838547885076,1.0,13.404838547885076,0.7,0,0,0
2408401001,0.0,3.9000000000000004,21.79469939761533,0.6000000000000001,2,0,2
2408601001,6.050735260738443,2.8000000000000003,12.11477540907103,1.1,0,0,0
2408701001,5.0132546143409416,5.6,16.862645546295624,0.7000000000000001,0,0,0
2408801001,6.783702032005411,4.3,29.434150497796733,0.2,0,0,0
2408901001,0.24433095643547365,73.3,0.5291770461791738,6.5,0,0,0
2408901002,0.20708641116768098,71.60000000000001,0.5906640267903926,6.3999999999999995,0,0,0
2408901003,0.0,73.3,0.7150441736600529,6.3999999999999995,7,0,7
2408901004,0.0,70.39999999999999,0.3510042255958727,6.1000000000000005,1,0,1
2408901005,0.0,70.0,0.41731035068357836,6.1000000000000005,2,0,2
2408901006,0.0,69.60000000000001,0.42112263900585895,6.1000000000000005,4,0,4
2408902001,0.0,72.0,0.2679084529063026,6.5,11,0,11
2408902002,0.0,70.3,0.1862313266404613,6.1,1,0,1
2408902003,0.0,70.3,0.5036324405459096,5.999999999999999,2,0,2
2408902004,0.18497252523815344,70.8,0.3885401260939618,6.5,0,0,0
2408902005,0.0,69.60000000000001,0.5471987523944027,6.3999999999999995,3,0,3
2408902006,0.0,70.0,0.0,6.1,7,2,9
2408902007,0.0,71.10000000000001,0.3282048058389534,6.1,2,0,2
2408902008,0.0,70.3,0.6558056279528309,6.3999999999999995,1,0,1
2408902009,0.12402158874032487,70.0,0.5154624721678865,6.3999999999999995,0,0,0
2408902010,0.13903383020270346,70.0,0.5622219471327273,6.3999999999999995,0,0,0
2408903001,0.0,70.3,0.5769847602553172,6.1,3,0,3
2408903002,0.0,66.69999999999999,0.67975474630494,6.3,2,0,2
2408903003,0.0,56.8,2.008625290928015,6.199999999999999,2,0,2
2408903004,0.0,68.80000000000001,0.38266612890519996,6.5,2,0,2
2408903005,0.0,67.19999999999999,0.2827806229127149,7.499999999999999,3,0,3
2408903006,0.0,63.4,0.20503829194317721,7.1000000000000005,4,0,4
2408903007,0.0,61.300000000000004,0.0,7.1000000000000005,4,2,6
2408903008,0.0,59.300000000000004,0.8047403318720803,6.7,5,0,5
2408903009,0.0,66.69999999999999,0.8901105671310972,6.1,4,0,4
2408903010,0.0,71.10000000000001,0.15972291522820567,6.5,4,0,4
2408903011,0.0,69.10000000000001,0.4341830951775379,6.5,4,0,4
2408903012,0.0,66.1,0.0,7.1000000000000005,2,2,4
2408903013,0.0,69.69999999999999,0.80804423101223,6.5,3,0,3
2408903014,0.12436854554460064,70.09999999999998,0.7806450364033706,6.5,0,0,0
2408903015,0.0,57.0,2.454639939555547,5.8999999999999995,4,0,4
2408903016,0.0,67.6,1.0468605951277064,5.7,5,0,5
2408903017,0.0,70.7,0.3059045406217094,6.5,7,0,7
2408903018,0.0,62.6,0.9957201055606307,6.3,4,0,4
2408903019,0.0,63.800000000000004,1.2938173364915317,5.7,4,0,4
2408903020,0.0,58.9,0.4258791298978476,7.1000000000000005,1,0,1
2408903021,0.0,61.400000000000006,1.2570761726286972,5.8999999999999995,1,0,1
2408904001,0.22159000459331485,69.89999999999999,0.4416602307169539,6.1,0,0,0
2408904002,0.0,67.1,0.7747001316666459,7.499999999999999,1,0,1
2408904003,0.0,69.1,0.3655726062268825,6.5,3,0,3
2408904004,0.0,68.7,0.5664577066044543,6.9,3,0,3
2408904005,0.0,61.4,0.0,7.1000000000000005,4,4,8
2408904006,0.0,69.1,0.6619990252074711,6.1,2,0,2
2408904007,0.2435990654620802,71.2,0.2572653495449248,6.1,0,0,0
2408904008,0.15721248607572566,67.89999999999999,0.5204994392912274,6.5,0,0,0
2408904009,0.0,67.89999999999999,0.6256811461938911,7.499999999999999,3,0,3
2408904010,0.0,67.1,0.6848341781546744,6.5,2,0,2
2408904011,0.14723705710613436,68.3,0.3995171556151223,7.499999999999999,0,0,0
2408904012,0.15377319850839677,67.49999999999999,0.47466302512333236,7.499999999999999,0,0,0
2408904013,0.0,65.89999999999999,0.8823934902260112,6.1,1,0,1
2408904014,0.0,65.9,0.33839910031636794,7.499999999999999,3,0,3
2408904015,0.0,60.5,0.564170731440894,6.7,4,0,4
2408905001,0.3496560248510823,72.4,0.7458140304591234,6.1,0,0,0
2408905002,0.0,64.0,1.9048447191359925,5.3,4,0,4
2408905003,0.1570040114143783,71.3,0.9573439678342787,6.1,0,0,0
2408905004,0.1363927336881843,70.80000000000001,0.951550555429288,6.1,0,0,0
2408905005,0.0,70.9,1.2144265401835554,5.7,2,0,2
2408905006,0.0,66.69999999999999,1.6279189407652617,5.4,2,0,2
2408905007,0.0,70.5,1.0846590663195814,5.7,1,0,1
2408905008,0.0,70.1,1.0588227891880388,5.4,1,0,1
2408905009,0.0,68.6,1.340781605086127,5.4,2,0,2
2408905010,0.0,68.2,1.3719712444859526,5.7,4,0,4
2408905011,0.21464717638378444,65.89999999999999,1.6956939995895286,5.4,0,0,0
2408906001,0.0,68.5,0.39166724345556597,5.7,3,0,3
2408906002,0.0,68.6,0.9011890535909965,5.7,1,0,1
2408906003,0.0,67.8,0.7497533894109836,5.7,6,0,6
2408906004,0.0,68.6,1.0812685248494582,5.3,1,0,1
2408906005,0.0,68.2,1.1741994288276676,5.3,4,0,4
2408906006,0.0,68.99999999999999,1.2546856972018667,5.3,6,0,6
2408906007,0.0,60.8,1.3474547372728827,4.9,3,0,3
2408906008,0.0,68.6,0.6518617233363231,5.7,4,0,4
2408906009,0.0,67.39999999999999,1.2187183213128625,5.3,2,0,2
2408906010,0.0,67.2,1.4550721842979863,5.3,4,0,4
2408906011,0.0,67.8,0.4633493059353767,5.7,4,0,4
2408906012,0.0,67.1,0.0,5.7,23,59,82
2408906013,0.0,70.1,0.7132891103677751,5.7,4,0,4
2408906014,0.0,68.99999999999999,0.9648877153358371,5.7,4,0,4
2408906015,0.0,69.8,1.0056206019348255,5.3,3,0,3
2408906016,0.0,68.6,1.0662825528050524,5.3,1,0,1
2408906017,0.0,61.8,1.785656904548765,5.0,3,0,3
2408907001,0.12637405538983232,68.69999999999999,0.8717271841545398,6.1000000000000005,0,0,0
2408907002,0.0,65.89999999999999,0.9436495101104252,5.7,3,0,3
2408907003,0.0,61.6,0.7286664619041934,5.800000000000001,1,0,1
2408907004,0.0,66.9,1.0519223982936328,5.6,6,0,6
2408907005,0.0,60.2,2.035124054337949,5.8999999999999995,3,0,3
2408907006,0.0,66.39999999999999,1.20552522702353,5.6,3,0,3
2408907007,0.0,60.099999999999994,0.8603928663918302,5.3999999999999995,2,0,2
2408907008,0.1486726135911693,64.1,1.280239989347236,5.3,0,0,0
2408907009,0.0,69.09999999999998,0.8085823980668336,6.1000000000000005,2,0,2
2408907010,0.0,65.3,1.3099744105295914,5.3,3,0,3
2408907011,0.0,63.8,1.5519298958355727,5.6,3,0,3
2408907012,0.0,65.89999999999999,0.7638418074154039,5.7,4,0,4
2408907013,0.0,65.8,1.4329374593635178,5.6,2,0,2
2408908001,0.0,56.699999999999996,2.9747264961950317,5.3,1,0,1
2408908002,0.0,53.7,3.38960575640127,4.3,1,0,1
2408909001,0.0,56.99999999999999,2.582546984651244,4.6,10,0,10
2408909002,0.0,53.5,3.2072058276838913,4.4,1,0,1
2408909003,0.0,58.1,2.173735377709448,5.1,3,0,3
2408910001,0.0,68.7,0.842003068350793,6.1,2,0,2
2408910002,0.0,67.1,0.9880868753081278,6.1,1,0,1
2408910003,0.2780655744370146,63.199999999999996,1.67243833829748,5.7,0,0,0
2408910004,0.0,66.3,1.0772209906905084,5.7,2,0,2
2408910005,0.0,62.49999999999999,1.8787569699155027,5.7,1,0,1
2408910006,0.0,62.4,1.606171641627587,5.7,2,0,2
2408910007,0.0,61.699999999999996,1.2771761627502225,5.8999999999999995,2,0,2
2409001001,18.38086714209957,1.0,24.151216244883933,0.7000000000000001,0,0,0
2409101001,20.187543689174877,1.0,18.174349895329737,0.5,0,0,0
2409201001,4.972649573818892,13.0,16.45523057231124,1.8,0,0,0
2409301001,8.48944428259887,3.0,0.0,2.4,0,5,5
2409401001,0.0,13.100000000000001,5.720314622884059,1.7000000000000002,6,0,6
2409501001,0.0,27.4,5.803706514529289,2.5,2,0,2
2409601001,40.604756071423225,0.0,18.450634138641625,0.30000000000000004,0,0,0
2409701001,5.977159746370125,4.1,13.355904902583228,0.7,0,0,0
2409801001,24.291505567938284,8.9,0.0,3.8,0,2,2
2409901001,7.371303103558303,3.5,20.899826184057584,0.5,0,0,0
2410001001,9.089256670689876,3.3,9.582085428118477,1.4,0,0,0
2410101001,22.246938469477588,0.30000000000000004,22.246938469477588,0.2,0,0,0
2410201001,7.292889882534268,2.4000000000000004,11.652380771910522,1.0,0,0,0
2410301001,16.63808431480211,0.8,17.90707044491446,0.2,0,0,0
2410401001,10.508772243504072,11.8,21.943728543918695,1.9000000000000001,0,0,0
