CUSEC_origen;centro_id;CUSEC_servicio;distancia
0501701001;385;0501602004;28385,016
0501701001;86;0501602005;29362,676
0501701001;718;0501902002;18911,418
0501701001;119;0501903002;15357,625
0501701001;1517;0501904002;18505,230
0501701001;141;0501904005;19133,214
0501701001;1527;0501904005;19133,214
0501701001;1358;0501904006;18821,825
0501701001;363;0501904009;18697,039
0501701001;263;0501904011;20285,019
0501701001;1256;0501905004;19808,952
0501701001;722;0501906001;18401,410
0501701001;1108;0501906002;19187,368
0501701001;1274;0501906005;18248,425
0501701001;637;0501906008;18094,242
0501701001;1359;0501906008;18094,242
0501701001;309;0505901001;16190,142
0501701001;1448;0507401001;18865,879
0501701001;621;0507601001;19531,342
0501701001;319;0511701001;29605,165
0501701001;302;0513501001;26206,758
0501701001;1415;0513801001;21635,919
0501701001;623;0515201001;24247,863
0501701001;1140;0520401001;24094,464
0501701001;1009;0523801001;27964,646
0501701001;702;0501906006;18413,632
0501801001;140;0502101001;12920,828
0501801001;1444;0502101001;12920,828
0501801001;616;0509701001;8727,295
0501801001;1438;0518601001;10010,766
0501801001;308;0522501001;13461,575
0501801001;282;0501301001;28603,720
0501801001;280;0510501001;19247,108
0501801001;474;3710301001;23139,019
0501801001;1401;3713901001;29715,828
0501801001;1142;3729701001;21146,999
0501901001;1517;0501904002;462,917
0501901001;1358;0501904006;739,807
0501901001;363;0501904009;808,546
0501901001;722;0501906001;613,204
0501901001;1274;0501906005;848,782
0501901001;718;0501902002;1061,235
0501901001;119;0501903002;4459,486
0501901001;141;0501904005;1051,510
0501901001;1527;0501904005;1051,510
0501901001;263;0501904011;2224,200
0501901001;1256;0501905004;1986,508
0501901001;1108;0501906002;1515,108
0501901001;637;0501906008;1424,147
0501901001;1359;0501906008;1424,147
0501901001;702;0501906006;1076,353
0501901001;438;0501901002;5938,995
0501901001;312;0504901001;9286,241
0501901001;621;0507601001;5935,024
0501901001;626;0512801001;12189,129
0501901001;120;0502201002;29627,407
0501901001;1524;0502201002;29627,407
0501901001;309;0505901001;24823,553
0501901001;136;0510201002;26849,427
0501901001;302;0513501001;27911,268
0501901001;1415;0513801001;18438,102
0501901001;320;0515801001;21903,880
0501901001;1414;0516101001;22802,830
0501901001;674;0516301002;28346,162
0501901001;1269;0516301002;28346,162
0501901001;127;0516802001;28206,617
0501901001;1140;0520401001;28032,021
0501901001;620;0522001001;20892,716
0501901001;1009;0523801001;22212,578
0501901001;156;4022501001;26324,573
0501901002;438;0501901002;0,000
0501901002;119;0501903002;4889,161
0501901002;312;0504901001;4997,468
0501901002;718;0501902002;6859,436
0501901002;1517;0501904002;6338,206
