CUSEC,dist_min_inclusión_social_km,n_inclusión_social_1km,n_inclusión_social_5km,n_inclusión_social_15km,n_inclusión_social_30km,disp_ponderada_inclusión_social,dist_min_población_general_km,n_población_general_1km,n_población_general_5km,n_población_general_15km,n_población_general_30km,disp_ponderada_población_general,dist_min_toxicomanías_y_adicciones_km,n_toxicomanías_y_adicciones_1km,n_toxicomanías_y_adicciones_5km,n_toxicomanías_y_adicciones_15km,n_toxicomanías_y_adicciones_30km,disp_ponderada_toxicomanías_y_adicciones,dist_min_personas_con_discapacidad_km,n_personas_con_discapacidad_1km,n_personas_con_discapacidad_5km,n_personas_con_discapacidad_15km,n_personas_con_discapacidad_30km,disp_ponderada_personas_con_discapacidad,dist_min_familia_km,n_familia_1km,n_familia_5km,n_familia_15km,n_familia_30km,disp_ponderada_familia,dist_min_mujer_km,n_mujer_1km,n_mujer_5km,n_mujer_15km,n_mujer_30km,disp_ponderada_mujer,dist_min_infancia_y_juventud_km,n_infancia_y_juventud_1km,n_infancia_y_juventud_5km,n_infancia_y_juventud_15km,n_infancia_y_juventud_30km,disp_ponderada_infancia_y_juventud,dist_min_voluntariado_km,n_voluntariado_1km,n_voluntariado_5km,n_voluntariado_15km,n_voluntariado_30km,disp_ponderada_voluntariado,dist_min_personas_mayores_km,n_personas_mayores_1km,n_personas_mayores_5km,n_personas_mayores_15km,n_personas_mayores_30km,disp_ponderada_personas_mayores
3410001001,4.862054426058378,0,1,1,2,0.7,59.64846396772751,0,0,0,0,0.0,4.862054426058378,0,1,1,1,0.6,60.58675737378294,0,0,0,0,0.0,60.58675737378294,0,0,0,0,0.0,27.674558231209897,0,0,0,1,0.1,60.58675737378294,0,0,0,0,0.0,60.58675737378294,0,0,0,0,0.0,4.862054426058378,0,5,5,5,3.0
3410101001,16.812306515861064,0,0,0,5,0.5,34.77985614493186,0,0,0,0,0.0,34.77985614493186,0,0,0,0,0.0,35.708160288856675,0,0,0,0,0.0,34.77985614493186,0,0,0,0,0.0,34.77985614493186,0,0,0,0,0.0,34.77985614493186,0,0,0,0,0.0,34.77985614493186,0,0,0,0,0.0,18.085550136917874,0,0,0,2,0.2
3410201001,14.647032666070041,0,0,6,16,2.8,14.647032666070041,0,0,4,12,2.0,14.647032666070041,0,0,2,6,1.0,14.647032666070041,0,0,2,3,0.7,14.647032666070041,0,0,1,3,0.5,14.647032666070041,0,0,2,5,0.9,14.647032666070041,0,0,1,7,0.9000000000000001,15.682057937694397,0,0,0,1,0.1,9.85902430078113,0,0,8,15,3.1
3410301001,24.9562351109943,0,0,0,2,0.2,30.24207242343265,0,0,0,0,0.0,30.24207242343265,0,0,0,0,0.0,30.24207242343265,0,0,0,0,0.0,30.24207242343265,0,0,0,0,0.0,30.24207242343265,0,0,0,0,0.0,17.109077801362837,0,0,0,1,0.1,30.875565852764748,0,0,0,0,0.0,10.667020196211762,0,0,4,6,1.4
3410401001,20.25640206454281,0,0,0,3,0.30000000000000004,32.74770204354902,0,0,0,0,0.0,32.74770204354902,0,0,0,0,0.0,33.89816147443014,0,0,0,0,0.0,32.74770204354902,0,0,0,0,0.0,32.74770204354902,0,0,0,0,0.0,32.74770204354902,0,0,0,0,0.0,32.74770204354902,0,0,0,0,0.0,27.424747831837433,0,0,0,2,0.2
3410601001,11.512204698765904,0,0,7,10,2.4000000000000004,32.402315330753666,0,0,0,0,0.0,32.402315330753666,0,0,0,0,0.0,25.928925001253514,0,0,0,1,0.1,25.928925001253514,0,0,0,1,0.1,32.402315330753666,0,0,0,0,0.0,20.088580475278953,0,0,0,1,0.1,33.65661988726457,0,0,0,0,0.0,25.640452196836225,0,0,0,4,0.4
3410701001,13.523770145465582,0,0,1,4,0.6000000000000001,72.29750473145744,0,0,0,0,0.0,29.288704421694153,0,0,0,2,0.2,66.5023516296536,0,0,0,0,0.0,69.33735542876288,0,0,0,0,0.0,29.01078435505348,0,0,0,1,0.1,68.47415148822842,0,0,0,0,0.0,72.29750473145744,0,0,0,0,0.0,29.571919748965417,0,0,0,5,0.5
3410801001,0.0,2,2,16,18,6.4,9.953975335305099,0,0,12,12,3.5999999999999996,9.953975335305099,0,0,6,6,1.7999999999999998,11.030202345502682,0,0,3,3,0.8999999999999999,9.953975335305099,0,0,3,3,0.8999999999999999,9.953975335305099,0,0,5,5,1.5,9.953975335305099,0,0,5,6,1.6,9.953975335305099,0,0,1,1,0.3,9.953975335305099,0,0,11,15,3.6999999999999997
3410901001,25.485258601473753,0,0,0,2,0.2,36.29642648348589,0,0,0,0,0.0,48.30183122728361,0,0,0,0,0.0,49.872432913562974,0,0,0,0,0.0,49.872432913562974,0,0,0,0,0.0,24.336812036723707,0,0,0,1,0.1,28.406815951248934,0,0,0,1,0.1,50.184590300379696,0,0,0,0,0.0,9.705313448297186,0,0,1,2,0.4
3411001001,11.830590287766167,0,0,1,2,0.4,81.52534684086508,0,0,0,0,0.0,14.021361407855961,0,0,1,1,0.3,68.14419540264478,0,0,0,0,0.0,78.51633396663254,0,0,0,0,0.0,48.65372315511354,0,0,0,0,0.0,75.95209091892433,0,0,0,0,0.0,81.52534684086508,0,0,0,0,0.0,35.04333143568351,0,0,0,0,0.0
