CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3410901001;50;347,06;1958;0,01;0,57;15,56;1399
3411001001;106;255,755;1958;0,02;0,76;47,52;1400
3411201001;58;245;1917;0,03;0,6;33,33;1401
3411301001;33;312,758;1996;0,03;0,47;79,17;1402
3411401001;190;335,053;1952;0,02;0,58;56,57;1403
3411601001;76;226,526;1968;0,01;0,52;20,31;1404
3412001001;1006;137,596;1978;0,01;0,54;1,36;1405
3412001003;575;124,837;1981;0,01;0,46;0,19;1406
3412001004;586;122,52;1969;0,01;0,33;3,97;1407
3412001005;522;117,148;1967;0,01;0,38;0,19;1408
3412002001;1339;124,881;1979;0,01;0,58;1,89;1409
3412002002;696;119,484;1977;0,01;0,48;0,34;1410
3412002003;695;126,301;1995;0,01;0,71;1,94;1411
3412003001;462;125,132;1973;0,01;0,35;4,47;1412
3412003002;583;123,262;1976;0,01;0,63;0,99;1413
3412003004;650;121,654;1977;0,01;0,39;1,74;1414
3412003005;843;107,072;1983;0,01;0,61;0,24;1415
3412004001;645;110,822;1970;0,01;0,45;0,81;1416
3412004002;532;95,429;1970;0,01;0,31;0;1417
3412004003;451;116,013;1978;0,01;0,48;0;1418
3412004004;748;98,159;1986;0,01;0,34;0;1419
3412004005;1140;122,745;1996;0,01;0,42;0;1420
3412004006;456;90,401;1972;0,01;0,27;0;1421
3412004007;959;114,259;1990;0,01;0,31;0;1422
3412004008;491;95,006;1980;0,01;0,3;0;1423
3412004009;580;114,114;1983;0,01;0,32;0,56;1424
3412005001;730;150,289;1986;0,01;0,38;0,18;1425
3412005002;365;127,419;1970;0,01;0,46;0;1426
3412005003;796;116,092;1974;0,01;0,38;0;1427
3412005004;897;114,822;1992;0,01;0,38;0;1428
3412005005;709;115,599;1986;0;0,2;0;1429
3412005006;761;126,363;1982;0,01;0,32;0;1430
3412005007;691;81,379;1971;0,01;0,27;9,58;1431
3412005008;635;80,346;1966;0,01;0,35;12,6;1432
3412005009;467;105,522;1983;0;0,23;0;1433
3412005010;705;112,05;1985;0,01;0,18;0;1434
3412005011;1368;114,342;1997;0,01;0,28;0;1435
3412005012;652;112,817;1988;0;0,25;0;1436
3412005013;475;106,181;1980;0;0,29;0;1437
3412005014;791;127,957;2004;0;0,42;0;1438
3412005015;475;129,84;1989;0;0,36;0,21;1439
3412006001;807;116,632;1986;0,01;0,3;0,83;1440
3412006002;595;94,429;1962;0,01;0,48;1,87;1441
3412006003;1064;143,577;1989;0,01;0,47;3,14;1442
3412006004;1153;119,851;1982;0,01;0,45;2,05;1443
3412006006;929;117,675;1988;0,01;0,39;0,44;1444
3412006007;922;105,211;1981;0,01;0,25;0;1445
3412007001;848;151,974;1985;0,01;0,67;2,23;1446
3412007002;512;71,539;1956;0;0,18;97,46;1447
3412007003;1181;108,638;1981;0,01;0,44;1,73;1448
3412007004;898;172,451;1996;0,01;0,52;0,42;1449
3412007005;618;99,625;1973;0,01;0,26;0;1450
3412007006;461;128,915;1972;0;0,17;0;1451
3412007007;586;95,113;1974;0;0,21;0;1452
3412007008;567;65,19;1965;0;0,26;0;1453
3412007009;639;98,559;1979;0;0,18;0;1454
3412007010;834;120,504;1992;0,01;0,36;0;1455
3412007011;579;94,337;1971;0,01;0,27;0,2;1456
3412007012;950;119,649;1987;0,01;0,4;0,13;1457
3412007013;437;98,419;1972;0;0,3;0;1458
3412007014;357;126,485;1972;0;0,23;0;1459
3412007015;447;121,951;1976;0,01;0,22;0;1460
3412007016;920;119,722;1991;0,01;0,32;0,32;1461
3412007017;617;115,817;1980;0;0,26;0;1462
3412007018;462;145,558;2000;0;0,23;0;1463
3412007019;410;108,327;1996;0;0,22;0;1464
3412007020;1108;121,538;2003;0;0,21;0;1465
3412101001;229;244,074;1905;0,03;0,63;2,82;1466
3412201001;76;315,263;1985;0,02;0,48;36,76;1467
3412301001;624;272,548;1977;0,02;0,62;11,17;1468
3412301002;558;221,091;1971;0,02;0,78;8,63;1469
3412401001;52;308,577;1978;0,02;0,55;65,31;1470
3412501001;87;382,977;1968;0,02;0,53;14,1;1471
3412601001;220;271,405;1922;0,03;0,58;40,91;1472
3412701001;99;257,121;1976;0,01;0,6;17,98;1473
3412901001;121;228,388;1989;0,02;0,52;20,62;1474
3413001001;185;291,6;1960;0,01;0,58;17,65;1475
3413101001;45;331,311;1932;0,02;0,57;31,82;1476
3413201001;138;236,167;1969;0,01;0,63;18,7;1477
3413301001;83;206,771;1937;0,02;0,62;5,33;1478
3413401001;64;305,391;1952;0,02;0,55;44,44;1479
3413501001;515;300,515;1954;0,02;0,59;43,02;1480
3413601001;79;281,278;1986;0,02;0,51;27,14;1481
3413701001;39;282,359;1956;0,01;0,49;50;1482
3413901001;160;307,706;1938;0,02;0,61;51,05;1483
3414001001;69;293,652;1989;0,02;0,61;33,33;1484
3414101001;157;200,159;1945;0,03;0,59;6,87;1485
3414301001;189;264,64;1898;0,03;0,56;34,78;1486
3414601001;52;264,096;1922;0,04;0,53;4,55;1487
3414701001;186;252,522;1928;0,03;0,63;43,59;1488
3414901001;40;319,825;1962;0,01;0,56;26,32;1489
3415101001;186;268,527;1978;0,02;0,48;44,51;1490
3415201001;185;275,486;1974;0,01;0,6;21,71;1491
3415401001;59;351,356;1983;0,01;0,45;75,86;1492
3415501001;104;253,654;1918;0,03;0,59;11,83;1493
3415601001;40;318,875;1947;0,01;0,62;23,08;1494
3415701001;816;137,223;1987;0,01;0,65;1,32;1495
3415701002;989;154,087;1992;0,02;0,74;2,18;1496
3415701003;632;226,622;1981;0,02;0,65;10,09;1497
3415801001;280;243,039;1972;0,02;0,68;21,6;1498
3415901001;263;261,954;1969;0,01;0,61;13,79;1499
3416001001;172;319,634;1959;0,02;0,58;60,26;1500
3416101001;41;340,561;1969;0,02;0,48;45,45;1501
3416301001;87;291,161;1968;0,01;0,62;30,49;1502
3416501001;67;365,164;1960;0,01;0,51;26,56;1503
3416701001;65;326,462;1957;0,02;0,44;18,64;1504
3416801001;50;289,54;1982;0,02;0,47;70,83;1505
3416901001;219;251,338;1950;0,03;0,52;29,17;1506
3417001001;20;343,3;1956;0,02;0,48;52,94;1507
3417101001;1020;237,224;1970;0,02;0,64;31,75;1508
3417401001;159;300,075;1965;0,02;0,63;15,6;1509
3417501001;77;253,506;1938;0,03;0,52;45;1510
3417601001;162;281,401;1959;0,02;0,57;33,33;1511
3417701001;111;228,081;1949;0,03;0,7;25,53;1512
3417801001;110;252,691;1922;0,03;0,57;4,85;1513
3417901001;30;205;1998;0,03;0,62;28,57;1514
3418001001;95;347,705;1965;0,02;0,53;15,66;1515
3418101001;350;161,591;1965;0,02;0,71;6,76;1516
3418201001;821;179,348;1921;0,03;0,63;14,71;1517
3418401001;54;349,222;1972;0,02;0,6;6;1518
3418501001;163;242,479;1959;0,02;0,61;32,56;1519
3418601001;40;251,075;1920;0,04;0,44;8,33;1520
3418901001;66;259,879;1908;0,04;0,63;10,17;1521
3419001001;59;284,407;1985;0,02;0,55;40;1522
3419201001;112;293,554;1881;0,03;0,49;36,36;1523
3419601001;107;203,243;1939;0,02;0,59;26,6;1524
3419901001;1127;172,922;1965;0,01;0,7;15,72;3530
3420101001;162;273,846;1935;0,01;0,57;54,9;1525
3420201001;26;307,923;1929;0,02;0,47;36;1526
3420401001;61;335,197;1892;0,02;0,61;42,11;1527
3420501001;106;199,415;1936;0,02;0,56;18,95;1528
3420601001;743;186,374;1941;0,03;0,79;9,14;1529
3420801001;93;253,527;1982;0,02;0,5;35,9;1530
