Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;2,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;4,5
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;4,4
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;5,3
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;6
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;2,6
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;4
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;4,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;7,6
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;7,2
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;11,3
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;11,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;14,6
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;15,9
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;7,3
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;10,2
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;12,1
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;15,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;15,9
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;20,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;24,8
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;30,4
40001 Abades;4000101 Abades distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;34,8
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;1,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;2
