CP,lat,lon,CUSEC
09227,42.29186,-4.009,0918001001
09228,42.1722,-3.9160500000000003,0910101001
09230,42.31241818181818,-3.873236363636364,0912501001
09233,42.8535,-3.8806,0901101001
09239,42.25148,-3.8414,0902301001
09240,42.5516,-3.3234,0905601003
09244,42.65852857142857,-3.273257142857143,0928301001
09245,42.596140000000005,-3.25172,0905201001
09246,42.62975384615384,-3.4246384615384615,0904301001
09247,42.540483333333334,-3.4152500000000003,0914301001
09248,42.497885714285715,-3.3069142857142855,0907601001
09249,42.637588888888885,-3.335566666666667,0904301001
09250,42.4205,-3.191,0904801001
09251,42.6401,-3.2063,0911501001
09252,42.673100000000005,-3.1883999999999997,0922001001
09253,42.6788,-3.2377,0907701001
09257,42.3878,-3.3095,0943101001
09258,42.42820714285715,-3.3054428571428573,0943101001
09259,42.42984545454545,-3.102990909090909,0904601001
09260,42.3245,-3.2017,0927401001
09267,42.3427,-3.1179,0904801002
09268,42.337149999999994,-3.2059699999999998,0930301001
09269,42.3302,-3.2918,0930301001
09270,42.47905,-3.1256500000000003,0930801001
09271,42.5485,-3.1932,0929801001
09272,42.4808,-3.1999,0904801002
09280,42.65915,-3.12025,0925101001
09285,42.6342,-3.1118,0925101001
09290,42.4145,-3.5095,0928801001
09292,42.440961538461536,-3.4206692307692306,0935101001
09293,42.65046666666667,-3.009233333333333,0921904001
09294,42.7514,-2.9307375,0900601001
09300,41.6966,-3.9291,0932101001
09310,41.8196,-3.921533333333333,0939001001
09311,41.762299999999996,-3.9048,0916801001
09312,41.8161,-4.024,0939101001
09313,41.7534,-3.9325,0901701001
09314,41.73492,-3.9867599999999994,0925601001
09315,41.616600000000005,-3.85935,0913601001
09316,41.674,-3.8674,0917001001
09317,41.6541,-3.9879,0919901001
09318,41.61273333333333,-3.9321,0913801001
09319,41.6668,-3.9412,0911701001
09320,42.1678,-3.6839,0919601001
09338,42.1202,-4.0775,0941801001
09339,42.14625,-3.79575,0946601001
09340,42.0259,-3.7584,0919401001
09341,42.0447,-3.824666666666667,0938401001
09342,42.10456666666666,-4.025066666666667,0935001001
09343,42.0768,-3.9132,0943701001
09344,41.9169,-3.9130000000000003,0943201001
09345,42.0054,-3.8714000000000004,0903201001
09346,42.0772,-3.54705,0911301001
09347,42.02717142857143,-3.6000142857142854,0927701001
09348,41.983625,-3.62705,0919401002
09349,41.93465714285714,-3.733285714285714,0910401001
09350,41.8392,-3.745725,0923901001
09351,42.18985,-3.6195500000000003,0916201001
09352,42.1685,-3.6102,0911401001
09353,41.8599,-3.5591,0935201001
09354,41.8736,-3.6197,0927001001
09360,41.9262,-3.7896,0919401002
09370,41.75463333333334,-3.7361333333333335,0901802005
09390,42.09266,-3.72248,0938601001
09391,41.6517,-3.7809,0908501001
09400,41.6704,-3.6892,0901802003
