Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Estudiante;2023;3
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Estudiante;2022;2
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Estudiante;2021;1
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2023;82
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2022;80
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2021;75
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Ocupado/a;2023;29
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Ocupado/a;2022;25
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Ocupado/a;2021;24
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Parado/a;2023;0
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Parado/a;2022;1
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Parado/a;2021;5
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;26
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;26
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;28
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Otra situación de inactividad;2023;19
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Otra situación de inactividad;2022;19
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Otra situación de inactividad;2021;12
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Estudiante;2023;8
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Estudiante;2022;9
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Estudiante;2021;6
24 León;24002 Algadefe;;Total;Total;2023;259
24 León;24002 Algadefe;;Total;Total;2022;256
24 León;24002 Algadefe;;Total;Total;2021;256
24 León;24002 Algadefe;;Total;Ocupado/a;2023;113
24 León;24002 Algadefe;;Total;Ocupado/a;2022;114
24 León;24002 Algadefe;;Total;Ocupado/a;2021;117
24 León;24002 Algadefe;;Total;Parado/a;2023;13
24 León;24002 Algadefe;;Total;Parado/a;2022;9
24 León;24002 Algadefe;;Total;Parado/a;2021;14
24 León;24002 Algadefe;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;85
24 León;24002 Algadefe;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;83
24 León;24002 Algadefe;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;87
24 León;24002 Algadefe;;Total;Otra situación de inactividad;2023;38
24 León;24002 Algadefe;;Total;Otra situación de inactividad;2022;38
24 León;24002 Algadefe;;Total;Otra situación de inactividad;2021;29
24 León;24002 Algadefe;;Total;Estudiante;2023;10
24 León;24002 Algadefe;;Total;Estudiante;2022;12
24 León;24002 Algadefe;;Total;Estudiante;2021;9
24 León;24002 Algadefe;;Hombres;Total;2023;141
24 León;24002 Algadefe;;Hombres;Total;2022;140
24 León;24002 Algadefe;;Hombres;Total;2021;139
24 León;24002 Algadefe;;Hombres;Ocupado/a;2023;71
24 León;24002 Algadefe;;Hombres;Ocupado/a;2022;73
24 León;24002 Algadefe;;Hombres;Ocupado/a;2021;74
24 León;24002 Algadefe;;Hombres;Parado/a;2023;8
24 León;24002 Algadefe;;Hombres;Parado/a;2022;5
24 León;24002 Algadefe;;Hombres;Parado/a;2021;7
24 León;24002 Algadefe;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;46
24 León;24002 Algadefe;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;46
24 León;24002 Algadefe;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;47
24 León;24002 Algadefe;;Hombres;Otra situación de inactividad;2023;10
24 León;24002 Algadefe;;Hombres;Otra situación de inactividad;2022;8
24 León;24002 Algadefe;;Hombres;Otra situación de inactividad;2021;5
24 León;24002 Algadefe;;Hombres;Estudiante;2023;6
24 León;24002 Algadefe;;Hombres;Estudiante;2022;8
24 León;24002 Algadefe;;Hombres;Estudiante;2021;6
24 León;24002 Algadefe;;Mujeres;Total;2023;118
24 León;24002 Algadefe;;Mujeres;Total;2022;116
24 León;24002 Algadefe;;Mujeres;Total;2021;117
24 León;24002 Algadefe;;Mujeres;Ocupado/a;2023;42
24 León;24002 Algadefe;;Mujeres;Ocupado/a;2022;41
24 León;24002 Algadefe;;Mujeres;Ocupado/a;2021;43
24 León;24002 Algadefe;;Mujeres;Parado/a;2023;5
24 León;24002 Algadefe;;Mujeres;Parado/a;2022;4
24 León;24002 Algadefe;;Mujeres;Parado/a;2021;7
24 León;24002 Algadefe;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;39
24 León;24002 Algadefe;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;37
24 León;24002 Algadefe;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;40
24 León;24002 Algadefe;;Mujeres;Otra situación de inactividad;2023;28
24 León;24002 Algadefe;;Mujeres;Otra situación de inactividad;2022;30
24 León;24002 Algadefe;;Mujeres;Otra situación de inactividad;2021;24
24 León;24002 Algadefe;;Mujeres;Estudiante;2023;4
24 León;24002 Algadefe;;Mujeres;Estudiante;2022;4
24 León;24002 Algadefe;;Mujeres;Estudiante;2021;3
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Total;2023;259
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Total;2022;256
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Total;2021;256
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Ocupado/a;2023;113
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Ocupado/a;2022;114
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Ocupado/a;2021;117
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Parado/a;2023;13
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Parado/a;2022;9
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Parado/a;2021;14
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;85
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;83
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;87
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Otra situación de inactividad;2023;38
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Otra situación de inactividad;2022;38
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Otra situación de inactividad;2021;29
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Estudiante;2023;10
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Estudiante;2022;12
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Total;Estudiante;2021;9
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Total;2023;141
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Total;2022;140
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Total;2021;139
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Ocupado/a;2023;71
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Ocupado/a;2022;73
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Ocupado/a;2021;74
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Parado/a;2023;8
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Parado/a;2022;5
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Parado/a;2021;7
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;46
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;46
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;47
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Otra situación de inactividad;2023;10
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Otra situación de inactividad;2022;8
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Otra situación de inactividad;2021;5
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Estudiante;2023;6
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Estudiante;2022;8
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Hombres;Estudiante;2021;6
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Total;2023;118
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Total;2022;116
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Total;2021;117
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Ocupado/a;2023;42
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Ocupado/a;2022;41
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Ocupado/a;2021;43
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Parado/a;2023;5
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Parado/a;2022;4
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Parado/a;2021;7
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;39
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;37
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;40
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Otra situación de inactividad;2023;28
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Otra situación de inactividad;2022;30
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Otra situación de inactividad;2021;24
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Estudiante;2023;4
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Estudiante;2022;4
24 León;24002 Algadefe;2400201001 Algadefe sección 01001;Mujeres;Estudiante;2021;3
24 León;24003 Alija del Infantado;;Total;Total;2023;563
24 León;24003 Alija del Infantado;;Total;Total;2022;554
24 León;24003 Alija del Infantado;;Total;Total;2021;571
24 León;24003 Alija del Infantado;;Total;Ocupado/a;2023;182
24 León;24003 Alija del Infantado;;Total;Ocupado/a;2022;187
24 León;24003 Alija del Infantado;;Total;Ocupado/a;2021;188
24 León;24003 Alija del Infantado;;Total;Parado/a;2023;41
24 León;24003 Alija del Infantado;;Total;Parado/a;2022;34
24 León;24003 Alija del Infantado;;Total;Parado/a;2021;40
24 León;24003 Alija del Infantado;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;243
24 León;24003 Alija del Infantado;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;245
24 León;24003 Alija del Infantado;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;250
24 León;24003 Alija del Infantado;;Total;Otra situación de inactividad;2023;89
24 León;24003 Alija del Infantado;;Total;Otra situación de inactividad;2022;75
24 León;24003 Alija del Infantado;;Total;Otra situación de inactividad;2021;82
24 León;24003 Alija del Infantado;;Total;Estudiante;2023;8
24 León;24003 Alija del Infantado;;Total;Estudiante;2022;13
24 León;24003 Alija del Infantado;;Total;Estudiante;2021;11
