Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Parado/a;2022;14
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Parado/a;2021;14
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;47
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;48
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;44
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Otra situación de inactividad;2023;38
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Otra situación de inactividad;2022;29
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Otra situación de inactividad;2021;31
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Estudiante;2023;7
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Estudiante;2022;16
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Estudiante;2021;16
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2023;90
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2022;90
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2021;91
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Ocupado/a;2023;44
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Ocupado/a;2022;46
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Ocupado/a;2021;44
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Parado/a;2023;7
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Parado/a;2022;6
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Parado/a;2021;8
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;28
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;26
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Otra situación de inactividad;2023;9
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Otra situación de inactividad;2022;5
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Otra situación de inactividad;2021;7
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Estudiante;2023;3
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Estudiante;2022;5
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Estudiante;2021;6
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2023;95
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2022;95
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2021;93
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Ocupado/a;2023;35
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Ocupado/a;2022;32
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Ocupado/a;2021;35
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Parado/a;2023;7
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Parado/a;2022;8
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Parado/a;2021;6
