Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Total;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Total;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Total;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Ocupado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Ocupado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Ocupado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Parado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Parado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Parado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Hombres;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Total;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Total;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Total;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Ocupado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Ocupado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Ocupado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Parado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Parado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Parado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Mujeres;Estudiante;2021;.
