Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Parado/a;2023;44
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Parado/a;2022;51
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Parado/a;2021;65
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;261
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;272
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;265
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Otra situación de inactividad;2023;226
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Otra situación de inactividad;2022;209
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Otra situación de inactividad;2021;210
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Estudiante;2023;33
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Estudiante;2022;39
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Total;Estudiante;2021;40
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Total;2023;532
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Total;2022;519
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Total;2021;521
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Ocupado/a;2023;255
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Ocupado/a;2022;236
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Ocupado/a;2021;234
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Parado/a;2023;27
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Parado/a;2022;30
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Parado/a;2021;40
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;177
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;186
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;181
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Otra situación de inactividad;2023;61
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Otra situación de inactividad;2022;52
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Otra situación de inactividad;2021;51
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Estudiante;2023;12
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Estudiante;2022;15
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Hombres;Estudiante;2021;15
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Total;2023;465
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Total;2022;463
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Total;2021;462
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Ocupado/a;2023;178
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Ocupado/a;2022;175
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Ocupado/a;2021;169
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Parado/a;2023;17
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Parado/a;2022;21
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Parado/a;2021;25
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;84
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;86
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;84
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Otra situación de inactividad;2023;165
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Otra situación de inactividad;2022;157
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Otra situación de inactividad;2021;159
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Estudiante;2023;21
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Estudiante;2022;24
49 Zamora;49003 Alcañices;4900301001 Alcañices sección 01001;Mujeres;Estudiante;2021;25
49 Zamora;49004 Alcubilla de Nogales;;Total;Total;2023;102
49 Zamora;49004 Alcubilla de Nogales;;Total;Total;2022;108
49 Zamora;49004 Alcubilla de Nogales;;Total;Total;2021;110
49 Zamora;49004 Alcubilla de Nogales;;Total;Ocupado/a;2023;32
49 Zamora;49004 Alcubilla de Nogales;;Total;Ocupado/a;2022;38
49 Zamora;49004 Alcubilla de Nogales;;Total;Ocupado/a;2021;39
49 Zamora;49004 Alcubilla de Nogales;;Total;Parado/a;2023;8
49 Zamora;49004 Alcubilla de Nogales;;Total;Parado/a;2022;8
49 Zamora;49004 Alcubilla de Nogales;;Total;Parado/a;2021;4
49 Zamora;49004 Alcubilla de Nogales;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;34
49 Zamora;49004 Alcubilla de Nogales;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;35
49 Zamora;49004 Alcubilla de Nogales;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;39
49 Zamora;49004 Alcubilla de Nogales;;Total;Otra situación de inactividad;2023;26
49 Zamora;49004 Alcubilla de Nogales;;Total;Otra situación de inactividad;2022;26
49 Zamora;49004 Alcubilla de Nogales;;Total;Otra situación de inactividad;2021;27
49 Zamora;49004 Alcubilla de Nogales;;Total;Estudiante;2023;2
49 Zamora;49004 Alcubilla de Nogales;;Total;Estudiante;2022;1
49 Zamora;49004 Alcubilla de Nogales;;Total;Estudiante;2021;1
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Total;2023;56
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Total;2022;57
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Total;2021;59
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Ocupado/a;2023;23
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Ocupado/a;2022;25
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Ocupado/a;2021;25
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Parado/a;2023;2
49 Zamora;49004 Alcubilla de Nogales;;Hombres;Parado/a;2022;3
