Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2015;202
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2023;97,9
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2022;97,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2021;97,5
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2020;97,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2019;97,7
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2018;97,8
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2017;97,9
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2016;98
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población española;2015;99,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2023;63,6
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2022;63,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2021;62,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2020;61,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2019;57
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2018;57
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2017;56,8
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2016;56,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Edad media de la población;2015;56,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2023;4,2
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2022;4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2021;3,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2020;3,6
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2019;3,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2018;3,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2017;3,6
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2016;4,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población menor de 18 años;2015;4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2023;48,6
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2022;49,3
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2021;48,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2020;45,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2019;43,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Porcentaje de población de 65 y más años;2018;43,2
