Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2017;32,9
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2016;33
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2015;32,3
09003 Adrada de Haza;;;Tamaño medio del hogar;2023;2,2
09003 Adrada de Haza;;;Tamaño medio del hogar;2022;2,1
09003 Adrada de Haza;;;Tamaño medio del hogar;2021;2,2
09003 Adrada de Haza;;;Tamaño medio del hogar;2020;2,2
09003 Adrada de Haza;;;Tamaño medio del hogar;2019;2,3
09003 Adrada de Haza;;;Tamaño medio del hogar;2018;2,2
09003 Adrada de Haza;;;Tamaño medio del hogar;2017;2,3
09003 Adrada de Haza;;;Tamaño medio del hogar;2016;2,3
09003 Adrada de Haza;;;Tamaño medio del hogar;2015;2,2
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2023;39,4
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2022;41,5
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2021;39,6
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2020;40,9
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2019;38,2
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2018;39,6
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2017;40
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2016;39,6
09003 Adrada de Haza;;;Porcentaje de hogares unipersonales;2015;43,9
09003 Adrada de Haza;;;Población;2023;205
09003 Adrada de Haza;;;Población;2022;202
09003 Adrada de Haza;;;Población;2021;201
09003 Adrada de Haza;;;Población;2020;197
09003 Adrada de Haza;;;Población;2019;202
09003 Adrada de Haza;;;Población;2018;203
09003 Adrada de Haza;;;Población;2017;219
09003 Adrada de Haza;;;Población;2016;221
09003 Adrada de Haza;;;Población;2015;220
09003 Adrada de Haza;;;Porcentaje de población española;2023;90,2
