Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2022;5,9
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2021;4,6
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2020;4,7
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2023;32,8
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2022;29,4
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2021;28,8
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2020;31,3
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población de 65 y más años;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Tamaño medio del hogar;2023;2,4
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Tamaño medio del hogar;2022;2,4
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Tamaño medio del hogar;2021;2,4
