Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
40002 Adrada de Pirón;;;Tamaño medio del hogar;2023;2,2
40002 Adrada de Pirón;;;Tamaño medio del hogar;2022;2,1
40002 Adrada de Pirón;;;Tamaño medio del hogar;2021;2,1
40002 Adrada de Pirón;;;Tamaño medio del hogar;2020;1,9
40002 Adrada de Pirón;;;Tamaño medio del hogar;2019;.
40002 Adrada de Pirón;;;Tamaño medio del hogar;2018;.
40002 Adrada de Pirón;;;Tamaño medio del hogar;2017;.
40002 Adrada de Pirón;;;Tamaño medio del hogar;2016;.
40002 Adrada de Pirón;;;Tamaño medio del hogar;2015;.
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2023;36,8
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2022;50
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2021;50
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2020;52,6
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2019;.
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2018;.
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2017;.
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2016;.
40002 Adrada de Pirón;;;Porcentaje de hogares unipersonales;2015;.
40002 Adrada de Pirón;;;Población;2023;41
40002 Adrada de Pirón;;;Población;2022;38
40002 Adrada de Pirón;;;Población;2021;38
40002 Adrada de Pirón;;;Población;2020;37
40002 Adrada de Pirón;;;Población;2019;.
40002 Adrada de Pirón;;;Población;2018;.
40002 Adrada de Pirón;;;Población;2017;.
40002 Adrada de Pirón;;;Población;2016;.
40002 Adrada de Pirón;;;Población;2015;.
40002 Adrada de Pirón;;;Porcentaje de población española;2023;100
40002 Adrada de Pirón;;;Porcentaje de población española;2022;97,4
40002 Adrada de Pirón;;;Porcentaje de población española;2021;97,4
40002 Adrada de Pirón;;;Porcentaje de población española;2020;97,4
40002 Adrada de Pirón;;;Porcentaje de población española;2019;.
40002 Adrada de Pirón;;;Porcentaje de población española;2018;.
40002 Adrada de Pirón;;;Porcentaje de población española;2017;.
40002 Adrada de Pirón;;;Porcentaje de población española;2016;.
40002 Adrada de Pirón;;;Porcentaje de población española;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2023;47,2
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2022;50,1
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2021;50,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2020;52,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Edad media de la población;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2023;12,2
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2022;7,9
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2021;7,9
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2020;5,4
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2019;.
