Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2023;24,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2022;23,8
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2021;23,2
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2020;22,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2019;22,8
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2018;22,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2017;22,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2016;22,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población de 65 y más años;2015;22,4
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2023;2,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2022;2,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2021;2,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2020;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2019;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2018;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2017;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2016;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Tamaño medio del hogar;2015;2,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2023;27
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2022;27
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2021;26
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2020;25,1
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2019;26,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2018;26,2
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2017;24,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2016;23,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de hogares unipersonales;2015;25,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Población;2023;1.721
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Población;2022;1.743
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Población;2021;1.785
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Población;2020;1.797
