servicio_id;distancia;Seccion_id
2054;10007,643;46
3487;10007,643;46
3494;10007,643;46
4437;10007,643;46
4994;10007,643;46
5317;10007,643;46
5320;10007,643;46
7189;10007,643;46
1215;11845,138;46
23;1475,496;47
26;1475,496;47
329;1475,496;47
334;1475,496;47
339;1475,496;47
2055;1475,496;47
2338;1475,496;47
3480;1475,496;47
5005;1475,496;47
5322;1475,496;47
6218;1475,496;47
6224;1475,496;47
24;1603,198;47
764;1603,198;47
1200;1603,198;47
2056;1603,198;47
2909;1603,198;47
3498;1603,198;47
4993;1603,198;47
6220;1603,198;47
52;6334,124;47
333;6334,124;47
1204;6334,124;47
2054;6334,124;47
3487;6334,124;47
3494;6334,124;47
4437;6334,124;47
4994;6334,124;47
5317;6334,124;47
5320;6334,124;47
7189;6334,124;47
335;5874,315;47
1203;5874,315;47
2057;5874,315;47
2058;5874,315;47
3481;5874,315;47
7187;5874,315;47
7195;5874,315;47
7736;5874,315;47
1215;12897,970;47
23;625,885;48
26;625,885;48
329;625,885;48
334;625,885;48
339;625,885;48
2055;625,885;48
2338;625,885;48
3480;625,885;48
5005;625,885;48
5322;625,885;48
6218;625,885;48
6224;625,885;48
24;1501,651;48
764;1501,651;48
1200;1501,651;48
2056;1501,651;48
2909;1501,651;48
3498;1501,651;48
4993;1501,651;48
6220;1501,651;48
52;7201,117;48
333;7201,117;48
1204;7201,117;48
2054;7201,117;48
3487;7201,117;48
3494;7201,117;48
4437;7201,117;48
4994;7201,117;48
5317;7201,117;48
5320;7201,117;48
7189;7201,117;48
335;5665,214;48
1203;5665,214;48
2057;5665,214;48
2058;5665,214;48
3481;5665,214;48
7187;5665,214;48
7195;5665,214;48
7736;5665,214;48
1215;12223,291;48
23;3261,357;49
26;3261,357;49
329;3261,357;49
334;3261,357;49
339;3261,357;49
2055;3261,357;49
2338;3261,357;49
3480;3261,357;49
5005;3261,357;49
5322;3261,357;49
6218;3261,357;49
6224;3261,357;49
24;4186,188;49
764;4186,188;49
1200;4186,188;49
2056;4186,188;49
2909;4186,188;49
3498;4186,188;49
4993;4186,188;49
6220;4186,188;49
52;10690,218;49
333;10690,218;49
1204;10690,218;49
2054;10690,218;49
3487;10690,218;49
3494;10690,218;49
4437;10690,218;49
4994;10690,218;49
5317;10690,218;49
5320;10690,218;49
7189;10690,218;49
335;6484,407;49
1203;6484,407;49
2057;6484,407;49
2058;6484,407;49
3481;6484,407;49
7187;6484,407;49
7195;6484,407;49
7736;6484,407;49
1215;9795,347;49
23;1377,091;50
26;1377,091;50
329;1377,091;50
334;1377,091;50
339;1377,091;50
2055;1377,091;50
2338;1377,091;50
3480;1377,091;50
5005;1377,091;50
5322;1377,091;50
6218;1377,091;50
6224;1377,091;50
