CUSEC;dist_min_ceas_km;disp_ponderada_ceas;dist_min_especializada_km;disp_ponderada_especializada;dist_min_primaria_km;disp_ponderada_primaria;dist_min_infantil_y_primaria_km;disp_ponderada_infantil_y_primaria;dist_min_adultos_e_idiomas_km;disp_ponderada_adultos_e_idiomas;dist_min_secundaria_y_bachillerato_km;dist_min_educación_especial_km;disp_ponderada_educación_especial;dist_min_formación_profesional_km;disp_ponderada_formación_profesional;dist_min_inclusión_social_km;disp_ponderada_inclusión_social;dist_min_población_general_km;disp_ponderada_población_general;dist_min_toxicomanías_y_adicciones_km;disp_ponderada_toxicomanías_y_adicciones;dist_min_personas_con_discapacidad_km;disp_ponderada_personas_con_discapacidad;dist_min_familia_km;disp_ponderada_familia;dist_min_mujer_km;disp_ponderada_mujer;dist_min_infancia_y_juventud_km;disp_ponderada_infancia_y_juventud;dist_min_voluntariado_km;disp_ponderada_voluntariado;dist_min_personas_mayores_km;disp_ponderada_personas_mayores;Seccion_id
0501904004;0;3,7;0,504;1,9;0,708;6,1;0,211;13,9;0,367;1,6;0,504;1,616;0,6;1,616;0,9;1,695;18;1,695;4,2;1,695;1,6;1,695;6;2,582;0,6;1,695;1,5;1,695;0,9;2,582;0,6;2,582;1,3;31
0501904005;0,315;3,3;0;1,9;0,571;6,1;0;14,3;0,665;1,6;0;1,187;0,6;1,187;0,9;1,193;20,4;1,193;4,2;1,193;1,6;1,193;6;2,33;0,6;1,193;1,5;1,193;0,9;2,33;0,6;2,33;1,3;32
0501904006;0,37;3,9;0,313;1,9;0,68;5,9;0;14,5;0,37;1,6;0,313;1,496;0,6;1,496;0,9;1,407;18;1,407;4,2;1,407;1,6;1,407;6;2,23;0,6;1,407;1,5;1,407;0,9;2,23;0,6;2,23;1,3;33
0501904008;0,256;3,3;0,571;1,9;0;5,7;0,571;13,1;1,045;1,2;0,256;1,031;0,6;1,031;0,9;1,432;20,4;1,432;4,2;1,432;1,6;1,432;6;2,881;0,6;1,432;1,5;1,432;0,9;2,881;0,6;2,881;1,3;34
0501904009;0,211;3,7;0,715;1,9;0,855;5,7;0;13,5;0,391;1,6;0,715;1,809;0,6;1,809;1,2;1,905;18;1,905;4,2;1,905;1,6;1,905;6;2,704;0,6;1,905;1,5;1,905;0,9;2,704;0,6;2,704;1,3;35
0501904010;0;3,3;0,315;1,9;0,256;5,7;0,315;13,9;0,853;1,6;0;1,061;0,6;1,061;0,9;1,294;20,4;1,294;4,2;1,294;1,6;1,294;6;2,631;0,6;1,294;1,5;1,294;0,9;2,631;0,6;2,631;1,3;36
0501904011;1,061;2,5;1,187;1,5;0;6,7;0;12,7;0,863;1,6;1,061;0;1;0;1,3;0,863;25,2;0,863;5,8;0,863;2;0,863;9,6;2,839;0,6;0,863;1,9;0,863;1,3;2,839;0,6;2,839;1,3;37
0501904012;3,49;2,4;3,721;1,5;2,618;5,3;2,618;11,1;3,302;1,3;3,49;2,618;0,6;2,618;0,9;2,844;18;3,302;4,2;3,302;1,6;3,302;5,7;5,306;0,3;3,302;1,2;3,302;0,9;5,306;0,3;5,306;0,8;38
0501904013;5,482;1,7;5,793;0,9;5,228;3;4,174;7,7;6,028;0,7;5,482;5,459;0,3;5,459;0,6;1,657;14,2;6,309;2,8;6,309;1,3;6,309;3;8,101;0,3;6,309;0,9;6,309;0,6;8,101;0,3;8,101;0,7;39
0501904014;4,67;2;4,983;1,2;4,363;3,8;4,363;8,1;5,223;0,7;4,67;4,363;0,6;4,363;0,9;0;17,4;5,223;3;5,223;1,3;5,223;3;7,165;0,3;5,223;0,9;5,223;0,6;7,165;0,3;7,165;0,8;40
0501905001;0,58;3,9;0,324;2,3;0,57;6,7;0,213;15,7;0,537;1,6;0,324;1,422;0,6;1,422;0,9;1,23;18;1,23;4,2;1,23;1,6;1,23;6;2,052;0,6;1,23;1,5;1,23;0,9;2,052;0,6;2,052;1,3;41
0501905002;0,754;3,9;0,451;2,3;0,557;6,3;0,245;15,4;0,764;1,6;0,245;1,343;0,6;1,343;0,9;1,026;18;1,026;4,2;1,026;1,6;1,026;6;1,879;0,6;1,026;1,5;1,026;0,9;1,879;0,6;1,879;1,3;42
0501905003;0,954;3,1;0,324;2,3;0,324;6,9;0,31;15,4;0,645;1,6;0,31;1,16;0,6;1,16;0,9;0,645;22,8;0,645;5,8;0,645;2;0,645;9,6;1,766;0,6;0,645;1,9;0,645;1,3;1,766;0,6;1,766;1,3;43
0501905004;1,294;2,4;0,626;1,9;0;7,1;0;13,2;0;1,6;0,95;0,863;1;0,863;1,3;0;22,8;0;5,8;0;2;0;9,6;2,023;0,6;0;1,9;0;1,3;2,023;0,6;2,023;1,3;44
0501905005;0,721;2,8;0,615;2,3;0,583;7,3;0,583;14,3;0,583;1,6;0,615;0,787;1;0,787;1,3;0,583;22,8;0,583;5,8;0,583;2;0,583;9,6;2,152;0,6;0,583;1,9;0,583;1,3;2,152;0,6;2,152;1,3;45
0501905006;3,026;2,5;2,837;1,5;1,964;5,3;1,964;12;2,219;1,3;3,026;1,964;0,6;1,964;0,9;2,219;20,4;2,219;4,2;2,219;1,6;2,219;6;3,998;0,6;2,219;1,5;2,219;0,9;3,998;0,6;3,998;1,4;46
0501906001;0,613;3,5;0,893;2,3;0;6,3;0;16,2;0,726;1,6;0,474;1,9;0,6;1,9;0,9;1,475;18;1,475;4,2;1,475;1,6;1,475;6;1,603;0,6;1,475;1,5;1,475;0,9;1,603;0,6;1,603;1,3;47
0501906002;1,278;2,7;0;1,9;0;6,9;0;14,2;0,626;1,6;0,468;1,348;0,6;1,348;0,9;0,626;22,8;0,626;5,8;0,626;2;0,626;9,6;1,502;0,6;0,626;1,9;0,626;1,3;1,502;0,6;1,502;1,3;48
0501906003;4,468;2,2;3,699;1,5;3,261;5,1;3,261;11,2;3,261;1;4,146;3,521;0,6;3,521;0,9;3,261;18;3,261;4,2;3,261;1,6;3,261;6;4,186;0,6;3,261;1,5;3,261;0,9;4,186;0,6;4,186;1,4;49
0501906004;0,832;3,1;0,79;1,9;0,23;6,3;0,219;15,4;0,947;1,6;0,473;1,899;0,6;1,899;0,9;1,377;18;1,377;4,2;1,377;1,6;1,377;6;1,392;0,6;1,377;1,5;1,377;0,9;1,392;0,6;1,392;1,3;50
0501906005;0,849;3,1;0,957;1,9;0,349;6,3;0;14,6;1,062;1,2;0,534;2,116;0,6;2,116;0,9;1,272;18;1,565;4,2;1,565;1,6;1,272;6;1,272;0,6;1,272;1,5;1,565;0,9;1,272;0,6;1,272;1,3;51
0501906008;1,424;2,7;1,175;1,8;0,964;5,4;0;13,6;1,679;1,2;1,042;2,499;0,6;2,499;0,9;0,674;21,2;1,789;4,2;1,789;1,6;0,674;6,4;0,674;1;0,674;1,9;1,789;0,9;0,674;1;0,674;2,1;52
0501906009;0,939;3,1;0,591;2,3;0,344;6,3;0,236;16,2;0,937;1,6;0,236;1,663;0,6;1,663;0,9;1,151;18;1,151;4,2;1,151;1,6;1,151;6;1,493;0,6;1,151;1,5;1,151;0,9;1,493;0,6;1,493;1,3;53
0501906010;1,202;2,7;0,545;1,9;0,545;6,1;0,232;14,6;1,171;1,2;0,494;1,832;0,6;1,832;0,9;1,156;18;1,171;4,2;1,171;1,6;1,156;6;1,156;0,6;1,156;1,5;1,171;0,9;1,156;0,6;1,156;1,3;54
0501906011;13,587;1,6;10,577;0,9;12,318;3,5;10,732;7;12,318;0,8;13,088;12,685;0,3;12,685;0,4;5,235;9,8;0;2,7;12,318;0,6;12,318;3;12,459;0,3;12,318;0,7;12,318;0,4;12,459;0,3;12,459;0,7;55
0501906012;2,097;2,7;1,502;1,8;1,502;4,8;0,674;12,4;2,023;1,2;1,647;2,839;0,6;2,839;0,9;0;21,2;2,023;4,2;2,023;1,6;0;6,4;0;1;0;1,9;2,023;0,9;0;1;0;2,1;56
0501906013;3,58;1,6;0;1,6;5,507;2,8;3,58;7,8;5,808;0,6;5,783;6,664;0,3;6,664;0,6;4,186;14,4;5,808;3;5,808;1,2;4,186;3,3;4,186;0,6;4,186;1,3;5,808;0,6;4,186;0,6;4,186;1,2;57
0501906014;2,08;2,6;0,808;2,2;0,808;5,7;0,808;12,2;1,053;1,2;1,226;1,915;0,6;1,915;0,9;1,053;18;1,053;4,2;1,053;1,6;1,053;6;1,115;0,6;1,053;1,5;1,053;0,9;1,115;0,6;1,115;1,3;58
0502101001;1,917;0,9;20,375;0,1;1,917;1,8;0;4;1,917;0,7;1,917;66,197;0;19,828;0,1;0;3,3;68,042;0;64,914;0;0;5;68,042;0;0;1;66,667;0;68,025;0;25,991;0,2;59
0502101002;0;1,3;22,27;0,1;0;2,4;1,917;3,2;0;1,1;0;66,556;0;21,724;0,1;1,917;2,1;68,427;0;65,248;0;1,917;3;68,427;0;1,917;0,6;66,98;0;68,343;0;24,584;0,1;60
0502201001;12,025;1,5;19,592;0,3;9,325;2,2;9,325;6,4;12,582;0,6;11,388;18,568;0,1;18,568;0,2;15,133;4,1;19,256;1;11,388;0,7;19,256;1;21,228;0,1;19,256;0,3;19,256;0,2;21,228;0,1;19,204;0,6;61
0502201002;8,125;1,7;28,648;0,2;0;3,1;0;7,8;8,125;0,8;7,398;27,682;0,1;27,682;0,1;11,435;2,3;28,411;0,5;7,398;0,4;28,411;0,9;30,409;0;28,411;0,1;28,411;0,1;30,409;0;10,009;0,6;62
0502301001;9,199;0,7;25,162;0,1;10,576;2,6;9,199;3,1;18,023;0,4;14,754;50,472;0;25,454;0,1;42,966;0;25,162;0,4;42,966;0;47,914;0;25,162;0,1;21,826;0,1;42,966;0;47,914;0;5,657;0,8;63
0502401001;10,917;0,8;11,648;0,3;10,268;1,6;9,11;4,5;10,77;0,6;10,917;61,941;0;11,107;0,3;9,11;1,3;63,659;0;60,781;0;9,11;1,5;63,659;0;9,11;0,3;62,61;0;63,659;0;20,296;0,1;64
0502501001;8,922;0,6;41,103;0;8,922;1,4;8,922;1,5;26,924;0,1;8,922;52,674;0;41,913;0;28,114;0,3;50,682;0;50,682;0;28,114;0,5;54,735;0;28,114;0,1;50,682;0;53,773;0;18,741;0,2;65
0502601001;6,66;0,6;27,214;0,1;9,451;2,1;5,438;2,7;21,812;0,4;12,973;50,684;0;27,249;0,1;42,926;0;27,214;0,4;42,926;0;48,236;0;27,214;0,1;24,296;0,1;42,926;0;48,236;0;9,163;0,8;66
0502701001;13,207;0,8;15,071;0,3;8,771;2,1;7,739;4;17,467;0,4;16,75;19,007;0,1;17,47;0,2;11,983;6,2;11,983;2;11,983;1;16,423;1;16,423;0,1;11,983;0,6;11,983;0,4;16,423;0,1;16,423;0,5;67
0502901001;12,88;0,8;34,508;0;5,53;1,7;5,53;2,8;20,844;0,3;5,53;42,471;0;34,771;0;34,663;0;34,508;0;34,663;0;40,064;0;34,508;0;19,094;0,1;34,663;0;40,064;0;5,53;0,8;68
0503001001;8,443;1,5;4,867;1,2;8,941;3;8,443;6,5;8,941;0,6;9,365;9,639;0,3;9,639;0,4;3,333;12,3;6,261;3;8,941;1,2;8,128;3;8,128;0,3;8,128;1;8,941;0,6;8,128;0,3;8,128;0,7;69
0503301001;12,786;0,8;40,408;0;10,908;2;9,957;2,4;9,957;0,3;13,211;41,581;0;35,979;0;33,801;0;33,801;0;33,801;0;40,33;0;40,33;0;33,801;0;33,801;0;40,33;0;17,575;0,2;70
0503401001;7,988;0,6;16,653;0,1;4,493;2,6;5,794;3,7;17,662;0,3;19,305;60,587;0;16,39;0,1;48,366;0;16,653;0,4;53,567;0;54,266;0;16,653;0,1;31,457;0;53,567;0;57,083;0;15,053;0,4;71
0503501001;5,376;0,9;19,64;0,3;17,591;1,7;5,376;3,4;21,043;0,4;17,591;25,951;0,1;25,951;0,2;20,024;3,2;21,975;1;21,975;0,4;23,132;1;23,132;0,1;10,067;0,6;21,975;0,2;23,132;0,1;21,031;0,5;72
0503601001;13,142;0,8;25,307;0,3;12,96;1,7;9,276;3,6;15,733;0,4;12,96;30,7;0;30,204;0;24,64;3,2;24,64;0,9;24,64;0,4;27,905;1;27,905;0,1;4,333;0,9;24,64;0,2;27,905;0,1;14,883;0,7;73
0503701001;11,28;0,7;28,644;0,1;11,28;1,4;12,801;1,9;11,28;0,4;11,28;73,162;0;29,071;0,1;12,801;0,9;71,695;0;63,513;0;12,801;1,5;74,735;0;12,801;0,3;71,695;0;74,735;0;13,353;0,4;74
0503801001;11,496;0,5;38,574;0;11,496;1,2;11,496;1,5;30,765;0;11,496;49,235;0;40,304;0;32,16;0;45,228;0;45,228;0;32,16;0;49,933;0;32,16;0;45,228;0;49,933;0;12,974;0,4;75
0503901001;11,871;0,9;23,219;0,3;6,298;2,5;6,298;3,8;22,555;0,3;18,747;24,4;0,1;19,131;0,2;16,53;3,9;16,53;0,9;16,53;0,4;23,06;1;23,06;0,1;16,53;0,4;16,53;0,2;23,06;0,1;18,747;0,4;76
0504001001;12,84;1,3;15,36;0,3;7,249;2,1;7,249;5,6;14,697;0,4;14,308;16,547;0,1;11,98;0,4;8,493;6,2;8,493;2;8,493;1;15,008;1;15,008;0,1;8,493;0,6;8,493;0,4;15,008;0,1;15,008;0,4;77
0504101001;0;2,3;29,865;0,1;0;3,1;0;5,5;20,438;0,2;8,727;29,415;0,1;28,466;0,2;21,481;0,9;30,277;0;8,727;0,3;30,277;0;32,158;0;30,277;0;30,277;0;32,158;0;9,828;0,8;78
0504201001;14,328;0,7;30,591;0;10,491;1,3;9,005;2,5;16,77;0,2;10,491;34,959;0;32,976;0;27,705;1,1;27,705;0,5;27,705;0,3;32,349;0;32,349;0;10,418;0,4;27,705;0,1;32,349;0;10,491;0,7;79
0504301001;10,486;0,6;31,467;0;8,509;2,1;4,887;2,8;21,872;0,3;8,509;46,492;0;31,583;0;38,655;0;31,467;0;38,655;0;44,095;0;31,467;0;22,079;0,1;38,655;0;44,095;0;8,509;0,8;80
0504401001;18,777;0,4;43,467;0;14,242;1,4;18,165;1,5;21,753;0,2;17,787;44,492;0;38,111;0;38,272;0;38,272;0;38,272;0;44,24;0;44,24;0;38,272;0;38,272;0;44,24;0;20,236;0,1;81
0504501001;14,663;1;26,258;0,3;12,972;1,9;11,114;3,6;18,798;0,3;12,972;30,701;0;28,953;0,1;23,594;1,9;23,594;0,5;23,594;0,3;28,066;0,1;28,066;0,1;9,581;0,5;23,594;0,1;28,066;0,1;12,972;0,7;82
0504601001;14,316;0,7;31,782;0;9,119;1,7;9,119;2,8;17,262;0,3;9,119;43,584;0;32,198;0;36,029;0;31,782;0;36,029;0;41,054;0;31,782;0;17,051;0,1;36,029;0;41,054;0;6,072;0,8;83
0504701001;6,422;0,8;15,037;0,1;6,422;1,4;0;3,8;15,037;0,1;0;72,479;0;13,654;0,3;37,601;0;73,281;0;54,351;0;37,601;0;74,75;0;37,601;0;73,281;0;74,75;0;11,614;0,4;84
0504703001;0;1,3;19,98;0,1;0;2,6;6,422;1,6;19,98;0,1;6,422;76,505;0;18,934;0,1;33,07;0;77,273;0;59,719;0;33,07;0;78,658;0;33,07;0;77,273;0;78,658;0;8,17;0,4;85
0504703002;8,17;0,7;19,034;0,1;8,17;1,4;11,614;1,9;19,034;0,2;11,614;72,203;0;18,74;0,1;25,991;0,3;72,237;0;57,903;0;25,991;0,5;74,177;0;25,991;0,1;72,237;0;74,177;0;0;1,1;86
0504703003;8,677;0,8;12,487;0,3;8,677;1,8;5,81;2,4;12,487;0,3;7,43;67,909;0;11,977;0,3;31,858;0;68,598;0;51,99;0;31,858;0;70,034;0;31,858;0;68,598;0;70,034;0;6,899;0,4;87
0504801001;10,778;0,6;36,452;0;3,422;2,4;3,422;2,7;20,772;0,3;3,422;41,967;0;36,618;0;34,016;0;34,016;0;34,016;0;39,66;0;36,452;0;20,853;0,1;34,016;0;39,66;0;3,422;1,1;88
0504901001;5,568;1,5;8,103;0,9;9,401;3,5;0;8;9,749;0,6;9,018;11,268;0,3;10,506;0,6;4,997;13,5;4,997;4,3;4,997;2,1;8,718;3;8,718;0,3;4,997;1,3;4,997;0,9;8,718;0,3;8,718;0,7;89
0505101001;4,274;0,9;18,085;0,1;4,274;1,8;2,36;3,4;4,274;0,7;4,274;66,004;0;17,539;0,1;2,36;2,1;67,816;0;64,754;0;2,36;3;67,816;0;2,36;0,6;66,531;0;67,816;0;25,847;0,2;90
0505201001;14,854;0,5;34,313;0;14,854;1,2;14,854;1,3;33,862;0;14,854;44,068;0;36,132;0;35,462;0;40,782;0;40,782;0;35,462;0;45,006;0;35,462;0;40,782;0;45,006;0;6,804;0,5;91
0505301001;10,148;1,4;10,913;0,9;10,747;3,1;6,723;6,8;10,308;0,6;10,34;11,971;0,3;5,769;0,6;6,723;11,8;6,723;2,8;6,723;1,2;11,755;3;11,755;0,3;6,723;0,9;6,723;0,6;11,755;0,3;11,755;0,8;92
0505401001;0;2,1;27,696;0,1;9,828;2,1;0;5,3;15,948;0,3;9,715;38,855;0;28,426;0,1;18,986;0,1;39,714;0;13,969;0,3;39,714;0;41,645;0;39,714;0;39,714;0;41,645;0;0;1,5;93
0505501001;5,955;1,2;36,617;0;3,089;1,9;3,089;5,5;6,351;0,6;3,089;35,675;0;35,675;0;3,699;0,6;36,416;0;11,578;0,3;36,416;0;38,422;0;36,416;0;36,416;0;38,422;0;3,089;0,9;94
0505601001;10,747;0,6;22,576;0,1;10,94;1,8;10,747;2,6;16,285;0,3;16,285;52,089;0;23,025;0,1;44,78;0;22,576;0,4;44,78;0;49,466;0;22,576;0,1;21,84;0,1;44,78;0;49,466;0;5,419;0,8;95
0505701001;0;2;28,841;0,2;2,855;2,8;2,855;5,5;5,529;0,6;2,855;27,745;0,1;27,745;0,1;17,981;3;23,918;0,5;18,748;0,2;28,218;1;29,927;0,1;28,218;0,2;28,218;0,1;29,927;0,1;9,926;0,6;96
0505702001;0,301;1,9;28,891;0,2;2,605;2,8;2,605;5,3;5,779;0,6;2,605;27,804;0,1;27,804;0,1;18,223;3;23,835;0,5;19,042;0,2;28,269;1;29,967;0,1;28,269;0,2;28,269;0,1;29,967;0,1;9,625;0,6;97
0505702002;2,855;1,2;30,809;0;0;2,8;0;4,9;7,137;0,4;0;29,771;0,1;29,771;0,1;19,185;0,9;24,857;0,1;21,45;0,1;30,191;0;31,821;0;30,191;0;30,191;0;31,821;0;7,705;0,4;98
0505801001;13,042;0,9;25,778;0,1;13,042;1,8;13,176;2;25,778;0,1;24,271;37,642;0;27,673;0,1;34,66;0;36,757;0;32,463;0;38,304;0;39,293;0;36,757;0;36,757;0;39,293;0;9,058;0,8;99
0505901001;11,721;0,8;25,647;0,3;4,118;3,5;0;4,4;25,024;0,3;24,971;26,731;0,1;20,504;0,2;20,128;3,9;20,128;0,9;20,128;0,4;26,226;1;26,226;0,1;20,128;0,3;20,128;0,2;26,226;0,1;21,045;0,5;100
0506001001;12,377;0,8;35,819;0;7,045;2;4,414;3,4;16,966;0,3;7,045;46,084;0;35,717;0;38,01;0;35,819;0;38,01;0;43,9;0;35,819;0;25,88;0,1;38,01;0;43,9;0;7,045;0,6;101
0506101001;5;1,5;5,506;0,9;5,401;2,9;2,736;7,6;5,005;0,6;5,312;6,423;0,3;0;1,3;5,572;11,8;5,572;2,8;5,572;1,3;6,699;3;6,983;0,3;5,572;0,9;5,572;0,6;6,983;0,3;6,983;0,7;102
