Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2022;28,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2021;28,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2020;29,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2019;28,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2018;29,0
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2017;29,0
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2016;27,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2015;27,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2023;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2022;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2021;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2020;2,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2019;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2018;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2017;2,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2016;2,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Distribución de la renta P80/P20;2015;2,3
09006 Aguas Cándidas;;;Índice de Gini;2023;.
09006 Aguas Cándidas;;;Índice de Gini;2022;.
09006 Aguas Cándidas;;;Índice de Gini;2021;.
09006 Aguas Cándidas;;;Índice de Gini;2020;.
09006 Aguas Cándidas;;;Índice de Gini;2019;.
09006 Aguas Cándidas;;;Índice de Gini;2018;.
09006 Aguas Cándidas;;;Índice de Gini;2017;.
09006 Aguas Cándidas;;;Índice de Gini;2016;.
09006 Aguas Cándidas;;;Índice de Gini;2015;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2023;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2022;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2021;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2020;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2019;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2018;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2017;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2016;.
09006 Aguas Cándidas;;;Distribución de la renta P80/P20;2015;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2023;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2022;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2021;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2020;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2019;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2018;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2017;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2016;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Índice de Gini;2015;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2023;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2022;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2021;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2020;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2019;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2018;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2017;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2016;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;;Distribución de la renta P80/P20;2015;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;0900601001 Aguas Cándidas sección 01001;Índice de Gini;2023;.
09006 Aguas Cándidas;0900601 Aguas Cándidas distrito 01;0900601001 Aguas Cándidas sección 01001;Índice de Gini;2022;.
