Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2016;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Índice de Gini;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Distribución de la renta P80/P20;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Índice de Gini;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Distribución de la renta P80/P20;2015;.
40003 Adrados;;;Índice de Gini;2023;30,5
40003 Adrados;;;Índice de Gini;2022;27,6
40003 Adrados;;;Índice de Gini;2021;26,8
40003 Adrados;;;Índice de Gini;2020;27,2
40003 Adrados;;;Índice de Gini;2019;36,4
40003 Adrados;;;Índice de Gini;2018;26,7
40003 Adrados;;;Índice de Gini;2017;29,2
