Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2022;25,8
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2021;25,4
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2020;26,4
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2019;26,4
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2018;26,3
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2017;26,8
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2016;25,3
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2015;25,7
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2023;2,4
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2022;2,3
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2021;2,2
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2020;2,3
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2019;2,2
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2018;2,2
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2017;2,3
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2016;2,2
42004 Ágreda;4200401 Ágreda distrito 01;;Distribución de la renta P80/P20;2015;2,3
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2023;26,0
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2022;24,8
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2021;24,6
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2020;25,4
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2019;25,7
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2018;25,6
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2017;26,0
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2016;24,9
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Índice de Gini;2015;25,2
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Distribución de la renta P80/P20;2023;2,4
42004 Ágreda;4200401 Ágreda distrito 01;4200401001 Ágreda sección 01001;Distribución de la renta P80/P20;2022;2,1
