Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2021;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2020;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2019;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2018;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2017;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2016;2,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2015;2,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2023;29,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2022;28,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2021;25,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2020;26,8
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2019;26,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2018;30,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2017;30,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2016;28,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Índice de Gini;2015;30,9
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2023;2,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2022;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2021;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2020;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2019;2,2
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2018;2,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2017;2,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2016;2,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401001 Aguilar de Campoo sección 01001;Distribución de la renta P80/P20;2015;2,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2023;29,2
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2022;29,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2021;29,3
