Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2016;35
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2015;34,3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2023;2,4
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2022;2,4
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2021;2,6
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2020;2,7
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2019;2,5
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2018;2,7
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2017;2,5
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2016;3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Distribución de la renta P80/P20;2015;3,1
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2023;33,3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2022;33,6
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2021;35
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2020;35,8
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2019;35,2
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2018;36,3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2017;37,3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2016;37,4
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Índice de Gini;2015;38,5
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2023;3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2022;3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2021;2,8
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2020;3,6
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2019;3,1
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2018;3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2017;3,4
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2016;3,6
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201002 Adrada, La sección 01002;Distribución de la renta P80/P20;2015;3,6
05005 Albornos;;;Índice de Gini;2023;30
05005 Albornos;;;Índice de Gini;2022;29,9
05005 Albornos;;;Índice de Gini;2021;24,7
05005 Albornos;;;Índice de Gini;2020;30,9
05005 Albornos;;;Índice de Gini;2019;29,9
05005 Albornos;;;Índice de Gini;2018;28,2
05005 Albornos;;;Índice de Gini;2017;28
05005 Albornos;;;Índice de Gini;2016;29,4
05005 Albornos;;;Índice de Gini;2015;27
05005 Albornos;;;Distribución de la renta P80/P20;2023;2,6
