Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Burgos;09355;2022;0;0;0;1;0;0;4;0;2;3;3;12;12;8;5;8;5;2;14;5;2;1;44;41;41,000;0,955
Burgos;09355;2023;0;0;0;0;1;0;1;1;0;3;2;11;12;8;6;7;6;1;12;6;2;0;39;40;inf;1,026
Burgos;09356;2021;0;0;1;1;2;6;1;6;2;3;4;4;7;4;2;3;3;1;3;1;0;2;39;13;6,500;0,385
Burgos;09356;2022;0;0;1;1;2;6;3;6;1;3;4;4;7;3;3;4;3;2;3;1;0;2;39;16;8,000;0,462
Burgos;09356;2023;0;0;1;0;5;4;4;5;3;3;5;4;9;5;7;3;8;3;1;2;0;2;46;24;12,000;0,565
Burgos;09358;2021;0;3;4;2;10;7;10;12;10;10;23;21;18;25;23;24;27;15;11;4;4;11;144;108;9,818;0,826
Burgos;09358;2022;1;2;3;5;10;7;9;12;12;9;25;24;17;22;22;24;31;15;11;6;2;12;145;112;9,333;0,855
Burgos;09358;2023;1;2;1;4;10;5;13;10;11;7;24;27;14;23;23;25;28;18;10;5;1;9;142;111;12,333;0,845
Burgos;09360;2021;1;1;0;0;0;2;0;1;0;1;4;4;5;3;3;3;0;0;0;0;0;1;20;7;7,000;0,400
Burgos;09360;2022;1;1;0;0;0;1;1;1;2;2;4;5;4;3;2;3;0;0;0;0;0;1;23;6;6,000;0,304
Burgos;09360;2023;1;0;1;0;0;1;1;2;2;1;3;5;4;4;1;3;1;0;0;0;0;1;23;6;6,000;0,304
Burgos;09361;2021;1;0;0;1;1;2;3;4;4;9;8;7;6;13;11;19;8;6;4;4;1;1;57;54;54,000;0,965
Burgos;09361;2022;0;0;0;1;2;1;6;4;4;7;9;11;10;12;11;16;11;5;4;4;1;1;66;52;52,000;0,803
Burgos;09361;2023;0;0;2;2;4;4;4;6;5;3;12;9;9;15;12;14;14;4;3;4;2;5;70;53;10,600;0,829
Burgos;09362;2021;0;6;6;18;13;12;10;8;9;22;18;25;29;17;17;8;15;8;8;2;0;33;160;58;1,758;0,569
Burgos;09362;2022;0;7;8;19;13;9;10;10;11;24;16;29;27;23;17;10;13;10;6;3;0;37;169;59;1,595;0,568
Burgos;09362;2023;0;4;10;19;14;5;15;6;11;22;18;27;27;25;19;11;8;11;5;5;0;36;167;59;1,639;0,569
Burgos;09363;2021;2;10;12;19;22;35;35;47;50;47;47;76;105;103;79;62;58;50;59;39;9;45;563;358;7,956;0,716
Burgos;09363;2022;4;9;17;18;23;37;38;44;49;51;44;70;97;111;77;64;56;46;59;32;14;49;559;352;7,184;0,717
Burgos;09363;2023;2;9;15;19;23;32;35;44;53;43;52;63;82;113;85;66;57;49;52;32;9;48;535;352;7,333;0,748
Burgos;09365;2021;0;0;0;0;2;0;0;0;1;0;4;3;2;1;4;3;0;1;3;1;0;0;13;12;inf;0,923
Burgos;09365;2022;0;0;0;0;2;0;0;2;1;0;4;3;2;1;2;3;2;1;2;0;1;0;15;11;inf;0,733
Burgos;09365;2023;0;1;0;0;1;0;0;1;2;3;3;4;1;2;2;3;1;0;3;0;1;1;17;10;10,000;0,647
Burgos;09366;2021;1;0;0;0;2;1;1;3;5;1;3;2;11;8;10;7;9;2;6;1;0;0;37;36;inf;0,973
Burgos;09366;2022;1;0;0;0;3;2;3;3;5;0;5;2;10;11;9;9;8;2;4;3;0;1;43;36;36,000;0,860
