Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05073;2023;147;128;275;53,455;46,545
Avila;05074;2021;384;352;736;52,174;47,826
Avila;05074;2022;376;348;724;51,934;48,066
Avila;05074;2023;370;346;716;51,676;48,324
Avila;05075;2021;57;53;110;51,818;48,182
Avila;05075;2022;53;52;105;50,476;49,524
Avila;05075;2023;52;55;107;48,598;51,402
Avila;05076;2021;316;276;592;53,378;46,622
Avila;05076;2022;311;285;596;52,181;47,819
Avila;05076;2023;308;290;598;51,505;48,495
Avila;05077;2021;89;69;158;56,329;43,671
Avila;05077;2022;88;72;160;55,000;45,000
Avila;05077;2023;88;70;158;55,696;44,304
Avila;05078;2021;55;41;96;57,292;42,708
Avila;05078;2022;54;40;94;57,447;42,553
Avila;05078;2023;52;37;89;58,427;41,573
Avila;05079;2021;38;26;64;59,375;40,625
Avila;05079;2022;36;23;59;61,017;38,983
Avila;05079;2023;35;23;58;60,345;39,655
Avila;05080;2021;18;18;36;50,000;50,000
Avila;05080;2022;24;23;47;51,064;48,936
Avila;05080;2023;23;22;45;51,111;48,889
Avila;05081;2021;28;14;42;66,667;33,333
Avila;05081;2022;27;14;41;65,854;34,146
Avila;05081;2023;27;14;41;65,854;34,146
Avila;05082;2021;308;269;577;53,380;46,620
Avila;05082;2022;322;253;575;56,000;44,000
Avila;05082;2023;304;244;548;55,474;44,526
Avila;05083;2021;76;71;147;51,701;48,299
Avila;05083;2022;80;77;157;50,955;49,045
Avila;05083;2023;79;75;154;51,299;48,701
Avila;05084;2021;36;26;62;58,065;41,935
Avila;05084;2022;36;24;60;60,000;40,000
Avila;05084;2023;33;17;50;66,000;34,000
Avila;05085;2021;19;23;42;45,238;54,762
Avila;05085;2022;21;23;44;47,727;52,273
Avila;05085;2023;22;22;44;50,000;50,000
Avila;05086;2021;46;28;74;62,162;37,838
Avila;05086;2022;48;30;78;61,538;38,462
Avila;05086;2023;45;29;74;60,811;39,189
Avila;05087;2021;63;106;169;37,278;62,722
Avila;05087;2022;65;109;174;37,356;62,644
Avila;05087;2023;60;107;167;35,928;64,072
Avila;05088;2021;13;13;26;50,000;50,000
Avila;05088;2022;16;17;33;48,485;51,515
Avila;05088;2023;16;20;36;44,444;55,556
Avila;05089;2021;267;259;526;50,760;49,240
Avila;05089;2022;258;245;503;51,292;48,708
Avila;05089;2023;248;241;489;50,716;49,284
Avila;05090;2021;39;35;74;52,703;47,297
Avila;05090;2022;36;30;66;54,545;45,455
Avila;05090;2023;32;30;62;51,613;48,387
Avila;05092;2021;89;66;155;57,419;42,581
Avila;05092;2022;87;67;154;56,494;43,506
Avila;05092;2023;82;65;147;55,782;44,218
Avila;05093;2021;254;198;452;56,195;43,805
Avila;05093;2022;292;225;517;56,480;43,520
Avila;05093;2023;287;223;510;56,275;43,725
Avila;05094;2021;73;58;131;55,725;44,275
Avila;05094;2022;79;62;141;56,028;43,972
Avila;05094;2023;86;65;151;56,954;43,046
Avila;05095;2021;150;115;265;56,604;43,396
Avila;05095;2022;152;116;268;56,716;43,284
Avila;05095;2023;154;120;274;56,204;43,796
Avila;05096;2021;48;29;77;62,338;37,662
