Provincia;CMuni;CUSEC;area_km2
Avila;05056;0505601001;12,696
Avila;05057;0505701001;0,167
Avila;05057;0505702001;0,171
Avila;05057;0505702002;137,426
Avila;05058;0505801001;31,393
Avila;05059;0505901001;14,171
Avila;05060;0506001001;20,309
Avila;05061;0506101001;11,256
Avila;05062;0506201001;18,436
Avila;05063;0506301001;4,842
Avila;05064;0506401001;26,842
Avila;05065;0506501001;31,919
Avila;05066;0506601001;19,171
Avila;05067;0506701001;15,451
Avila;05069;0506901001;14,745
Avila;05070;0507001001;11,476
Avila;05072;0507201001;19,387
Avila;05073;0507301001;43,042
Avila;05074;0507401001;36,412
Avila;05075;0507501001;24,640
Avila;05076;0507601001;12,622
Avila;05077;0507701001;9,811
Avila;05078;0507801001;20,004
Avila;05079;0507901001;20,466
Avila;05080;0508001001;43,267
Avila;05081;0508101001;18,191
Avila;05082;0508201001;29,416
Avila;05083;0508301001;17,185
Avila;05084;0508401001;15,190
Avila;05085;0508501001;15,460
Avila;05086;0508601001;19,053
Avila;05087;0508701001;10,631
Avila;05088;0508801001;11,590
Avila;05089;0508901001;37,384
Avila;05090;0509001001;22,147
Avila;05092;0509201001;19,374
Avila;05093;0509301001;48,377
Avila;05094;0509401001;21,530
Avila;05095;0509501001;35,050
Avila;05096;0509601001;12,501
Avila;05097;0509701001;46,535
Avila;05099;0509901001;47,320
Avila;05100;0510001001;24,219
Avila;05101;0510101001;52,480
Avila;05102;0510201001;46,188
Avila;05102;0510201002;34,492
Avila;05103;0510301001;17,223
Avila;05104;0510401001;9,883
Avila;05105;0510501001;52,916
Avila;05106;0510601001;11,869
Avila;05107;0510701001;18,610
Avila;05108;0510801001;15,023
Avila;05109;0510901001;24,447
Avila;05110;0511001001;33,667
Avila;05112;0511201001;19,546
Avila;05113;0511301001;17,466
Avila;05114;0511401001;63,245
Avila;05114;0511402001;43,571
Avila;05115;0511501001;65,317
Avila;05116;0511601001;19,072
Avila;05117;0511701001;24,034
Avila;05118;0511801001;17,586
Avila;05119;0511901001;17,011
Avila;05120;0512001001;6,393
Avila;05121;0512101001;22,787
Avila;05122;0512201001;18,068
Avila;05123;0512301001;18,369
Avila;05124;0512401001;22,887
Avila;05125;0512501001;12,046
Avila;05126;0512601001;10,287
Avila;05127;0512701001;46,686
Avila;05128;0512801001;30,680
Avila;05129;0512901001;31,082
Avila;05130;0513001001;15,229
Avila;05131;0513101001;31,205
Avila;05132;0513201001;49,911
Avila;05133;0513301001;17,695
Avila;05134;0513401001;14,920
Avila;05135;0513501001;33,611
Avila;05136;0513601001;13,275
Avila;05138;0513801001;18,904
Avila;05139;0513901001;16,158
Avila;05140;0514001001;10,087
Avila;05141;0514101001;6,018
Avila;05142;0514201001;19,715
Avila;05143;0514301001;19,943
Avila;05144;0514401001;29,355
Avila;05145;0514501001;17,405
Avila;05147;0514701001;33,604
Avila;05148;0514801001;10,372
Avila;05149;0514901001;9,437
Avila;05151;0515101001;29,503
Avila;05152;0515201001;58,255
Avila;05153;0515301001;29,382
Avila;05154;0515401001;19,852
Avila;05155;0515501001;35,290
Avila;05156;0515601001;22,059
Avila;05157;0515701001;49,882
Avila;05158;0515801001;43,342
Avila;05159;0515901001;90,778
Avila;05160;0516001001;29,994
