Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población;Rural
Avila;05007;2022;61,200;37,500;99,000;1,000;2,100;1;0;1;2;3;5;6;1;4;3;7;14;8;4;3;7;13;11;6;5;1;4;54;47;11,750;0,944;55;50;105;52,381;47,619;8,485;12,375;True
Avila;05007;2023;60,500;38,800;99,000;1,000;2,100;1;0;1;2;2;4;3;3;3;3;7;13;9;5;1;5;15;11;8;4;2;3;52;47;15,667;0,962;54;48;102;52,941;47,059;8,485;12,021;True
Avila;05008;2021;51,900;30,200;99,100;0,900;2,500;0;7;4;9;8;5;11;14;10;16;9;11;13;18;21;27;12;7;11;5;0;22;113;83;3,773;0,929;106;112;218;48,624;51,376;24,238;8,994;True
Avila;05008;2022;52,200;28,900;99,100;0,900;2,500;0;6;7;8;9;4;10;13;9;18;9;9;16;15;21;24;16;7;10;6;0;23;110;84;3,652;0,973;105;112;217;48,387;51,613;24,238;8,953;True
Avila;05008;2023;52,000;28,800;99,500;0,500;2,500;0;5;8;7;11;3;8;12;9;15;13;8;13;13;23;22;18;7;9;5;1;22;103;85;3,864;1,039;104;106;210;49,524;50,476;24,238;8,664;True
Avila;05010;2021;56,500;48,700;98,700;1,300;2,000;0;0;4;2;6;2;9;4;6;8;12;20;10;10;5;5;14;21;6;5;1;7;86;57;8,143;0,744;75;75;150;50,000;50,000;17,153;8,745;True
Avila;05010;2022;57,000;47,300;97,300;2,700;2,000;0;0;1;8;5;3;8;3;5;7;16;19;10;9;6;4;13;18;10;4;2;10;84;57;5,700;0,798;76;75;151;50,331;49,669;17,153;8,803;True
Avila;05010;2023;57,300;46,500;97,200;2,800;2,000;1;0;1;7;6;3;6;5;4;8;11;19;14;8;7;6;10;16;11;5;2;9;83;58;6,444;0,807;76;74;150;50,667;49,333;17,153;8,745;True
Avila;05012;2021;54,800;43,600;98,500;1,500;2,200;0;2;2;5;3;4;5;5;4;9;7;2;14;9;8;16;12;4;8;6;2;10;61;56;5,600;1,082;72;55;127;56,693;43,307;15,016;8,458;True
Avila;05012;2022;53,300;39,700;99,300;0,700;2,300;0;3;1;5;5;5;4;8;5;7;9;3;11;11;8;16;14;5;6;5;2;10;67;56;5,600;0,985;76;57;133;57,143;42,857;15,016;8,857;True
Avila;05012;2023;54,200;37,900;100,000;0,000;2,300;0;3;3;4;8;4;4;6;7;5;12;2;12;13;10;15;12;5;4;4;2;12;71;52;4,333;0,901;73;62;135;54,074;45,926;15,016;8,990;True
Avila;05013;2021;54,700;41,200;93,500;6,500;2,100;2;20;25;27;29;36;28;40;39;50;73;60;92;68;61;78;84;51;44;31;4;78;509;355;4,551;0,851;476;466;942;50,531;49,469;27,078;34,788;True
Avila;05013;2022;54,500;41,200;91,300;8,700;2,000;4;16;27;22;32;36;32;40;32;51;64;62;100;68;67;75;84;52;45;31;5;71;511;363;5,113;0,849;471;474;945;49,841;50,159;27,078;34,899;True
Avila;05013;2023;53,800;39,500;88,800;11,200;2,100;3;11;33;21;35;37;30;33;37;59;72;74;93;84;64;63;89;56;45;23;9;72;547;352;4,889;0,775;471;500;971;48,507;51,493;27,078;35,859;True
Avila;05014;2021;52,191;41,104;95,776;4,224;2,049;3;174;256;289;278;299;279;275;364;448;456;497;606;508;441;379;286;244;225;99;25;775;3954;1702;2,196;0,626;3117;3314;6431;48,468;51,532;194,585;33,050;True
Avila;05014;2022;52,456;41,223;95,741;4,259;2,001;3;193;237;291;288;283;263;282;349;455;451;495;604;524;475;374;314;228;228;109;31;778;3937;1762;2,265;0,645;3150;3327;6477;48,634;51,366;194,585;33,286;True
Avila;05014;2023;48,527;36,485;94,135;5,865;2,215;2;197;227;296;288;259;247;286;323;460;469;495;559;586;475;382;340;226;214;128;27;777;3915;1794;2,309;0,657;3154;3332;6486;48,628;51,372;194,585;33,332;True
Avila;05015;2021;59,800;60,000;100,000;0,000;1,700;0;2;0;1;2;2;5;2;1;1;6;2;8;8;1;1;2;9;6;8;0;3;37;27;9,000;0,811;32;35;67;47,761;52,239;14,971;4,475;True
Avila;05015;2022;58,300;62,200;98,400;1,600;1,600;0;2;0;1;2;0;7;4;1;1;4;4;8;8;1;1;2;6;9;8;0;3;39;27;9,000;0,769;34;35;69;49,275;50,725;14,971;4,609;True
Avila;05015;2023;58,900;60,000;98,300;1,700;1,700;0;0;2;1;2;0;5;3;2;2;4;3;6;10;1;1;2;4;8;4;1;3;37;21;7,000;0,649;29;32;61;47,541;52,459;14,971;4,075;True
Avila;05016;2021;46,876;34,544;96,492;3,508;2,401;2;273;383;394;446;457;365;404;446;613;656;662;658;564;425;367;296;225;167;75;18;1139;5182;1575;1,383;0,524;3847;4049;7896;48,721;51,279;45,672;172,885;False
Avila;05016;2022;44,900;28,889;95,741;4,259;2,502;1;253;354;414;433;472;384;369;454;571;656;653;665;591;425;372;315;228;162;79;23;1108;5161;1605;1,449;0,526;3825;4049;7874;48,578;51,422;45,672;172,403;False
Avila;05016;2023;45,142;29,681;95,642;4,358;2,451;1;257;341;424;396;470;369;361;424;536;633;641;662;598;459;378;313;236;168;80;21;1102;5010;1656;1,503;0,550;3766;4002;7768;48,481;51,519;45,672;170,082;False
Avila;05017;2021;59,900;43,900;98,800;1,200;1,900;1;0;0;0;0;2;6;3;2;5;6;8;9;9;5;5;6;4;8;3;0;0;50;32;inf;0,640;49;33;82;59,756;40,244;12,839;6,387;True
Avila;05017;2022;60,000;42,100;98,700;1,300;2,000;0;1;0;0;0;1;6;3;2;5;4;8;9;10;4;6;5;6;4;5;1;1;48;31;31,000;0,667;47;33;80;58,750;41,250;12,839;6,231;True
Avila;05017;2023;60,400;53,900;98,600;1,400;1,900;0;1;0;0;0;0;5;5;1;4;5;6;10;11;4;4;4;4;4;5;2;1;47;27;27,000;0,596;45;30;75;60,000;40,000;12,839;5,842;True
Avila;05018;2021;58,000;72,200;100,000;0,000;1,500;0;0;0;0;1;2;1;0;0;1;2;3;8;3;1;0;0;1;4;0;0;0;21;6;inf;0,286;16;11;27;59,259;40,741;10,235;2,638;True
Avila;05018;2022;55,700;76,500;100,000;0,000;1,400;0;0;0;0;1;1;1;0;0;1;2;3;8;4;1;0;0;1;4;0;0;0;21;6;inf;0,286;16;11;27;59,259;40,741;10,235;2,638;True
Avila;05018;2023;55,300;75,000;100,000;0,000;1,400;0;0;0;0;0;1;2;0;0;0;2;3;7;6;0;1;0;0;2;0;0;0;21;3;inf;0,143;15;9;24;62,500;37,500;10,235;2,345;True
Avila;05019;2021;46,575;37,610;91,394;8,606;2,212;15;2477;2927;3190;3008;2997;2924;3011;3650;4572;4578;4339;4398;4165;3137;2682;2215;1629;1291;727;188;9192;37044;11884;1,293;0,569;27683;30437;58120;47,631;52,369;230,656;251,977;False
Avila;05019;2022;47,180;36,447;89,207;10,793;2,239;22;2289;2936;3208;3005;3015;2922;2927;3459;4523;4616;4384;4416;4255;3318;2767;2296;1596;1335;738;201;9034;36921;12273;1,359;0,577;27754;30474;58228;47,664;52,336;230,656;252,445;False
Avila;05019;2023;47,458;37,622;87,879;12,121;2,221;28;2235;2885;3206;3139;3024;2945;2966;3363;4356;4696;4401;4405;4287;3482;2847;2373;1630;1299;755;226;8955;36953;12640;1,412;0,584;27873;30675;58548;47,607;52,393;230,656;253,833;False
Avila;05021;2021;48,047;38,761;93,970;6,030;2,153;2;58;96;118;111;113;87;94;121;151;183;199;217;152;129;116;123;102;85;44;9;294;1406;610;2,075;0,643;1112;1198;2310;48,139;51,861;12,688;182,062;False
Avila;05021;2022;48,219;39,635;92,626;7,374;2,153;1;55;89;116;111;125;79;78;115;138;193;187;216;159;123;120;109;101;88;48;11;282;1379;601;2,131;0,640;1084;1178;2262;47,922;52,078;12,688;178,279;False
Avila;05021;2023;48,445;40,355;91,454;8,546;2,100;2;55;91;128;102;109;74;109;104;133;197;186;213;182;129;114;103;112;83;54;9;294;1389;606;2,061;0,648;1105;1184;2289;48,274;51,726;12,688;180,407;False
Avila;05022;2021;48,102;32,310;92,103;7,897;2,400;1;54;70;82;76;80;106;123;111;112;125;160;159;145;120;105;100;95;92;43;11;222;1181;567;2,554;0,668;1008;962;1970;51,168;48,832;153,163;12,862;True
Avila;05022;2022;48,400;31,910;90,899;9,101;2,400;0;59;74;67;89;75;105;117;108;110;123;159;154;164;127;111;93;85;87;43;9;218;1186;555;2,546;0,652;1005;954;1959;51,302;48,698;153,163;12,790;True
Avila;05022;2023;48,101;33,908;89,701;10,299;2,400;0;57;71;80;90;81;108;115;127;102;125;152;153;176;131;121;92;87;81;48;10;226;1211;570;2,522;0,657;1009;998;2007;50,274;49,726;153,163;13,104;True
Avila;05023;2021;57,300;29,200;99,400;0,600;2,400;0;1;1;3;5;11;8;6;5;4;14;22;22;16;3;12;11;13;20;3;1;6;112;63;10,500;0,616;97;84;181;53,591;46,409;20,030;9,036;True
Avila;05023;2022;58,200;29,700;99,400;0,600;2,400;0;1;1;3;3;10;10;5;3;4;11;21;21;22;4;9;11;15;18;2;1;6;109;60;10,000;0,606;96;79;175;54,857;45,143;20,030;8,737;True
Avila;05023;2023;58,500;27,800;99,400;0,600;2,400;0;1;0;4;3;7;13;3;4;5;8;20;23;23;4;11;9;14;17;6;1;6;108;62;10,333;0,630;95;81;176;53,977;46,023;20,030;8,787;True
Avila;05024;2021;63,200;55,300;97,700;2,300;1,700;3;2;1;1;1;4;2;7;9;2;8;18;20;13;15;13;14;18;20;6;5;4;84;94;23,500;1,167;94;88;182;51,648;48,352;32,164;5,659;True
Avila;05024;2022;64,900;56,600;97,600;2,400;1,700;1;3;1;2;0;2;2;7;7;7;5;18;16;19;13;13;13;14;22;5;4;6;83;85;14,167;1,096;94;80;174;54,023;45,977;32,164;5,410;True
Avila;05024;2023;65,000;59,400;98,700;1,300;1,600;0;2;2;1;0;1;2;4;8;6;4;16;12;19;13;16;11;17;19;7;4;5;72;87;17,400;1,278;88;76;164;53,659;46,341;32,164;5,099;True
Avila;05025;2021;58,600;48,600;100,000;0,000;2,200;0;0;2;0;0;2;2;4;9;5;5;3;4;12;8;4;3;5;5;4;0;2;46;29;14,500;0,674;40;37;77;51,948;48,052;19,866;3,876;True
Avila;05025;2022;59,700;51,500;100,000;0,000;2,100;0;1;1;1;0;2;1;4;6;8;2;5;4;8;12;5;3;6;4;3;2;3;40;35;11,667;0,950;41;37;78;52,564;47,436;19,866;3,926;True
Avila;05025;2023;58,500;50,000;100,000;0,000;2,200;0;0;1;1;0;1;2;1;4;8;3;6;4;6;11;6;5;5;2;2;2;2;35;33;16,500;1,000;37;33;70;52,857;47,143;19,866;3,524;True
Avila;05026;2021;58,300;38,000;93,700;6,300;2,100;0;3;1;1;2;8;10;7;6;12;15;9;14;13;11;22;13;18;17;8;2;5;96;91;18,200;1,000;101;91;192;52,604;47,396;17,305;11,095;True
Avila;05026;2022;58,700;42,200;93,800;6,200;2,000;0;3;1;0;4;11;9;9;6;9;15;13;13;14;10;18;15;14;15;8;3;5;102;83;16,600;0,863;101;89;190;53,158;46,842;17,305;10,979;True
Avila;05026;2023;59,800;43,800;94,200;5,800;1,900;0;1;2;0;3;5;9;11;8;9;11;17;9;15;10;18;13;12;10;10;3;4;96;76;19,000;0,833;93;83;176;52,841;47,159;17,305;10,170;True
Avila;05027;2021;51,100;33,300;89,600;10,400;2,400;0;7;17;8;15;14;16;11;20;17;19;38;24;35;16;16;23;15;11;9;4;35;206;94;2,686;0,626;179;156;335;53,433;46,567;16,689;20,073;True
Avila;05027;2022;51,500;38,900;89,300;10,700;2,300;1;5;13;13;10;15;22;16;13;20;20;34;23;34;19;17;17;18;12;13;4;33;205;101;3,061;0,654;179;160;339;52,802;47,198;16,689;20,313;True
Avila;05027;2023;50,900;40,100;91,300;8,700;2,200;1;5;10;13;12;11;21;12;18;18;21;29;26;31;20;16;20;13;11;16;2;30;197;99;3,300;0,655;175;151;326;53,681;46,319;16,689;19,534;True
Avila;05029;2021;61,900;52,000;98,900;1,100;1,800;0;0;0;3;1;0;4;5;1;4;3;7;9;10;7;8;7;6;9;4;2;3;44;43;14,333;1,045;51;39;90;56,667;43,333;19,778;4,551;True
Avila;05029;2022;62,000;50,000;98,900;1,100;1,800;0;0;0;3;1;1;3;5;1;3;6;7;6;12;7;8;6;4;12;4;2;3;45;43;14,333;1,022;51;40;91;56,044;43,956;19,778;4,601;True
Avila;05029;2023;62,200;51,000;100,000;0,000;1,800;1;0;0;2;2;1;2;5;1;2;7;5;8;12;8;6;6;6;9;3;1;2;45;40;20,000;0,933;48;39;87;55,172;44,828;19,778;4,399;True
Avila;05030;2021;51,500;48,000;100,000;0,000;2,100;0;0;2;2;0;2;1;2;2;5;4;4;5;6;2;1;3;3;3;2;0;4;31;14;3,500;0,581;27;22;49;55,102;44,898;9,005;5,441;True
Avila;05030;2022;57,800;47,600;100,000;0,000;1,800;0;1;2;4;0;0;4;2;1;6;4;3;3;8;3;0;4;2;3;3;0;7;31;15;2,143;0,710;30;23;53;56,604;43,396;9,005;5,886;True
Avila;05030;2023;54,800;52,200;100,000;0,000;1,900;0;1;1;4;1;0;2;4;1;4;5;5;2;6;4;0;4;2;3;1;0;6;30;14;2,333;0,667;28;22;50;56,000;44,000;9,005;5,552;True
Avila;05033;2021;58,200;40,600;100,000;0,000;2,100;0;1;3;5;6;8;8;13;8;11;8;10;15;14;19;8;9;14;13;5;3;10;100;71;7,100;0,810;94;87;181;51,934;48,066;39,603;4,570;True
Avila;05033;2022;59,300;39,700;99,300;0,700;2,100;1;0;3;4;6;7;9;13;6;11;10;8;16;12;20;7;8;15;13;5;0;8;97;69;8,625;0,794;90;84;174;51,724;48,276;39,603;4,394;True
Avila;05033;2023;60,300;46,500;97,900;2,100;2,000;1;0;2;4;8;6;6;11;8;8;9;9;13;14;20;8;8;14;15;5;0;8;90;71;8,875;0,878;87;82;169;51,479;48,521;39,603;4,267;True
Avila;05034;2021;64,600;66,700;100,000;0,000;1,600;0;0;0;0;0;0;0;0;1;0;0;1;1;4;3;3;1;0;0;0;1;0;7;8;inf;1,143;8;7;15;53,333;46,667;12,973;1,156;True
Avila;05034;2022;65,800;55,600;100,000;0,000;1,700;0;0;0;0;0;0;0;0;1;1;0;1;1;1;4;3;1;0;0;0;1;0;5;9;inf;1,800;9;5;14;64,286;35,714;12,973;1,079;True
Avila;05034;2023;64,500;50,000;100,000;0,000;1,800;0;0;0;0;0;0;0;0;0;2;0;1;0;2;4;4;1;0;0;0;1;0;5;10;inf;2,000;9;6;15;60,000;40,000;12,973;1,156;True
Avila;05035;2021;52,500;43,400;95,000;5,000;1,900;0;2;1;4;2;6;2;5;2;6;12;11;10;5;5;7;9;4;3;4;1;7;61;33;4,714;0,656;50;51;101;49,505;50,495;22,955;4,400;True
Avila;05035;2022;51,100;39,200;89,600;10,400;2,100;0;1;2;2;2;8;5;3;3;5;10;13;8;6;6;7;6;6;2;3;1;5;63;31;6,200;0,571;50;49;99;50,505;49,495;22,955;4,313;True
Avila;05035;2023;52,700;47,100;92,900;7,100;1,900;0;2;4;2;3;6;6;2;6;8;7;10;11;7;8;6;6;4;5;1;2;9;65;32;3,556;0,631;55;51;106;51,887;48,113;22,955;4,618;True
Avila;05036;2021;58,900;40,700;99,100;0,900;2,100;0;0;1;1;2;7;4;3;6;5;7;11;9;13;8;6;6;10;12;6;0;2;67;48;24,000;0,746;63;54;117;53,846;46,154;22,083;5,298;True
Avila;05036;2022;60,100;43,400;99,100;0,900;2,000;0;0;1;1;1;5;4;4;6;6;5;11;10;13;9;6;4;9;11;5;0;2;65;44;22,000;0,708;60;51;111;54,054;45,946;22,083;5,026;True
Avila;05036;2023;59,600;41,800;96,400;3,600;2,000;0;0;0;2;1;4;4;3;4;6;5;10;12;10;12;2;8;8;10;6;0;2;59;46;23,000;0,814;56;51;107;52,336;47,664;22,083;4,845;True
Avila;05037;2021;59,700;48,700;96,100;3,900;1,900;1;4;4;5;6;6;11;6;4;8;20;12;19;15;12;24;16;15;27;11;6;14;106;112;8,000;1,189;131;101;232;56,466;43,534;73,881;3,140;True
Avila;05037;2022;61,400;50,000;96,300;3,700;1,900;2;3;6;5;8;4;10;7;4;6;17;14;22;15;17;18;13;19;22;13;5;16;105;109;6,812;1,190;129;101;230;56,087;43,913;73,881;3,113;True
Avila;05037;2023;60,100;46,900;95,800;4,200;1,900;2;1;3;7;4;7;5;6;5;4;14;18;20;17;15;15;16;16;21;14;5;12;99;104;8,667;1,172;125;90;215;58,140;41,860;73,881;2,910;True
Avila;05038;2021;58,400;50,000;100,000;0,000;1,900;0;1;3;4;4;2;4;1;7;6;11;10;7;15;13;10;4;11;8;8;2;9;66;56;6,222;0,985;78;53;131;59,542;40,458;55,061;2,379;True
Avila;05038;2022;55,800;44,700;96,700;3,300;2,100;0;2;1;3;5;0;6;1;4;8;9;11;10;12;12;10;4;10;5;8;3;7;65;52;7,429;0,908;75;49;124;60,484;39,516;55,061;2,252;True
Avila;05038;2023;55,300;45,500;97,600;2,400;2,100;0;2;2;4;4;9;6;5;5;11;14;15;21;16;20;15;5;10;7;7;3;9;105;67;7,444;0,724;108;73;181;59,669;40,331;55,061;3,287;True
Avila;05039;2021;62,200;31,600;100,000;0,000;2,300;0;0;0;0;0;1;2;4;3;0;2;3;6;4;2;6;4;1;2;4;1;0;25;20;inf;0,800;26;19;45;57,778;42,222;18,347;2,453;True
Avila;05039;2022;63,600;31,600;100,000;0,000;2,200;0;0;0;0;0;1;1;4;3;1;1;2;7;3;3;6;2;3;2;3;2;0;23;21;inf;0,913;26;18;44;59,091;40,909;18,347;2,398;True
Avila;05039;2023;62,100;29,400;100,000;0,000;2,200;0;0;0;0;0;1;0;5;2;1;1;2;4;5;4;4;2;4;2;2;3;0;21;21;inf;1,000;26;16;42;61,905;38,095;18,347;2,289;True
Avila;05040;2021;66,200;57,100;98,300;1,700;1,700;0;0;0;0;0;0;3;3;1;3;4;3;7;7;4;3;4;8;5;3;5;0;31;32;inf;1,032;42;21;63;66,667;33,333;30,753;2,049;True
Avila;05040;2022;66,400;54,600;98,300;1,700;1,700;2;0;0;0;0;0;2;2;1;3;4;5;6;7;3;3;5;5;5;4;2;0;30;29;inf;0,967;39;20;59;66,102;33,898;30,753;1,919;True
Avila;05040;2023;63,900;54,800;98,200;1,800;1,800;2;0;0;0;0;0;1;2;2;2;4;4;7;8;2;4;4;3;7;4;1;0;30;27;inf;0,900;37;20;57;64,912;35,088;30,753;1,853;True
Avila;05041;2021;50,600;43,500;95,000;5,000;2,000;0;35;58;44;37;49;49;70;74;83;83;90;69;100;90;75;71;59;58;22;11;144;697;386;2,681;0,760;651;576;1227;53,056;46,944;55,034;22,295;True
Avila;05041;2022;50,100;43,000;91,100;8,900;2,100;2;31;47;52;32;51;46;62;68;83;89;89;69;100;89;75;72;55;56;32;8;136;683;389;2,860;0,769;636;572;1208;52,649;47,351;55,034;21,950;True
Avila;05041;2023;49,600;41,200;90,500;9,500;2,100;3;31;54;50;39;50;55;60;68;96;85;95;78;102;84;79;76;55;53;33;7;143;720;390;2,727;0,740;658;595;1253;52,514;47,486;55,034;22,768;True
Avila;05042;2021;54,900;39,700;89,800;10,200;2,000;0;2;2;4;5;6;6;7;9;14;15;11;5;9;16;9;13;11;8;7;1;9;86;65;7,222;0,860;77;83;160;48,125;51,875;11,801;13,558;True
Avila;05042;2022;55,200;39,200;87,300;12,700;2,000;0;2;3;2;4;6;8;7;8;11;18;11;5;8;17;8;12;9;10;8;0;8;85;64;8,000;0,847;74;83;157;47,134;52,866;11,801;13,304;True
Avila;05042;2023;55,400;42,300;85,700;14,300;2,000;0;2;3;2;2;8;9;8;6;11;17;12;7;7;16;9;9;13;7;8;2;7;87;64;9,143;0,816;74;84;158;46,835;53,165;11,801;13,389;True
Avila;05043;2021;61,100;54,800;100,000;0,000;1,900;0;0;1;0;0;0;4;0;3;5;1;9;6;5;5;4;8;10;5;2;0;1;33;34;34,000;1,061;36;32;68;52,941;47,059;17,964;3,785;True
Avila;05043;2022;60,300;54,600;100,000;0,000;2,000;0;1;1;1;1;1;5;1;3;4;2;8;8;5;3;6;10;5;11;2;1;3;38;38;12,667;1,079;39;40;79;49,367;50,633;17,964;4,398;True
Avila;05043;2023;60,300;58,100;100,000;0,000;1,900;0;1;1;1;2;2;3;1;6;5;3;8;8;7;4;7;7;8;12;2;1;3;45;41;13,667;0,978;43;46;89;48,315;51,685;17,964;4,954;True
Avila;05044;2021;58,200;48,900;96,700;3,300;2,000;0;3;4;11;7;12;8;6;10;16;19;20;20;14;15;18;26;25;20;12;5;19;131;121;6,368;1,069;149;122;271;54,982;45,018;110,073;2,462;True
Avila;05044;2022;58,800;49,600;96,800;3,200;1,900;0;3;3;8;10;10;6;4;10;13;19;21;16;17;17;15;26;27;19;10;4;16;124;118;7,375;1,081;144;114;258;55,814;44,186;110,073;2,344;True
Avila;05044;2023;59,800;52,000;97,500;2,500;1,900;0;1;4;6;12;7;5;6;11;11;17;20;19;17;16;15;22;24;21;11;3;13;123;112;8,615;1,016;139;109;248;56,048;43,952;110,073;2,253;True
Avila;05045;2021;55,000;48,800;98,800;1,200;2,100;0;1;2;1;1;1;6;8;3;5;3;4;10;5;8;3;4;10;5;1;1;4;46;32;8,000;0,783;44;38;82;53,659;46,341;19,168;4,278;True
Avila;05045;2022;54,400;45,200;98,900;1,100;2,200;0;3;2;2;1;2;4;7;5;4;5;2;11;5;6;5;3;11;5;3;1;7;46;34;4,857;0,891;44;43;87;50,575;49,425;19,168;4,539;True
Avila;05045;2023;53,400;48,800;97,800;2,200;2,200;0;3;2;3;0;3;4;6;6;6;8;1;9;8;4;7;3;9;7;3;1;8;51;34;4,250;0,824;47;46;93;50,538;49,462;19,168;4,852;True
Avila;05046;2021;49,700;14,300;100,000;0,000;2,600;0;1;1;2;2;0;1;2;3;5;3;2;3;2;3;1;4;2;2;0;0;4;23;12;3,000;0,696;24;15;39;61,538;38,462;6,670;5,847;True
Avila;05046;2022;50,800;0,000;100,000;0,000;3,000;0;1;0;3;2;0;1;0;4;4;3;3;3;2;3;1;4;2;1;0;0;4;22;11;2,750;0,682;23;14;37;62,162;37,838;6,670;5,547;True
Avila;05046;2023;51,500;14,300;100,000;0,000;2,500;0;0;1;2;3;0;1;0;3;4;3;3;3;2;3;0;4;3;1;0;0;4;21;11;2,750;0,714;21;15;36;58,333;41,667;6,670;5,397;True
Avila;05047;2021;51,070;35,508;94,997;5,003;2,201;2;177;194;223;209;225;188;252;322;370;381;392;441;370;323;270;248;186;176;84;10;635;3109;1299;2,046;0,622;2548;2495;5043;50,525;49,475;213,925;23,574;True
Avila;05047;2022;51,768;37,994;96,380;3,620;2,101;2;158;212;217;224;215;210;229;323;373;378;385;435;388;329;263;247;166;187;92;19;632;3115;1305;2,065;0,622;2554;2498;5052;50,554;49,446;213,925;23,616;True
Avila;05047;2023;48,638;38,556;93,361;6,639;2,200;3;147;189;222;215;210;204;220;314;356;386;374;439;411;321;270;270;175;167;93;23;601;3086;1322;2,200;0,623;2524;2485;5009;50,389;49,611;213,925;23,415;True
Avila;05048;2021;61,200;52,700;99,000;1,000;1,800;0;2;0;0;4;5;3;2;3;1;3;12;11;9;10;5;7;10;7;3;4;3;52;46;15,333;0,942;60;41;101;59,406;40,594;14,372;7,028;True
Avila;05048;2022;61,600;55,600;100,000;0,000;1,800;2;2;0;0;2;7;3;2;2;0;3;7;15;8;11;4;9;10;7;2;2;2;49;47;23,500;1,000;58;40;98;59,184;40,816;14,372;6,819;True
Avila;05048;2023;60,700;48,200;99,000;1,000;1,800;1;0;0;0;1;7;1;6;2;3;1;7;15;7;11;7;8;8;7;3;2;0;50;47;inf;0,940;57;40;97;58,763;41,237;14,372;6,749;True
Avila;05049;2021;53,300;42,500;98,600;1,400;2,100;1;3;7;9;16;20;19;21;16;23;29;47;55;29;27;19;17;28;20;18;3;22;272;133;6,045;0,570;231;196;427;54,098;45,902;40,467;10,552;True
