Provincia;CMuni;area_km2
Burgos;09283;17,457
Burgos;09287;5,570
Burgos;09288;15,862
Burgos;09289;59,886
Burgos;09292;11,656
Burgos;09294;13,793
Burgos;09295;20,078
Burgos;09297;24,766
Burgos;09298;45,717
Burgos;09301;13,372
Burgos;09302;33,217
Burgos;09303;40,604
Burgos;09304;10,183
Burgos;09306;50,482
Burgos;09307;12,090
Burgos;09308;17,189
Burgos;09309;20,650
Burgos;09310;8,498
Burgos;09311;8,530
Burgos;09312;15,275
Burgos;09314;39,008
Burgos;09315;16,969
Burgos;09316;27,446
Burgos;09317;6,699
Burgos;09318;43,282
Burgos;09321;48,951
Burgos;09323;24,909
Burgos;09325;50,581
Burgos;09326;9,761
Burgos;09327;39,266
Burgos;09328;32,609
Burgos;09329;13,292
Burgos;09330;31,297
Burgos;09332;8,144
Burgos;09334;22,814
Burgos;09335;19,872
Burgos;09337;26,477
Burgos;09338;4,959
Burgos;09339;19,391
Burgos;09340;33,590
Burgos;09343;12,450
Burgos;09345;25,840
Burgos;09346;33,897
Burgos;09347;28,956
Burgos;09348;14,856
Burgos;09350;60,280
Burgos;09351;16,168
Burgos;09352;30,186
Burgos;09353;12,473
Burgos;09354;10,731
Burgos;09355;22,234
Burgos;09356;14,949
Burgos;09358;78,853
Burgos;09360;13,409
Burgos;09361;86,167
Burgos;09362;9,603
Burgos;09363;113,037
Burgos;09365;6,839
Burgos;09366;14,638
Burgos;09368;7,727
Burgos;09369;42,431
Burgos;09372;5,486
Burgos;09373;172,086
Burgos;09374;11,447
Burgos;09375;15,647
Burgos;09377;12,728
Burgos;09378;22,728
Burgos;09380;14,385
Burgos;09381;29,358
Burgos;09382;11,950
Burgos;09384;30,039
Burgos;09386;14,920
Burgos;09387;15,348
Burgos;09388;12,502
Burgos;09389;28,542
Burgos;09390;93,138
Burgos;09391;79,149
Burgos;09392;5,731
Burgos;09394;36,783
Burgos;09395;78,636
Burgos;09396;23,189
Burgos;09398;30,792
Burgos;09400;25,671
Burgos;09403;30,963
Burgos;09405;20,461
Burgos;09406;16,630
Burgos;09407;16,951
Burgos;09408;19,109
Burgos;09409;70,379
Burgos;09410;262,969
Burgos;09411;38,442
Burgos;09412;157,370
Burgos;09413;156,497
Burgos;09414;92,588
Burgos;09415;95,643
Burgos;09416;19,254
Burgos;09417;18,315
Burgos;09418;20,859
Burgos;09419;27,929
Burgos;09421;37,550
Burgos;09422;9,735
Burgos;09423;6,343
Burgos;09424;6,942
Burgos;09425;33,870
Burgos;09427;327,845
Burgos;09428;17,488
Burgos;09429;16,233
Burgos;09430;19,480
Burgos;09431;52,412
Burgos;09432;51,975
Burgos;09433;22,049
Burgos;09434;13,769
Burgos;09437;50,498
Burgos;09438;13,743
Burgos;09439;14,379
Burgos;09440;26,393
Burgos;09441;13,421
Burgos;09442;23,898
Burgos;09443;40,685
Burgos;09444;20,712
Burgos;09445;13,060
Burgos;09446;6,754
Burgos;09447;17,893
Burgos;09448;38,322
Burgos;09449;7,904
Burgos;09450;7,376
Burgos;09451;22,313
Burgos;09454;6,119
Burgos;09455;11,477
Burgos;09456;13,096
Burgos;09458;10,286
Burgos;09460;43,689
Burgos;09463;87,734
Burgos;09464;15,284
Burgos;09466;37,279
Burgos;09467;13,542
Burgos;09471;10,485
Burgos;09472;11,728
Burgos;09473;24,600
Burgos;09476;25,734
Burgos;09478;11,474
Burgos;09480;18,751
Burgos;09482;10,806
Burgos;09483;22,563
Burgos;09485;12,135
Burgos;09901;35,761
Burgos;09902;105,787
Burgos;09903;151,037
Burgos;09904;111,748
Burgos;09905;263,877
Burgos;09906;275,033
Burgos;09907;41,479
Burgos;09908;227,478
Leon;24001;50,175
Leon;24002;15,333
Leon;24003;52,344
Leon;24004;141,973
Leon;24005;54,727
Leon;24006;48,670
Leon;24007;40,232
Leon;24008;46,821
Leon;24009;50,971
Leon;24010;19,727
Leon;24011;57,829
Leon;24012;94,344
Leon;24014;63,260
Leon;24015;74,121
Leon;24016;173,058
Leon;24017;35,101
Leon;24018;34,238
Leon;24019;27,977
Leon;24020;291,792
Leon;24021;180,634
Leon;24022;36,431
Leon;24023;98,216
Leon;24024;98,345
Leon;24025;157,698
Leon;24026;71,798
Leon;24027;19,158
Leon;24028;24,779
Leon;24029;170,654
Leon;24030;32,758
Leon;24031;56,031
Leon;24032;20,883
Leon;24033;13,972
Leon;24034;29,033
Leon;24036;141,241
Leon;24037;154,268
Leon;24038;32,643
Leon;24039;41,872
Leon;24040;66,061
Leon;24041;35,044
Leon;24042;25,904
Leon;24043;115,994
Leon;24044;23,530
Leon;24046;88,366
Leon;24047;194,667
Leon;24049;59,860
Leon;24050;23,507
Leon;24051;112,326
Leon;24052;89,744
Leon;24053;21,225
Leon;24054;26,046
Leon;24055;73,976
Leon;24056;97,603
Leon;24057;36,837
Leon;24058;31,805
Leon;24059;78,233
Leon;24060;153,130
Leon;24061;109,667
Leon;24062;12,484
Leon;24063;86,820
Leon;24064;53,511
Leon;24065;100,314
Leon;24066;56,262
Leon;24067;195,289
Leon;24068;105,028
Leon;24069;17,139
Leon;24070;54,765
Leon;24071;69,444
Leon;24073;15,143
Leon;24074;32,136
Leon;24076;125,375
Leon;24077;27,318
Leon;24078;23,368
Leon;24079;205,876
Leon;24080;25,370
Leon;24081;24,684
Leon;24082;4,628
Leon;24083;206,299
Leon;24084;44,235
Leon;24086;51,467
Leon;24087;38,426
Leon;24088;71,831
Leon;24089;39,031
Leon;24090;165,262
Leon;24091;132,441
Leon;24092;59,917
Leon;24093;72,701
Leon;24094;35,363
Leon;24095;14,477
Leon;24096;33,568
Leon;24097;46,445
Leon;24098;73,472
Leon;24099;53,591
Leon;24100;79,597
Leon;24101;202,364
Leon;24102;72,226
Leon;24103;98,482
Leon;24104;32,512
Leon;24105;21,812
Leon;24106;73,304
Leon;24107;61,836
Leon;24108;20,434
Leon;24109;181,285
Leon;24110;190,876
Leon;24112;117,658
Leon;24113;20,178
Leon;24114;157,702
Leon;24115;283,408
Leon;24116;164,576
Leon;24117;36,249
Leon;24118;22,937
Leon;24119;33,687
Leon;24120;48,976
Leon;24121;171,418
Leon;24122;59,276
Leon;24123;156,522
Leon;24124;23,373
Leon;24125;88,415
Leon;24127;11,357
Leon;24129;26,191
Leon;24130;97,624
Leon;24131;35,419
Leon;24132;236,101
Leon;24133;72,227
Leon;24134;85,251
Leon;24136;54,511
Leon;24137;24,940
Leon;24139;123,626
Leon;24141;15,841
Leon;24142;64,253
Leon;24143;31,071
Leon;24144;24,568
Leon;24145;210,832
Leon;24146;32,265
Leon;24148;48,419
Leon;24149;24,703
Leon;24150;23,526
Leon;24151;91,968
Leon;24152;179,449
Leon;24153;40,027
Leon;24154;62,385
Leon;24155;12,757
Leon;24156;92,221
Leon;24157;20,091
Leon;24158;45,610
Leon;24159;45,638
Leon;24160;118,819
Leon;24161;39,711
Leon;24162;30,385
Leon;24163;36,377
Leon;24164;147,805
Leon;24165;40,950
Leon;24166;23,594
Leon;24167;69,194
Leon;24168;21,112
Leon;24169;103,407
Leon;24170;119,339
Leon;24171;69,553
Leon;24172;301,729
Leon;24173;32,009
Leon;24174;32,858
Leon;24175;102,262
Leon;24176;24,187
Leon;24177;143,497
Leon;24178;13,405
Leon;24179;56,728
Leon;24180;142,544
Leon;24181;99,650
Leon;24182;60,282
Leon;24183;160,760
Leon;24184;61,777
Leon;24185;49,517
Leon;24187;68,040
Leon;24188;58,516
Leon;24189;64,288
Leon;24190;35,902
Leon;24191;23,361
Leon;24193;44,388
Leon;24194;34,896
Leon;24196;132,352
Leon;24197;20,804
Leon;24198;69,438
Leon;24199;72,962
Leon;24201;122,954
Leon;24202;228,421
Leon;24203;36,982
Leon;24205;44,951
Leon;24206;24,169
Leon;24207;16,635
Leon;24209;177,470
Leon;24210;167,417
Leon;24211;16,238
Leon;24212;57,822
Leon;24213;31,656
Leon;24214;79,034
Leon;24215;39,625
Leon;24216;57,199
Leon;24217;37,230
Leon;24218;31,897
Leon;24219;31,837
Leon;24221;53,442
Leon;24222;52,902
Leon;24223;36,253
Leon;24224;25,872
Leon;24225;59,971
Leon;24226;56,512
Leon;24227;56,913
Leon;24228;45,828
Leon;24229;145,859
Leon;24230;53,965
Leon;24901;176,331
Leon;24902;48,294
Palencia;34001;11,392
Palencia;34003;27,147
Palencia;34004;236,311
Palencia;34005;57,886
Palencia;34006;35,191
Palencia;34009;10,169
Palencia;34010;133,134
Palencia;34011;78,821
Palencia;34012;62,797
Palencia;34015;19,427
Palencia;34017;122,894
Palencia;34018;34,572
Palencia;34019;30,523
Palencia;34020;19,698
Palencia;34022;158,762
Palencia;34023;14,244
Palencia;34024;22,105
Palencia;34025;14,532
Palencia;34027;53,270
Palencia;34028;18,557
Palencia;34029;78,934
Palencia;34031;16,139
Palencia;34032;19,595
Palencia;34033;14,523
Palencia;34034;28,645
Palencia;34035;51,258
Palencia;34036;62,454
Palencia;34037;81,615
Palencia;34038;18,981
Palencia;34039;31,195
Palencia;34041;17,985
Palencia;34042;25,932
Palencia;34045;18,266
Palencia;34046;13,692
Palencia;34047;63,352
Palencia;34048;23,859
Palencia;34049;106,365
Palencia;34050;48,910
Palencia;34051;40,245
Palencia;34052;33,930
Palencia;34053;52,954
Palencia;34055;71,442
Palencia;34056;326,024
Palencia;34057;50,828
Palencia;34058;44,029
Palencia;34059;63,280
Palencia;34060;46,485
Palencia;34061;20,992
Palencia;34062;68,903
Palencia;34063;38,785
Palencia;34066;21,088
Palencia;34067;43,764
Palencia;34068;20,937
Palencia;34069;124,303
Palencia;34070;45,250
Palencia;34071;38,024
Palencia;34072;34,322
Palencia;34073;44,015
Palencia;34074;46,569
Palencia;34076;60,494
Palencia;34077;42,911
Palencia;34079;28,582
Palencia;34080;62,813
Palencia;34081;32,332
Palencia;34082;32,307
Palencia;34083;99,026
Palencia;34084;27,548
Palencia;34086;29,518
Palencia;34087;35,337
Palencia;34088;16,342
Palencia;34089;20,920
Palencia;34091;43,520
Palencia;34092;28,931
Palencia;34093;20,070
Palencia;34094;28,296
Palencia;34096;17,068
Palencia;34098;27,832
Palencia;34099;12,590
Palencia;34100;25,522
Palencia;34101;21,851
Palencia;34102;25,238
Palencia;34103;18,558
Palencia;34104;26,565
Palencia;34106;28,210
Palencia;34107;20,724
Palencia;34108;45,890
Palencia;34109;29,261
Palencia;34110;6,803
Palencia;34112;13,798
Palencia;34113;8,137
Palencia;34114;103,553
Palencia;34116;18,167
Palencia;34120;94,911
Palencia;34121;75,681
Palencia;34122;22,753
Palencia;34123;128,944
Palencia;34124;19,270
Palencia;34125;32,372
Palencia;34126;21,052
Palencia;34127;27,449
Palencia;34129;51,995
Palencia;34130;12,383
Palencia;34131;22,864
Palencia;34132;23,248
Palencia;34133;19,781
Palencia;34134;14,865
Palencia;34135;80,228
Palencia;34136;24,329
Palencia;34137;13,811
Palencia;34139;21,305
Palencia;34140;29,489
Palencia;34141;11,509
Palencia;34143;51,041
Palencia;34146;23,119
Palencia;34147;22,238
Palencia;34149;13,409
Palencia;34151;65,634
Palencia;34152;22,397
Palencia;34154;20,550
Palencia;34155;15,479
Palencia;34156;19,787
Palencia;34157;131,913
Palencia;34158;21,192
Palencia;34159;32,617
Palencia;34160;41,104
Palencia;34161;10,771
Palencia;34163;15,532
Palencia;34165;18,222
Palencia;34167;19,940
Palencia;34168;25,499
Palencia;34169;70,658
Palencia;34170;25,523
Palencia;34171;111,706
Palencia;34174;34,676
Palencia;34175;12,300
Palencia;34176;25,253
Palencia;34177;12,937
Palencia;34178;46,311
Palencia;34179;21,553
Palencia;34180;20,739
Palencia;34181;20,669
Palencia;34182;83,585
Palencia;34184;28,238
Palencia;34185;63,275
Palencia;34186;29,001
Palencia;34189;20,584
Palencia;34190;28,799
Palencia;34192;42,573
Palencia;34196;38,941
Palencia;34199;198,892
Palencia;34201;57,328
Palencia;34202;11,190
Palencia;34204;21,779
Palencia;34205;34,042
Palencia;34206;64,859
Palencia;34208;20,663
Palencia;34210;32,641
Palencia;34211;40,772
Palencia;34213;17,836
Palencia;34214;33,843
Palencia;34215;25,404
Palencia;34216;26,316
Palencia;34217;18,994
Palencia;34218;26,288
Palencia;34220;35,809
Palencia;34221;58,102
Palencia;34222;53,139
Palencia;34223;13,289
Palencia;34224;25,175
Palencia;34225;40,000
Palencia;34227;16,558
Palencia;34228;31,027
Palencia;34229;26,403
Palencia;34230;7,678
Palencia;34231;80,272
Palencia;34232;30,257
Palencia;34233;20,490
Palencia;34234;30,323
Palencia;34236;26,142
Palencia;34237;42,032
Palencia;34238;37,213
Palencia;34240;22,051
Palencia;34241;8,695
Palencia;34242;9,023
Palencia;34243;40,586
Palencia;34245;77,925
Palencia;34246;23,518
Palencia;34901;88,544
Palencia;34902;62,970
Palencia;34903;71,205
Palencia;34904;165,608
Salamanca;37001;23,124
Salamanca;37002;44,558
Salamanca;37003;27,979
Salamanca;37004;24,134
Salamanca;37005;32,330
Salamanca;37006;19,370
Salamanca;37007;49,181
Salamanca;37008;46,524
Salamanca;37009;22,382
Salamanca;37010;60,786
Salamanca;37011;30,116
Salamanca;37012;21,259
Salamanca;37013;37,193
Salamanca;37014;46,253
Salamanca;37015;41,990
Salamanca;37016;5,479
Salamanca;37017;55,655
Salamanca;37018;14,518
Salamanca;37019;8,420
Salamanca;37020;32,856
Salamanca;37021;17,583
Salamanca;37022;24,300
Salamanca;37023;31,492
Salamanca;37024;12,856
Salamanca;37025;70,709
Salamanca;37026;60,521
Salamanca;37027;19,303
Salamanca;37028;39,118
Salamanca;37029;37,047
Salamanca;37030;20,250
Salamanca;37031;23,261
Salamanca;37032;25,254
Salamanca;37033;11,486
Salamanca;37034;7,100
Salamanca;37035;38,941
Salamanca;37036;10,394
Salamanca;37037;24,157
Salamanca;37038;22,606
Salamanca;37039;50,567
Salamanca;37040;36,124
Salamanca;37041;37,591
Salamanca;37042;21,154
Salamanca;37044;37,904
Salamanca;37045;18,546
Salamanca;37046;45,760
Salamanca;37047;26,638
Salamanca;37049;28,500
Salamanca;37050;38,727
Salamanca;37051;30,566
Salamanca;37052;30,234
Salamanca;37054;60,824
Salamanca;37055;32,956
Salamanca;37056;14,596
Salamanca;37057;23,015
Salamanca;37058;14,916
Salamanca;37059;59,302
Salamanca;37060;27,056
Salamanca;37061;47,393
Salamanca;37062;8,493
Salamanca;37063;13,917
Salamanca;37065;45,045
Salamanca;37067;11,647
Salamanca;37068;24,878
Salamanca;37069;28,169
Salamanca;37070;25,744
Salamanca;37071;9,470
Salamanca;37072;44,117
Salamanca;37073;20,038
Salamanca;37074;26,067
Salamanca;37077;45,203
Salamanca;37078;60,207
Salamanca;37079;38,809
Salamanca;37080;7,516
Salamanca;37081;71,149
Salamanca;37082;78,480
Salamanca;37083;37,069
Salamanca;37085;13,628
Salamanca;37086;70,625
Salamanca;37087;76,642
Salamanca;37088;41,002
Salamanca;37089;29,621
Salamanca;37090;1,263
Salamanca;37091;42,674
Salamanca;37092;13,844
Salamanca;37096;155,971
Salamanca;37097;30,409
Salamanca;37098;10,742
Salamanca;37099;15,495
Salamanca;37100;17,954
Salamanca;37101;51,669
Salamanca;37102;25,880
Salamanca;37103;46,312
Salamanca;37104;16,982
Salamanca;37106;104,770
Salamanca;37107;240,308
Salamanca;37108;10,469
Salamanca;37109;40,011
Salamanca;37110;15,840
Salamanca;37112;22,100
Salamanca;37113;91,244
Salamanca;37114;14,711
Salamanca;37115;16,354
Salamanca;37116;46,190
Salamanca;37117;14,069
Salamanca;37118;17,466
Salamanca;37119;30,816
Salamanca;37120;23,780
Salamanca;37121;20,870
Salamanca;37122;8,788
Salamanca;37123;33,784
Salamanca;37124;33,565
Salamanca;37125;20,985
Salamanca;37126;39,493
Salamanca;37127;98,567
Salamanca;37128;23,457
Salamanca;37129;20,805
Salamanca;37130;38,089
Salamanca;37131;28,312
Salamanca;37132;45,240
Salamanca;37133;8,180
Salamanca;37134;13,289
Salamanca;37135;77,119
Salamanca;37136;101,764
Salamanca;37137;50,232
Salamanca;37138;27,261
Salamanca;37139;14,481
Salamanca;37140;57,286
Salamanca;37141;27,672
Salamanca;37142;44,168
Salamanca;37143;31,643
Salamanca;37144;22,858
Salamanca;37145;47,216
Salamanca;37146;30,828
Salamanca;37147;12,518
Salamanca;37148;47,600
Salamanca;37149;84,323
Salamanca;37150;43,371
Salamanca;37151;11,795
Salamanca;37152;20,703
Salamanca;37154;31,519
Salamanca;37155;13,471
Salamanca;37156;63,262
Salamanca;37157;23,446
Salamanca;37158;31,543
Salamanca;37159;25,702
Salamanca;37160;93,133
Salamanca;37161;29,997
Salamanca;37162;53,382
Salamanca;37163;8,674
Salamanca;37164;14,205
Salamanca;37165;12,940
Salamanca;37166;27,505
Salamanca;37167;21,758
Salamanca;37168;42,552
Salamanca;37169;49,646
Salamanca;37170;141,331
Salamanca;37171;16,957
Salamanca;37172;27,913
Salamanca;37173;70,209
Salamanca;37174;32,940
Salamanca;37175;18,691
Salamanca;37176;1,608
Salamanca;37177;46,312
Salamanca;37178;10,297
Salamanca;37179;23,472
Salamanca;37180;36,749
