Provincia;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población
Palencia;2022;51,523;38,505;94,218;5,782;2,187;101;4908;6010;6345;6603;6613;6943;7676;9191;11220;11509;12207;13297;13303;11350;9242;7615;5187;5035;2788;850;18571;97254;42168;2,271;0,625;78316;79677;157993;49,569;50,431;8048,895;19,629
Palencia;2023;51,684;38,913;93,602;6,398;2,167;122;4751;6041;6401;6700;6588;6869;7477;9004;10972;11565;12013;13213;13285;11813;9524;7701;5312;4749;2825;862;18526;96353;42908;2,316;0,638;78125;79662;157787;49,513;50,487;8048,895;19,604
Salamanca;2021;52,996;40,388;95,737;4,263;2,117;218;10170;12347;14009;14298;14753;15372;16288;19031;22529;24216;25916;26523;24495;19851;18397;16581;13326;11589;5954;1872;39388;200559;87788;2,229;0,634;159202;168533;327735;48,576;51,424;12359,830;26,516
Salamanca;2022;53,251;41,031;95,431;4,569;2,099;266;9704;12047;13970;14459;14893;14981;15894;18254;21927;23935;25801;26582;24950;20661;18371;16822;12781;11757;6278;1952;38605;198792;88888;2,302;0,641;158487;167798;326285;48,573;51,427;12359,830;26,399
Salamanca;2023;53,205;41,271;95,162;4,838;2,085;289;9584;11802;13978;14777;15275;15206;15764;17848;21616;23750;25529;26662;25426;21502;18635;16998;12758;11343;6420;1927;38314;198903;89872;2,346;0,644;158779;168310;327089;48,543;51,457;12359,830;26,464
Segovia;2021;48,879;37,581;88,206;11,794;2,284;83;5581;6705;7382;7468;7599;7620;7937;9409;11296;12036;12497;12527;10969;8352;7219;6159;5117;4621;2396;653;21146;97880;34600;1,636;0,570;77152;76474;153626;50,221;49,779;6791,382;22,621
Segovia;2022;49,180;37,999;87,261;12,739;2,276;95;5365;6570;7379;7499;7635;7631;7833;9072;10973;12103;12430;12689;11352;8838;7313;6313;4815;4651;2481;694;20813;97718;35200;1,691;0,573;77203;76528;153731;50,220;49,780;6791,382;22,636
Segovia;2023;49,326;38,278;86,724;13,276;2,265;118;5297;6510;7510;7639;7684;7765;8110;8908;10837;12258;12355;12925;11629;9382;7478;6408;4771;4515;2561;672;20833;98594;35905;1,723;0,575;77867;77465;155332;50,129;49,871;6791,382;22,872
Soria;2021;52,670;43,382;92,066;7,934;2,149;73;3187;3592;3944;4013;4290;4238;4522;5208;6276;6479;7007;7191;6443;4986;4492;4004;3282;3204;1811;554;11515;54875;22406;1,946;0,618;44939;43857;88796;50,609;49,391;10294,970;8,625
Soria;2022;52,659;44,006;91,644;8,356;2,129;83;3068;3507;3949;4017;4262;4208;4398;5054;6080;6532;6809;7218;6680;5194;4473;4068;3149;3207;1796;578;11317;54465;22548;1,992;0,622;44754;43576;88330;50,667;49,333;10294,970;8,580
Soria;2023;52,617;44,120;90,943;9,057;2,119;87;3086;3579;4029;4117;4417;4244;4516;5151;6041;6592;6814;7323;6872;5407;4594;4077;3144;3022;1837;579;11515;55266;22747;1,975;0,620;45396;44132;89528;50,706;49,294;10294,970;8,696
Valladolid;2021;50,453;34,020;93,580;6,420;2,263;213;18065;23010;25453;23997;22593;22801;24871;31811;42527;43875;42061;39414;36550;31314;29270;24284;16767;12636;6139;1729;71322;325706;122352;1,715;0,595;252999;266381;519380;48,712;51,288;8108,948;64,050
Valladolid;2022;50,655;34,458;93,264;6,736;2,247;232;17066;22531;25410;24701;22837;22537;24264;30130;40356;44632;42332;39765;36938;32037;29722;24832;16568;13034;6417;1817;69938;323561;124659;1,782;0,601;252298;265860;518158;48,691;51,309;8108,948;63,900
Valladolid;2023;50,834;34,697;92,660;7,340;2,237;264;16820;21909;25590;25382;23656;23073;24416;29213;38803;44875;42818;40485;37189;32735;29895;25650;17212;12806;6653;1889;69393;324836;127104;1,832;0,605;253708;267625;521333;48,665;51,335;8108,948;64,291
Zamora;2021;54,282;40,381;96,403;3,597;2,101;129;4378;5273;6001;6243;6815;7087;7893;9263;11510;11747;12834;14115;13373;11470;10538;9830;8406;7451;3739;1070;16896;99636;52633;3,115;0,698;83824;85341;169165;49,552;50,448;10569,189;16,005
Zamora;2022;54,398;40,873;95,816;4,184;2,074;133;4188;5147;5870;6284;6704;6978;7662;8907;11122;11755;12643;13954;13638;11953;10675;9710;7930;7656;3849;1110;16456;98396;53016;3,222;0,706;83170;84698;167868;49,545;50,455;10569,189;15,883
Zamora;2023;54,604;41,438;95,226;4,774;2,066;157;4070;5077;5956;6283;6650;6692;7438;8656;10797;11822;12427;13874;13909;12240;10894;9715;7819;7352;3942;1157;16348;97303;53276;3,259;0,716;82770;84157;166927;49,585;50,415;10569,189;15,794
