Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;05062;2021;58,700;46,600;100,000;0,000;2,000
Avila;05062;2022;58,900;43,500;99,300;0,700;2,100
Avila;05062;2023;57,700;40,600;93,900;6,100;2,100
Avila;05063;2021;68,700;64,700;100,000;0,000;1,700
Avila;05063;2022;68,900;62,500;100,000;0,000;1,600
Avila;05063;2023;74,800;64,300;100,000;0,000;1,500
Avila;05064;2021;58,800;50,900;99,000;1,000;1,900
Avila;05064;2022;60,200;50,000;99,000;1,000;1,900
Avila;05064;2023;59,200;50,000;97,000;3,000;1,900
Avila;05065;2021;53,400;34,600;96,700;3,300;2,300
Avila;05065;2022;54,400;34,600;96,600;3,400;2,200
Avila;05065;2023;54,200;33,900;96,300;3,700;2,200
Avila;05066;2021;52,100;42,700;98,100;1,900;2,100
Avila;05066;2022;52,200;43,800;96,500;3,500;2,000
Avila;05066;2023;52,200;45,000;95,800;4,200;2,000
Avila;05067;2021;57,200;46,700;100,000;0,000;2,100
Avila;05067;2022;55,800;43,300;100,000;0,000;2,200
Avila;05067;2023;56,100;41,400;100,000;0,000;2,200
Avila;05069;2021;55,200;42,900;100,000;0,000;2,000
Avila;05069;2022;54,000;40,000;94,700;5,300;2,200
Avila;05069;2023;57,500;40,500;93,100;6,900;1,900
Avila;05070;2021;60,100;61,100;100,000;0,000;1,700
Avila;05070;2022;56,700;63,200;87,100;12,900;1,600
Avila;05070;2023;53,800;55,600;80,000;20,000;1,900
Avila;05072;2021;49,400;27,000;92,300;7,700;2,500
Avila;05072;2022;48,900;33,300;92,300;7,700;2,300
Avila;05072;2023;49,900;29,000;92,100;7,900;2,300
Avila;05073;2021;57,400;37,000;99,600;0,400;2,100
Avila;05073;2022;58,000;40,700;99,600;0,400;2,000
Avila;05073;2023;56,800;43,100;100,000;0,000;2,000
Avila;05074;2021;53,500;35,900;97,900;2,100;2,300
Avila;05074;2022;53,600;38,400;98,200;1,800;2,200
Avila;05074;2023;53,100;35,700;96,700;3,300;2,200
Avila;05075;2021;56,300;47,800;97,200;2,800;1,900
Avila;05075;2022;54,200;54,400;98,900;1,100;1,900
Avila;05075;2023;56,000;48,800;98,800;1,200;1,900
Avila;05076;2021;45,600;28,500;97,000;3,000;2,500
Avila;05076;2022;45,700;28,500;97,700;2,300;2,500
Avila;05076;2023;45,600;27,200;97,400;2,600;2,500
Avila;05077;2021;55,500;35,800;96,300;3,700;2,400
Avila;05077;2022;55,100;35,300;96,800;3,200;2,300
Avila;05077;2023;56,500;39,100;96,700;3,300;2,200
Avila;05078;2021;59,500;43,500;100,000;0,000;2,000
Avila;05078;2022;60,600;40,000;100,000;0,000;2,000
Avila;05078;2023;62,000;42,200;100,000;0,000;2,000
Avila;05079;2021;56,000;62,200;100,000;0,000;1,600
Avila;05079;2022;57,800;61,100;100,000;0,000;1,600
Avila;05079;2023;56,700;63,900;100,000;0,000;1,600
Avila;05080;2021;59,300;60,000;97,900;2,100;1,600
Avila;05080;2022;60,700;60,700;97,800;2,200;1,600
Avila;05080;2023;61,000;59,300;97,700;2,300;1,600
Avila;05081;2021;58,400;40,000;100,000;0,000;2,000
Avila;05081;2022;58,500;40,000;97,600;2,400;2,000
Avila;05081;2023;57,700;57,100;97,400;2,600;1,900
Avila;05082;2021;52,500;42,500;96,200;3,800;2,100
Avila;05082;2022;53,300;45,600;96,500;3,500;2,000
Avila;05082;2023;54,100;45,800;97,000;3,000;2,000
Avila;05083;2021;55,500;39,700;95,500;4,500;2,000
Avila;05083;2022;54,300;40,000;94,800;5,200;2,000
Avila;05083;2023;53,600;39,700;97,900;2,100;2,100
Avila;05084;2021;65,600;54,600;100,000;0,000;1,800
Avila;05084;2022;69,000;65,600;100,000;0,000;1,600
Avila;05084;2023;71,000;69,700;100,000;0,000;1,400
Avila;05085;2021;52,900;42,900;97,600;2,400;2,100
Avila;05085;2022;54,700;47,600;97,700;2,300;2,100
Avila;05085;2023;51,600;52,200;97,900;2,100;2,100
Avila;05086;2021;62,800;37,500;100,000;0,000;1,900
Avila;05086;2022;62,500;51,200;97,300;2,700;1,800
Avila;05086;2023;59,500;52,500;98,700;1,300;1,900
Avila;05087;2021;51,700;43,100;90,200;9,800;2,200
Avila;05087;2022;51,600;40,400;89,500;10,500;2,200
Avila;05087;2023;51,800;42,300;89,400;10,600;2,200
Avila;05088;2021;53,000;35,300;100,000;0,000;1,900
Avila;05088;2022;53,800;36,800;100,000;0,000;1,900
Avila;05088;2023;51,800;27,800;100,000;0,000;1,900
Avila;05089;2021;56,900;50,000;96,600;3,400;1,900
Avila;05089;2022;56,400;50,600;98,000;2,000;1,900
Avila;05089;2023;57,200;50,000;97,400;2,600;1,900
Avila;05090;2021;55,900;41,400;100,000;0,000;2,300
Avila;05090;2022;59,800;41,400;95,200;4,800;2,100
Avila;05090;2023;60,000;50,000;95,400;4,600;2,000
Avila;05092;2021;53,600;38,200;97,400;2,600;2,300
Avila;05092;2022;54,800;39,400;98,000;2,000;2,200
Avila;05092;2023;55,800;40,900;98,600;1,400;2,100
Avila;05093;2021;49,100;48,300;82,400;17,600;1,900
Avila;05093;2022;49,400;48,700;79,000;21,000;1,900
Avila;05093;2023;50,400;47,700;79,900;20,100;1,900
Avila;05094;2021;56,200;42,700;97,100;2,900;1,900
Avila;05094;2022;54,600;41,800;96,700;3,300;1,900
Avila;05094;2023;53,500;47,400;92,600;7,400;1,900
Avila;05095;2021;51,900;45,300;94,400;5,600;2,000
Avila;05095;2022;51,700;45,700;90,500;9,500;2,000
Avila;05095;2023;50,700;45,300;91,500;8,500;1,900
Avila;05096;2021;56,500;58,500;98,800;1,200;1,700
Avila;05096;2022;55,000;58,300;98,800;1,200;1,700
Avila;05096;2023;56,600;59,600;97,400;2,600;1,600
Avila;05097;2021;55,600;42,700;97,900;2,100;2,100
Avila;05097;2022;56,700;44,600;98,700;1,300;2,000
