Provincia;CMuni;CUSEC;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05022;0502201001;2021;428;419;847;50,530;49,470
Avila;05022;0502201001;2022;438;424;862;50,810;49,190
Avila;05022;0502201001;2023;439;434;873;50,290;49,710
Avila;05022;0502201002;2021;580;543;1123;51,650;48,350
Avila;05022;0502201002;2022;567;530;1097;51,690;48,310
Avila;05022;0502201002;2023;570;564;1134;50,260;49,740
Avila;05023;0502301001;2021;97;84;181;53,590;46,410
Avila;05023;0502301001;2022;96;79;175;54,860;45,140
Avila;05023;0502301001;2023;95;81;176;53,980;46,020
Avila;05024;0502401001;2021;94;88;182;51,650;48,350
Avila;05024;0502401001;2022;94;80;174;54,020;45,980
Avila;05024;0502401001;2023;88;76;164;53,660;46,340
Avila;05025;0502501001;2021;40;37;77;51,950;48,050
Avila;05025;0502501001;2022;41;37;78;52,560;47,440
Avila;05025;0502501001;2023;37;33;70;52,860;47,140
Avila;05026;0502601001;2021;101;91;192;52,600;47,400
Avila;05026;0502601001;2022;101;89;190;53,160;46,840
Avila;05026;0502601001;2023;93;83;176;52,840;47,160
Avila;05027;0502701001;2021;179;156;335;53,430;46,570
Avila;05027;0502701001;2022;179;160;339;52,800;47,200
Avila;05027;0502701001;2023;175;151;326;53,680;46,320
Avila;05029;0502901001;2021;51;39;90;56,670;43,330
Avila;05029;0502901001;2022;51;40;91;56,040;43,960
Avila;05029;0502901001;2023;48;39;87;55,170;44,830
Avila;05030;0503001001;2021;27;22;49;55,100;44,900
Avila;05030;0503001001;2022;30;23;53;56,600;43,400
Avila;05030;0503001001;2023;28;22;50;56,000;44,000
Avila;05033;0503301001;2021;94;87;181;51,930;48,070
Avila;05033;0503301001;2022;90;84;174;51,720;48,280
Avila;05033;0503301001;2023;87;82;169;51,480;48,520
Avila;05034;0503401001;2021;8;7;15;53,330;46,670
Avila;05034;0503401001;2022;9;5;14;64,290;35,710
Avila;05034;0503401001;2023;9;6;15;60,000;40,000
Avila;05035;0503501001;2021;50;51;101;49,500;50,500
Avila;05035;0503501001;2022;50;49;99;50,510;49,490
Avila;05035;0503501001;2023;55;51;106;51,890;48,110
Avila;05036;0503601001;2021;63;54;117;53,850;46,150
Avila;05036;0503601001;2022;60;51;111;54,050;45,950
Avila;05036;0503601001;2023;56;51;107;52,340;47,660
Avila;05037;0503701001;2021;131;101;232;56,470;43,530
Avila;05037;0503701001;2022;129;101;230;56,090;43,910
Avila;05037;0503701001;2023;125;90;215;58,140;41,860
Avila;05038;0503801001;2021;78;53;131;59,540;40,460
Avila;05038;0503801001;2022;75;49;124;60,480;39,520
Avila;05038;0503801001;2023;108;73;181;59,670;40,330
Avila;05039;0503901001;2021;26;19;45;57,780;42,220
Avila;05039;0503901001;2022;26;18;44;59,090;40,910
Avila;05039;0503901001;2023;26;16;42;61,900;38,100
Avila;05040;0504001001;2021;42;21;63;66,670;33,330
Avila;05040;0504001001;2022;39;20;59;66,100;33,900
Avila;05040;0504001001;2023;37;20;57;64,910;35,090
Avila;05041;0504101001;2021;651;576;1227;53,060;46,940
Avila;05041;0504101001;2022;636;572;1208;52,650;47,350
Avila;05041;0504101001;2023;658;595;1253;52,510;47,490
Avila;05042;0504201001;2021;77;83;160;48,120;51,880
Avila;05042;0504201001;2022;74;83;157;47,130;52,870
Avila;05042;0504201001;2023;74;84;158;46,840;53,160
Avila;05043;0504301001;2021;36;32;68;52,940;47,060
Avila;05043;0504301001;2022;39;40;79;49,370;50,630
Avila;05043;0504301001;2023;43;46;89;48,310;51,690
Avila;05044;0504401001;2021;149;122;271;54,980;45,020
Avila;05044;0504401001;2022;144;114;258;55,810;44,190
Avila;05044;0504401001;2023;139;109;248;56,050;43,950
Avila;05045;0504501001;2021;44;38;82;53,660;46,340
Avila;05045;0504501001;2022;44;43;87;50,570;49,430
Avila;05045;0504501001;2023;47;46;93;50,540;49,460
Avila;05046;0504601001;2021;24;15;39;61,540;38,460
Avila;05046;0504601001;2022;23;14;37;62,160;37,840
Avila;05046;0504601001;2023;21;15;36;58,330;41,670
Avila;05047;0504701001;2021;560;507;1067;52,480;47,520
Avila;05047;0504701001;2022;548;499;1047;52,340;47,660
Avila;05047;0504701001;2023;539;511;1050;51,330;48,670
Avila;05047;0504703001;2021;706;711;1417;49,820;50,180
Avila;05047;0504703001;2022;711;715;1426;49,860;50,140
Avila;05047;0504703001;2023;712;711;1423;50,040;49,960
Avila;05047;0504703002;2021;962;948;1910;50,370;49,630
Avila;05047;0504703002;2022;974;967;1941;50,180;49,820
Avila;05047;0504703002;2023;970;955;1925;50,390;49,610
Avila;05047;0504703003;2021;320;329;649;49,310;50,690
Avila;05047;0504703003;2022;321;317;638;50,310;49,690
Avila;05047;0504703003;2023;303;308;611;49,590;50,410
Avila;05048;0504801001;2021;60;41;101;59,410;40,590
Avila;05048;0504801001;2022;58;40;98;59,180;40,820
Avila;05048;0504801001;2023;57;40;97;58,760;41,240
Avila;05049;0504901001;2021;231;196;427;54,100;45,900
Avila;05049;0504901001;2022;231;197;428;53,970;46,030
Avila;05049;0504901001;2023;230;196;426;53,990;46,010
Avila;05051;0505101001;2021;91;72;163;55,830;44,170
Avila;05051;0505101001;2022;88;69;157;56,050;43,950
Avila;05051;0505101001;2023;91;71;162;56,170;43,830
Avila;05052;0505201001;2021;46;37;83;55,420;44,580
Avila;05052;0505201001;2022;45;35;80;56,250;43,750
Avila;05052;0505201001;2023;45;40;85;52,940;47,060
Avila;05053;0505301001;2021;43;28;71;60,560;39,440
Avila;05053;0505301001;2022;39;31;70;55,710;44,290
Avila;05053;0505301001;2023;40;30;70;57,140;42,860
Avila;05054;0505401001;2021;734;699;1433;51,220;48,780
Avila;05054;0505401001;2022;742;703;1445;51,350;48,650
Avila;05054;0505401001;2023;726;691;1417;51,240;48,760
Avila;05055;0505501001;2021;346;289;635;54,490;45,510
Avila;05055;0505501001;2022;349;297;646;54,020;45,980
Avila;05055;0505501001;2023;366;297;663;55,200;44,800
Avila;05056;0505601001;2021;54;40;94;57,450;42,550
Avila;05056;0505601001;2022;51;39;90;56,670;43,330
Avila;05056;0505601001;2023;76;62;138;55,070;44,930
Avila;05057;0505701001;2021;335;337;672;49,850;50,150
Avila;05057;0505701001;2022;333;334;667;49,930;50,070
Avila;05057;0505701001;2023;321;328;649;49,460;50,540
Avila;05057;0505702001;2021;514;469;983;52,290;47,710
Avila;05057;0505702001;2022;504;458;962;52,390;47,610
Avila;05057;0505702001;2023;516;469;985;52,390;47,610
Avila;05057;0505702002;2021;850;749;1599;53,160;46,840
Avila;05057;0505702002;2022;836;744;1580;52,910;47,090
Avila;05057;0505702002;2023;864;771;1635;52,840;47,160
Avila;05058;0505801001;2021;39;32;71;54,930;45,070
Avila;05058;0505801001;2022;40;35;75;53,330;46,670
Avila;05058;0505801001;2023;39;29;68;57,350;42,650
Avila;05059;0505901001;2021;50;32;82;60,980;39,020
Avila;05059;0505901001;2022;45;29;74;60,810;39,190
Avila;05059;0505901001;2023;41;29;70;58,570;41,430
Avila;05060;0506001001;2021;55;48;103;53,400;46,600
Avila;05060;0506001001;2022;55;47;102;53,920;46,080
Avila;05060;0506001001;2023;54;46;100;54,000;46,000
Avila;05061;0506101001;2021;175;166;341;51,320;48,680
Avila;05061;0506101001;2022;187;169;356;52,530;47,470
Avila;05061;0506101001;2023;190;176;366;51,910;48,090
Avila;05062;0506201001;2021;82;78;160;51,250;48,750
Avila;05062;0506201001;2022;78;72;150;52,000;48,000
Avila;05062;0506201001;2023;74;71;145;51,030;48,970
Avila;05063;0506301001;2021;19;12;31;61,290;38,710
Avila;05063;0506301001;2022;16;13;29;55,170;44,830
Avila;05063;0506301001;2023;14;12;26;53,850;46,150
Avila;05064;0506401001;2021;60;47;107;56,070;43,930
Avila;05064;0506401001;2022;58;43;101;57,430;42,570
Avila;05064;0506401001;2023;57;41;98;58,160;41,840
Avila;05065;0506501001;2021;264;232;496;53,230;46,770
Avila;05065;0506501001;2022;254;228;482;52,700;47,300
Avila;05065;0506501001;2023;254;220;474;53,590;46,410
Avila;05066;0506601001;2021;286;228;514;55,640;44,360
Avila;05066;0506601001;2022;286;236;522;54,790;45,210
Avila;05066;0506601001;2023;288;229;517;55,710;44,290
Avila;05067;0506701001;2021;41;27;68;60,290;39,710
Avila;05067;0506701001;2022;37;27;64;57,810;42,190
Avila;05067;0506701001;2023;37;28;65;56,920;43,080
Avila;05069;0506901001;2021;40;33;73;54,790;45,210
Avila;05069;0506901001;2022;39;31;70;55,710;44,290
Avila;05069;0506901001;2023;41;35;76;53,950;46,050
Avila;05070;0507001001;2021;18;12;30;60,000;40,000
Avila;05070;0507001001;2022;19;11;30;63,330;36,670
Avila;05070;0507001001;2023;20;11;31;64,520;35,480
Avila;05072;0507201001;2021;56;54;110;50,910;49,090
Avila;05072;0507201001;2022;54;52;106;50,940;49,060
Avila;05072;0507201001;2023;53;50;103;51,460;48,540
Avila;05073;0507301001;2021;156;131;287;54,360;45,640
Avila;05073;0507301001;2022;152;131;283;53,710;46,290
Avila;05073;0507301001;2023;147;128;275;53,450;46,550
Avila;05074;0507401001;2021;384;352;736;52,170;47,830
Avila;05074;0507401001;2022;376;348;724;51,930;48,070
Avila;05074;0507401001;2023;370;346;716;51,680;48,320
Avila;05075;0507501001;2021;57;53;110;51,820;48,180
Avila;05075;0507501001;2022;53;52;105;50,480;49,520
Avila;05075;0507501001;2023;52;55;107;48,600;51,400
Avila;05076;0507601001;2021;316;276;592;53,380;46,620
Avila;05076;0507601001;2022;311;285;596;52,180;47,820
Avila;05076;0507601001;2023;308;290;598;51,510;48,490
Avila;05077;0507701001;2021;89;69;158;56,330;43,670
Avila;05077;0507701001;2022;88;72;160;55,000;45,000
Avila;05077;0507701001;2023;88;70;158;55,700;44,300
Avila;05078;0507801001;2021;55;41;96;57,290;42,710
Avila;05078;0507801001;2022;54;40;94;57,450;42,550
Avila;05078;0507801001;2023;52;37;89;58,430;41,570
Avila;05079;0507901001;2021;38;26;64;59,380;40,620
Avila;05079;0507901001;2022;36;23;59;61,020;38,980
Avila;05079;0507901001;2023;35;23;58;60,340;39,660
Avila;05080;0508001001;2021;18;18;36;50,000;50,000
Avila;05080;0508001001;2022;24;23;47;51,060;48,940
Avila;05080;0508001001;2023;23;22;45;51,110;48,890
Avila;05081;0508101001;2021;28;14;42;66,670;33,330
Avila;05081;0508101001;2022;27;14;41;65,850;34,150
Avila;05081;0508101001;2023;27;14;41;65,850;34,150
Avila;05082;0508201001;2021;308;269;577;53,380;46,620
Avila;05082;0508201001;2022;322;253;575;56,000;44,000
Avila;05082;0508201001;2023;304;244;548;55,470;44,530
Avila;05083;0508301001;2021;76;71;147;51,700;48,300
Avila;05083;0508301001;2022;80;77;157;50,960;49,040
Avila;05083;0508301001;2023;79;75;154;51,300;48,700
Avila;05084;0508401001;2021;36;26;62;58,060;41,940
Avila;05084;0508401001;2022;36;24;60;60,000;40,000
Avila;05084;0508401001;2023;33;17;50;66,000;34,000
Avila;05085;0508501001;2021;19;23;42;45,240;54,760
Avila;05085;0508501001;2022;21;23;44;47,730;52,270
Avila;05085;0508501001;2023;22;22;44;50,000;50,000
Avila;05086;0508601001;2021;46;28;74;62,160;37,840
Avila;05086;0508601001;2022;48;30;78;61,540;38,460
Avila;05086;0508601001;2023;45;29;74;60,810;39,190
Avila;05087;0508701001;2021;63;106;169;37,280;62,720
Avila;05087;0508701001;2022;65;109;174;37,360;62,640
Avila;05087;0508701001;2023;60;107;167;35,930;64,070
Avila;05088;0508801001;2021;13;13;26;50,000;50,000
Avila;05088;0508801001;2022;16;17;33;48,480;51,520
Avila;05088;0508801001;2023;16;20;36;44,440;55,560
Avila;05089;0508901001;2021;267;259;526;50,760;49,240
Avila;05089;0508901001;2022;258;245;503;51,290;48,710
Avila;05089;0508901001;2023;248;241;489;50,720;49,280
Avila;05090;0509001001;2021;39;35;74;52,700;47,300
Avila;05090;0509001001;2022;36;30;66;54,550;45,450
Avila;05090;0509001001;2023;32;30;62;51,610;48,390
Avila;05092;0509201001;2021;89;66;155;57,420;42,580
