Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05044;0504401001;2023;2,2;30,1
Avila;05047;0504701001;2021;2,4;30,1
Avila;05047;0504701001;2022;2,4;30,6
Avila;05047;0504701001;2023;2,3;28,1
Avila;05047;0504703001;2021;2,4;29,2
Avila;05047;0504703001;2022;2,4;30,9
Avila;05047;0504703001;2023;2,3;31
Avila;05047;0504703002;2021;2,3;29,2
Avila;05047;0504703002;2022;2,3;28,7
Avila;05047;0504703002;2023;2,3;28,2
Avila;05047;0504703003;2021;2,2;27,3
Avila;05047;0504703003;2022;2,2;27,2
Avila;05049;0504901001;2021;2,2;24,1
Avila;05049;0504901001;2022;2,2;23,1
Avila;05049;0504901001;2023;2,2;24,2
Avila;05051;0505101001;2021;3;31,4
Avila;05051;0505101001;2022;2,7;29,7
Avila;05051;0505101001;2023;2,5;29,1
Avila;05054;0505401001;2021;2,2;29
Avila;05054;0505401001;2022;2,2;29,2
Avila;05054;0505401001;2023;2,4;28,4
Avila;05055;0505501001;2021;2,3;29,1
Avila;05055;0505501001;2022;2,3;28,3
Avila;05055;0505501001;2023;2,5;28,4
Avila;05056;0505601001;2022;2,2;28
Avila;05056;0505601001;2023;2,3;25,5
Avila;05057;0505701001;2021;2,5;29,5
Avila;05057;0505701001;2022;2,2;27
Avila;05057;0505701001;2023;2,4;27,5
Avila;05057;0505702001;2021;2,1;27,4
Avila;05057;0505702001;2022;2,1;26,5
Avila;05057;0505702002;2021;2,7;31,8
Avila;05057;0505702002;2022;2,8;31,1
Avila;05057;0505702002;2023;2,6;30,3
Avila;05060;0506001001;2021;2,7;27,6
Avila;05060;0506001001;2022;3;27,6
Avila;05060;0506001001;2023;2,4;26,2
Avila;05061;0506101001;2021;2,3;27,1
Avila;05061;0506101001;2022;2,2;26,1
Avila;05061;0506101001;2023;2,4;27,6
Avila;05062;0506201001;2021;2,5;29,8
Avila;05062;0506201001;2022;2,7;31,3
Avila;05062;0506201001;2023;2,4;33,1
Avila;05064;0506401001;2021;1,9;24,5
Avila;05065;0506501001;2021;2,8;28,9
Avila;05065;0506501001;2022;2,9;29,5
Avila;05065;0506501001;2023;2,8;30,8
Avila;05066;0506601001;2021;2,3;30,5
Avila;05066;0506601001;2022;2,5;31,6
Avila;05066;0506601001;2023;2,8;33
Avila;05073;0507301001;2021;2,6;33,5
Avila;05073;0507301001;2022;2,6;33,9
Avila;05073;0507301001;2023;2,5;44,2
Avila;05074;0507401001;2021;2,4;29,8
Avila;05074;0507401001;2022;2,2;27
Avila;05074;0507401001;2023;2,3;27,6
Avila;05076;0507601001;2021;2,3;27,6
Avila;05076;0507601001;2022;2,2;25,7
Avila;05076;0507601001;2023;2,3;25,9
Avila;05077;0507701001;2021;2;25,3
Avila;05077;0507701001;2022;2,1;24,4
Avila;05077;0507701001;2023;1,9;22,6
Avila;05082;0508201001;2021;2;28,4
Avila;05082;0508201001;2022;2,1;30
Avila;05082;0508201001;2023;2;27,1
Avila;05083;0508301001;2021;2,5;27,3
Avila;05083;0508301001;2022;2,6;26,3
Avila;05083;0508301001;2023;2,6;28,8
Avila;05087;0508701001;2021;4,1;38,9
Avila;05087;0508701001;2022;4,2;44
Avila;05087;0508701001;2023;3,4;37,8
Avila;05089;0508901001;2021;2,3;30,2
Avila;05089;0508901001;2022;2,1;27,6
Avila;05089;0508901001;2023;2,3;26,8
Avila;05092;0509201001;2021;2;25,5
Avila;05092;0509201001;2022;2,4;28,4
Avila;05092;0509201001;2023;2,3;27,3
Avila;05093;0509301001;2021;3,7;36
Avila;05093;0509301001;2022;3,1;34,6
Avila;05093;0509301001;2023;3;33,7
Avila;05094;0509401001;2021;1,9;24,4
Avila;05094;0509401001;2022;2,4;28,5
Avila;05094;0509401001;2023;2,9;35
Avila;05095;0509501001;2021;3,1;33,8
Avila;05095;0509501001;2022;2,9;34
Avila;05095;0509501001;2023;2,7;35,2
Avila;05097;0509701001;2021;2,1;27,5
Avila;05097;0509701001;2022;2;27,4
Avila;05097;0509701001;2023;2;25,4
Avila;05099;0509901001;2021;2,4;27,6
Avila;05099;0509901001;2022;2,3;28,8
Avila;05099;0509901001;2023;2,3;27,4
Avila;05100;0510001001;2021;2,4;29,7
Avila;05100;0510001001;2022;2,2;28,7
Avila;05100;0510001001;2023;2,4;28,3
Avila;05101;0510101001;2021;2,6;29,1
Avila;05101;0510101001;2022;2,7;29,1
Avila;05101;0510101001;2023;2,6;28,8
Avila;05102;0510201001;2021;2,1;27,1
Avila;05102;0510201001;2022;2,3;27,5
Avila;05102;0510201001;2023;2,3;26,9
Avila;05102;0510201002;2021;2,6;29,6
Avila;05102;0510201002;2022;2,4;29,3
Avila;05102;0510201002;2023;2,4;29,2
Avila;05105;0510501001;2021;2,6;28,4
Avila;05105;0510501001;2022;2,7;27,9
Avila;05105;0510501001;2023;2,2;25,3
Avila;05109;0510901001;2021;2;23,4
Avila;05109;0510901001;2022;1,9;23,4
Avila;05109;0510901001;2023;2;23,7
Avila;05110;0511001001;2021;2,3;29,2
Avila;05110;0511001001;2022;2,4;29,4
Avila;05110;0511001001;2023;2,4;28,1
Avila;05112;0511201001;2021;3,4;34,2
Avila;05112;0511201001;2022;4;36,9
Avila;05112;0511201001;2023;4;36,7
Avila;05114;0511401001;2021;2,1;23,5
Avila;05114;0511401001;2022;2,2;23,1
Avila;05114;0511401001;2023;2,3;24,3
Avila;05114;0511402001;2021;2;24,1
