Provincia;CMuni;CUSEC;Periodo;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_hogar;Renta_bruta_media_por_persona;Renta_neta_media_por_hogar;Renta_neta_media_por_persona
Avila;05019;0501904014;2021;17644;16450;33245;14351;28057;12111
Avila;05019;0501904014;2022;18321;17150;34623;14777;29194;12460
Avila;05019;0501904014;2023;19180;17850;36830;15762;31029;13279
Avila;05019;0501905001;2021;19171;17850;33906;16132;28983;13789
Avila;05019;0501905001;2022;19188;17850;34077;16246;29062;13855
Avila;05019;0501905001;2023;19647;17850;35542;16791;30379;14352
Avila;05019;0501905002;2021;22028;20650;41439;18949;34399;15729
Avila;05019;0501905002;2022;22538;20650;43304;19696;35263;16039
Avila;05019;0501905002;2023;23379;21350;45828;20658;37557;16930
Avila;05019;0501905003;2021;20659;19250;38710;17419;32271;14522
Avila;05019;0501905003;2022;21258;19250;40611;18030;33479;14863
Avila;05019;0501905003;2023;22563;20650;42785;19430;35451;16100
Avila;05019;0501905004;2021;17511;15750;32925;14135;27986;12014
Avila;05019;0501905004;2022;18081;15750;34124;14665;28821;12386
Avila;05019;0501905004;2023;19035;17150;36485;15661;30752;13200
Avila;05019;0501905005;2021;17737;16450;32556;14439;27832;12344
Avila;05019;0501905005;2022;18198;17150;33598;14875;28542;12637
Avila;05019;0501905005;2023;20023;18550;37537;16645;31748;14078
Avila;05019;0501905006;2021;18794;17850;34234;15014;28825;12642
Avila;05019;0501905006;2022;19689;18550;36422;15702;30464;13133
Avila;05019;0501905006;2023;20303;19250;38078;16641;31845;13917
Avila;05019;0501906001;2021;26834;24850;50072;23584;40706;19173
Avila;05019;0501906001;2022;26171;24150;48842;22898;39656;18591
Avila;05019;0501906001;2023;28123;25550;53199;25171;43000;20345
Avila;05019;0501906002;2021;18812;16450;32654;15922;27713;13513
Avila;05019;0501906002;2022;19190;17150;33857;16372;28624;13842
Avila;05019;0501906002;2023;19688;17850;34843;17122;29211;14354
Avila;05019;0501906003;2021;24348;23450;52853;19172;42131;15282
Avila;05019;0501906003;2022;25167;23450;55652;19751;44085;15645
Avila;05019;0501906003;2023;26425;24850;59253;21230;46779;16761
Avila;05019;0501906004;2021;13543;12950;23037;10941;20514;9742
Avila;05019;0501906004;2022;13814;12950;24135;11241;21379;9957
Avila;05019;0501906004;2023;15174;12950;27494;12472;24237;10995
Avila;05019;0501906005;2021;14966;13650;25553;11933;22927;10706
Avila;05019;0501906005;2022;15491;14350;26625;12590;23760;11235
Avila;05019;0501906005;2023;15904;15050;27543;13075;24505;11633
Avila;05019;0501906006;2021;16436;15050;28390;13428;25087;11866
Avila;05019;0501906006;2022;17194;15750;29847;14124;26089;12346
Avila;05019;0501906006;2023;17578;16450;31088;14620;27218;12800
Avila;05019;0501906008;2021;18042;16450;32776;14617;28354;12645
Avila;05019;0501906008;2022;18530;16450;34088;15017;29299;12907
Avila;05019;0501906008;2023;19814;17500;36683;16501;31343;14099
Avila;05019;0501906009;2021;25714;24850;47167;23112;38398;18815
Avila;05019;0501906009;2022;27761;25550;51756;24938;42080;20276
Avila;05019;0501906009;2023;29531;26950;54903;26494;44481;21465
Avila;05019;0501906010;2021;21934;21350;41395;18715;34608;15647
Avila;05019;0501906010;2022;22900;21350;42931;19803;35890;16555
Avila;05019;0501906010;2023;24035;22750;44818;20970;37291;17448
Avila;05019;0501906011;2021;29386;27650;68207;23451;53423;18368
Avila;05019;0501906011;2022;31552;29050;74621;25573;58032;19888
Avila;05019;0501906011;2023;32544;31150;77595;26773;59953;20686
Avila;05019;0501906012;2021;21955;19950;47560;17617;38485;14256
Avila;05019;0501906012;2022;22831;21350;50334;18542;40454;14902
Avila;05019;0501906012;2023;24136;22750;52851;19965;42519;16062
Avila;05019;0501906013;2021;21979;19950;43713;18160;35006;14543
Avila;05019;0501906013;2022;23407;21350;47272;19490;38140;15724
Avila;05019;0501906013;2023;25017;22750;50141;21025;40396;16938
Avila;05019;0501906014;2021;25925;24150;55960;21905;44750;17517
Avila;05019;0501906014;2022;28089;25550;59602;23821;47245;18883
Avila;05019;0501906014;2023;29082;27650;61911;25034;49119;19862
Avila;05021;0502101001;2021;17075;15050;30403;13904;26079;11927
Avila;05021;0502101001;2022;18217;15750;32694;14921;27787;12682
Avila;05021;0502101001;2023;19404;16450;35841;16610;29871;13843
Avila;05021;0502101002;2021;16676;15050;29933;13782;25783;11871
Avila;05021;0502101002;2022;17663;15750;31469;14659;27131;12639
Avila;05021;0502101002;2023;17814;16450;31842;14790;27527;12786
Avila;05022;0502201001;2021;16048;14350;30280;12724;26457;11118
