Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Burgos;09409;0940901001;2022;7,1;9,1;37,5;1,7;44,7
Burgos;09409;0940901001;2023;6,9;11,3;40,7;2,3;38,9
Burgos;09410;0941001001;2021;3,5;12,1;20,5;3,4;60,5
Burgos;09410;0941001001;2022;3,4;11,7;21,4;2,2;61,3
Burgos;09410;0941001001;2023;3;12,9;21,5;1,9;60,6
Burgos;09410;0941002001;2021;4,7;9,8;33;3,6;48,9
Burgos;09410;0941002001;2022;3,8;11,7;35,6;1,8;47
Burgos;09410;0941002001;2023;3,6;9,7;34,6;2,2;49,9
Burgos;09410;0941003001;2021;2,9;18,5;24,8;3,2;50,6
Burgos;09410;0941003001;2022;2,7;20,2;24,1;2,6;50,5
Burgos;09410;0941003001;2023;3,8;21,1;26,6;2;46,5
Burgos;09411;0941101001;2021;1,4;23,5;26,7;2,6;45,8
Burgos;09411;0941101001;2022;1,1;26,2;28,9;1,9;41,9
Burgos;09411;0941101001;2023;2,4;20,5;29,7;1,6;45,8
Burgos;09412;0941201001;2021;2,8;17,6;32,4;3,1;44,2
Burgos;09412;0941201001;2022;3,5;15,8;32,9;2,3;45,5
Burgos;09412;0941201001;2023;3,6;19,4;31,1;2,1;43,8
Burgos;09413;0941301001;2021;5,5;20,3;28,4;3,6;42,3
Burgos;09413;0941301001;2022;5,9;19,1;27,9;2,1;45,1
Burgos;09413;0941301001;2023;7,1;21;30;2;39,9
Burgos;09414;0941401001;2021;4,1;7,1;38,5;1,9;48,5
Burgos;09414;0941401001;2022;3,7;6,6;38,7;1,9;49,1
Burgos;09414;0941401001;2023;3;7,2;37,7;1,5;50,7
Burgos;09415;0941501001;2021;2,8;16,5;31,2;2,7;46,9
Burgos;09415;0941501001;2022;4,4;13;33,2;2,4;47,1
Burgos;09415;0941501001;2023;4,1;14,8;32,4;1,7;47,1
Burgos;09421;0942101001;2021;3,1;9,9;29,8;4,8;52,4
Burgos;09421;0942101001;2022;3,3;7,2;32;3,2;54,4
Burgos;09421;0942101001;2023;3,2;7,6;34,2;2,3;52,8
Burgos;09425;0942501001;2021;3,1;12;31,9;2;51,1
Burgos;09425;0942501001;2022;3,1;14,5;32,2;1,4;48,8
Burgos;09425;0942501001;2023;3,5;14,1;30,3;1,3;50,9
Burgos;09427;0942701001;2021;2,7;20,3;25,2;2,3;49,6
Burgos;09427;0942701001;2022;2,6;21,6;25,4;1,7;48,8
Burgos;09427;0942701001;2023;3;22;27,4;1,1;46,5
Burgos;09427;0942701002;2021;2,4;26;31,7;1,7;38,3
Burgos;09427;0942701002;2022;2,4;24,2;31,4;0,9;41,1
Burgos;09427;0942701002;2023;2,3;24,4;31,4;0,8;41,1
Burgos;09431;0943101001;2021;3,4;23,3;32,4;3,1;37,8
Burgos;09431;0943101001;2022;4,3;19,8;36,1;2,3;37,5
Burgos;09431;0943101001;2023;5,7;18,8;38;1,4;36,1
Burgos;09432;0943201001;2021;3,6;33,6;33,2;3,3;26,4
Burgos;09432;0943201001;2022;3,5;25,2;39,4;1,4;30,5
Burgos;09432;0943201001;2023;3,7;17,8;42,5;0,6;35,4
Burgos;09434;0943401001;2021;2,5;11,4;10,5;2,2;73,5
Burgos;09434;0943401001;2022;2,5;9,6;11,6;1,4;75
Burgos;09434;0943401001;2023;2,6;10,3;12,5;1,2;73,4
Burgos;09437;0943701001;2021;2,6;14,9;31,2;2,1;49,2
Burgos;09437;0943701001;2022;2;11,4;33,9;1,9;50,8
Burgos;09437;0943701001;2023;2,4;14;32,3;1,9;49,5
Burgos;09438;0943801001;2021;2,6;11,9;17,7;2,8;65,1
Burgos;09438;0943801001;2022;3,1;10,8;18,9;1,8;65,5
Burgos;09438;0943801001;2023;2,7;10,7;18,4;1,3;67
Burgos;09439;0943901001;2021;2,8;11,2;11,4;2,1;72,4
Burgos;09439;0943901001;2022;2,9;10,9;12;1,6;72,6
Burgos;09439;0943901001;2023;2,9;10,4;11,6;1,7;73,4
Burgos;09442;0944201001;2021;3,3;11,1;25,9;3,6;56,2
Burgos;09442;0944201001;2022;3,5;11,4;27,9;2,2;55
Burgos;09442;0944201001;2023;3;10,4;29,1;1,6;55,9
Burgos;09443;0944301001;2021;1,1;20;26,8;0,8;51,4
Burgos;09443;0944301001;2022;1,5;19,9;29,6;1,1;47,8
Burgos;09443;0944301001;2023;2,3;18,2;30,9;1,5;47,2
Burgos;09448;0944801001;2021;1,2;38;19,8;1;40
Burgos;09448;0944801001;2022;1,6;27,4;25,4;1,6;44
Burgos;09448;0944801001;2023;1,7;30,7;24,6;0,8;42,2
Burgos;09449;0944901001;2021;0,9;18,4;26,7;2,7;51,4
Burgos;09449;0944901001;2022;1,2;18,7;29,7;2;48,4
Burgos;09449;0944901001;2023;1;15,8;27,7;2;53,5
Burgos;09451;0945101001;2021;3;6,7;32;2,1;56,2
Burgos;09451;0945101001;2022;3,2;5,6;29,6;1,9;59,7
Burgos;09451;0945101001;2023;2,5;5,9;28,5;1,3;61,9
Burgos;09456;0945601001;2021;2,9;18;23,5;3,2;52,4
Burgos;09456;0945601001;2022;2,7;11,7;27,4;2;56,3
Burgos;09456;0945601001;2023;2,7;13,8;28,5;1,7;53,4
Burgos;09458;0945801001;2021;2,1;9,5;13,2;2,6;72,7
Burgos;09458;0945801001;2022;2,3;10,6;12,6;1,3;73,3
Burgos;09458;0945801001;2023;2,4;10,8;13,3;1;72,5
Burgos;09460;0946001001;2021;4,5;16,2;28;2,5;48,8
Burgos;09460;0946001001;2022;4,8;18,1;29,2;1,8;46
Burgos;09460;0946001001;2023;5,7;17;31;1;45,3
Burgos;09463;0946301001;2021;4,4;8,8;33,9;3,8;49
Burgos;09463;0946301001;2022;4,6;6,6;34,5;2;52,3
Burgos;09463;0946301001;2023;4,3;7;34,5;3,2;51,1
Burgos;09466;0946601001;2021;3,1;24,8;33,8;0,2;38,2
Burgos;09466;0946601001;2022;4,3;17,2;35,5;0,3;42,8
Burgos;09466;0946601001;2023;4,2;14,9;37,5;0,3;43,1
Burgos;09471;0947101001;2021;2,8;12,6;15,7;1,5;67,4
Burgos;09471;0947101001;2022;3,4;11,3;21,2;0,8;63,3
Burgos;09471;0947101001;2023;3,2;8,9;22,4;1;64,5
Burgos;09480;0948001001;2021;1,3;14,4;34;3,3;47
Burgos;09480;0948001001;2022;2,3;5,1;40,8;2,2;49,6
Burgos;09480;0948001001;2023;1,6;12,1;39,2;0,7;46,4
Burgos;09483;0948301001;2021;1,7;17,8;31,6;2,9;46
Burgos;09483;0948301001;2022;1,7;19,9;30,1;1,3;47
Burgos;09483;0948301001;2023;1,9;13,8;30,7;1,6;52
Burgos;09901;0990101001;2021;5,2;10,3;30,5;2,8;51,2
Burgos;09901;0990101001;2022;5,6;9,4;30,2;1,6;53,2
Burgos;09901;0990101001;2023;5,7;8,6;30,7;1,5;53,5
Burgos;09902;0990201001;2021;2,6;21,9;26;1,4;48,1
Burgos;09902;0990201001;2022;3,3;16,8;29,2;1,1;49,7
Burgos;09902;0990201001;2023;3,3;17;30,7;1,5;47,6
Burgos;09903;0990301001;2021;4,3;16,7;23,9;3;52,1
Burgos;09903;0990301001;2022;4,4;16,8;24,4;1,9;52,4
Burgos;09903;0990301001;2023;4;17;23,3;1,3;54,4
Burgos;09903;0990301002;2021;3,7;9,4;23,9;3,2;59,8
Burgos;09903;0990301002;2022;3,5;9;25;2,2;60,3
Burgos;09903;0990301002;2023;3,8;10,4;23,7;2,1;59,9
Burgos;09903;0990301003;2021;3;19;26,5;2,2;49,4
Burgos;09903;0990301003;2022;3,2;19,3;27,6;1,5;48,4
Burgos;09903;0990301003;2023;2,8;18,5;27,6;1,5;49,6
Burgos;09904;0990401001;2021;2,3;21,8;22,4;1,8;51,8
Burgos;09904;0990401001;2022;2,2;15,4;24,5;1,1;56,8
Burgos;09904;0990401001;2023;2,4;15,2;25,3;0,9;56,2
Burgos;09905;0990501001;2021;1,6;15,5;27;3,2;52,8
Burgos;09905;0990501001;2022;2,5;7;29,3;2,7;58,6
Burgos;09905;0990501001;2023;2;8,5;32,6;1,8;55,1
Burgos;09906;0990601001;2021;2,5;14;22,3;1,8;59,5
Burgos;09906;0990601001;2022;3;13;22,4;1,3;60,4
Burgos;09906;0990601001;2023;3;13,8;22,4;1,3;59,5
Burgos;09907;0990701001;2021;4;9,8;12,5;2,7;70,9
Burgos;09907;0990701001;2022;3,9;8,6;12,9;2;72,6
Burgos;09907;0990701001;2023;3,8;10,3;12,5;2;71,5
Burgos;09908;0990801001;2021;2,1;23,4;29,7;2,7;42,1
Burgos;09908;0990801001;2022;2;17,4;30,2;2;48,5
Burgos;09908;0990801001;2023;2;19,1;32,1;2,3;44,4
Leon;24001;2400101001;2021;5,4;11,4;40,8;1,7;40,7
Leon;24001;2400101001;2022;6,7;8,9;43,1;1,1;40,2
Leon;24001;2400101001;2023;6,2;11,3;42,5;0,7;39,3
Leon;24002;2400201001;2021;4,8;29;27,2;0,9;38,2
Leon;24002;2400201001;2022;4,4;36,3;25,7;1,1;32,5
Leon;24002;2400201001;2023;3,9;44,2;22,5;0,9;28,5
Leon;24003;2400301001;2021;7,3;12,9;42,2;2,2;35,5
Leon;24003;2400301001;2022;7,4;11,6;42;1,5;37,5
Leon;24003;2400301001;2023;8;10,4;42,1;1,7;37,9
Leon;24004;2400401001;2021;6,1;13,3;31;2,4;47,1
Leon;24004;2400401001;2022;5,9;13;31,4;1,9;47,8
Leon;24004;2400401001;2023;5,5;15,1;30,1;2;47,4
Leon;24005;2400501001;2021;3,8;21,7;42,2;1,4;30,9
Leon;24005;2400501001;2022;3,6;20,1;41,3;1;34
Leon;24005;2400501001;2023;3,4;26,4;36,4;0,9;32,9
Leon;24006;2400601001;2021;5,4;8,3;33,6;2,8;49,9
Leon;24006;2400601001;2022;5,1;9,1;34,4;1,6;49,8
Leon;24006;2400601001;2023;5;9,4;34,2;1,7;49,8
Leon;24007;2400701001;2021;7;8;39,5;3,6;41,9
Leon;24007;2400701001;2022;6,4;7,5;41,1;2,3;42,7
Leon;24007;2400701001;2023;6,8;8,1;39,3;2,1;43,7
Leon;24008;2400801001;2021;4,1;18,9;32,9;2,7;41,4
Leon;24008;2400801001;2022;4,1;23;31,7;1,3;39,9
Leon;24008;2400801001;2023;4;22,9;32;1,2;40
Leon;24008;2400801002;2021;4,9;18,1;37,4;2,2;37,5
Leon;24008;2400801002;2022;4,6;20,8;35,9;1,1;37,7
Leon;24008;2400801002;2023;4,9;21,9;34,2;1,1;37,9
Leon;24008;2400802001;2021;6,1;10,7;31;2,3;49,9
Leon;24008;2400802001;2022;6,3;8,3;32,2;1,4;51,7
Leon;24008;2400802001;2023;6,7;8,3;32,5;1,4;51,2
Leon;24008;2400802002;2021;5,3;8,4;28,9;3,2;54,1
Leon;24008;2400802002;2022;5,7;11,1;29,4;1,9;51,9
Leon;24008;2400802002;2023;6,2;9,7;29,4;1,7;53,1
Leon;24008;2400802003;2021;4,7;9,6;34,4;3,3;48,1
Leon;24008;2400802003;2022;5,3;11;34,8;1,9;47,1
Leon;24008;2400802003;2023;5,1;11,8;34,2;1,4;47,5
Leon;24008;2400803001;2021;6,3;9,8;30,3;3,1;50,6
Leon;24008;2400803001;2022;6;9,6;30,1;2,3;51,9
Leon;24008;2400803001;2023;5,8;9,6;29,2;2,4;53
Leon;24008;2400803002;2021;6,3;7,9;24,8;2,9;58,1
Leon;24008;2400803002;2022;6,6;8,8;25,3;2;57,3
Leon;24008;2400803002;2023;7,6;8,4;25,9;1,9;56,3
Leon;24009;2400901001;2021;8,5;12,3;41,7;2,8;34,7
Leon;24009;2400901001;2022;6,6;12,1;45,7;1,8;33,9
Leon;24009;2400901001;2023;6,5;14,4;41,9;1,9;35,4
Leon;24010;2401001001;2021;5,9;15,9;25,7;2,6;49,9
Leon;24010;2401001001;2022;5,9;15,8;25,8;1,5;51,1
Leon;24010;2401001001;2023;6,4;16,8;26,5;1,3;49
Leon;24010;2401001002;2021;4,2;16,5;27,3;3,5;48,5
Leon;24010;2401001002;2022;3,9;16,9;28;1,8;49,4
Leon;24010;2401001002;2023;3,9;17,8;28,1;1,7;48,5
Leon;24010;2401001003;2021;4,5;11,8;25,9;2,9;54,9
Leon;24010;2401001003;2022;4,6;10,6;27;1,9;55,9
Leon;24010;2401001003;2023;4,7;12,4;26,4;1,7;54,9
Leon;24010;2401001004;2021;5,9;10;26,4;3,2;54,5
Leon;24010;2401001004;2022;5,8;9,4;26,6;2,3;56,1
Leon;24010;2401001004;2023;6;9,7;25,4;2;56,9
Leon;24010;2401001005;2021;7,5;7;21,1;3,9;60,4
Leon;24010;2401001005;2022;7,1;7,4;22;2,9;60,6
Leon;24010;2401001005;2023;7,8;6,5;22,9;2,7;60,1
Leon;24010;2401001006;2021;6,3;10,2;30,8;3,5;49,1
Leon;24010;2401001006;2022;6,8;12;28,9;2,5;49,9
Leon;24010;2401001006;2023;7,4;12,7;28,8;2,2;48,9
Leon;24011;2401101001;2021;10,2;6,6;42,7;2,3;38,1
Leon;24011;2401101001;2022;8,5;6,1;42,2;2,6;40,7
Leon;24011;2401101001;2023;9,4;8,9;39,1;3,7;38,8
Leon;24012;2401201001;2021;4,3;8,2;33,1;1,7;52,8
Leon;24012;2401201001;2022;3,6;7,9;38,7;1;48,8
Leon;24012;2401201001;2023;3,7;8,3;38,9;0,9;48,3
Leon;24014;2401401001;2021;9,7;3,4;47;3,8;36,1
Leon;24014;2401401001;2022;10;4,6;45,1;2,9;37,4
Leon;24014;2401401001;2023;10,6;4,7;43,7;3,2;37,7
Leon;24014;2401401002;2021;9,7;6,5;39,5;3;41,4
Leon;24014;2401401002;2022;9,7;6,5;40,7;2,2;41
Leon;24014;2401401002;2023;9,3;7,3;40,8;1,8;40,9
Leon;24014;2401401003;2021;8;7,2;39,7;2,7;42,3
Leon;24014;2401401003;2022;8,4;7,7;39,8;2,3;41,9
Leon;24014;2401401003;2023;8,6;6,9;39,2;2,2;43,2
Leon;24014;2401401004;2021;10,1;8,5;41;2,7;37,7
Leon;24014;2401401004;2022;10,4;8,5;41,8;1,6;37,7
Leon;24014;2401401004;2023;10,4;8,8;40,9;1,5;38,5
Leon;24014;2401401005;2021;7,6;6,6;41,9;2,7;41,1
Leon;24014;2401401005;2022;7;6,5;43,1;2,7;40,7
Leon;24014;2401401005;2023;7,7;6,2;43,5;1,8;40,8
Leon;24014;2401401006;2021;5,8;5,9;43,5;3;41,8
Leon;24014;2401401006;2022;6,4;6,3;45;2,2;40,1
Leon;24014;2401401006;2023;5,9;6,4;43,9;1,8;42,1
Leon;24014;2401401007;2021;7,8;4,9;36,8;3,1;47,4
Leon;24014;2401401007;2022;8;4,5;38,1;2,3;47,2
Leon;24014;2401401007;2023;8,9;5,3;38,2;2,2;45,4
Leon;24015;2401501001;2021;4,6;13,8;26;1,8;53,8
Leon;24015;2401501001;2022;4,2;14,1;27;1,2;53,5
Leon;24015;2401501001;2023;4,4;14,1;27,3;1,2;53
Leon;24015;2401501002;2021;6;11,8;41,5;2,6;38,2
Leon;24015;2401501002;2022;6,2;9,7;42,6;1,9;39,7
Leon;24015;2401501002;2023;6,7;10,6;41,4;1,1;40,2
Leon;24016;2401601001;2021;5,2;5,2;42,2;2,3;45
Leon;24016;2401601001;2022;5,9;5,9;44;1,8;42,4
Leon;24016;2401601001;2023;6,3;5,2;42;2,1;44,5
Leon;24017;2401701001;2021;6,1;23,2;37,2;1,8;31,7
Leon;24017;2401701001;2022;6,6;23,4;36,9;1,8;31,4
Leon;24017;2401701001;2023;7;20,9;37,7;1,9;32,5
Leon;24018;2401801001;2021;6,1;26,6;30,7;3;33,6
Leon;24018;2401801001;2022;6,8;13,5;38,4;1,9;39,3
Leon;24018;2401801001;2023;6,4;15,1;37,2;1,4;40
Leon;24019;2401901001;2021;8,5;4;51,2;2,8;33,5
Leon;24019;2401901001;2022;7,8;4,8;50,5;2,2;34,7
Leon;24019;2401901001;2023;8,7;5,2;47,3;2,2;36,6
Leon;24020;2402001001;2021;4,7;13,4;28,8;2,7;50,4
Leon;24020;2402001001;2022;4,6;12,1;29,1;1,8;52,4
Leon;24020;2402001001;2023;4,7;11,7;32,5;2;49,1
Leon;24021;2402101001;2021;6,8;10,6;35,9;3;43,8
Leon;24021;2402101001;2022;6,8;9,7;36,8;2;44,7
Leon;24021;2402101001;2023;7,1;9,8;36,5;1,9;44,7
Leon;24022;2402201001;2021;6,2;7,5;42;3,7;40,7
Leon;24022;2402201001;2022;5,9;7,2;42,2;3,1;41,6
Leon;24022;2402201001;2023;6,5;7,8;41,3;2,6;41,9
Leon;24023;2402301001;2021;6,1;31,1;27,5;3,3;32
Leon;24023;2402301001;2022;7,1;12,5;37,1;2,1;41,2
Leon;24023;2402301001;2023;7,7;13,7;36,7;1,9;40
Leon;24024;2402401001;2021;6;18,3;32,1;2,4;41,2
Leon;24024;2402401001;2022;5,4;16,5;33,6;1,8;42,8
Leon;24024;2402401001;2023;6;16,4;33,1;1,9;42,5
Leon;24025;2402501001;2021;3,5;9;35,7;2,3;49,6
Leon;24025;2402501001;2022;3,6;10,3;36,1;1,2;48,9
Leon;24025;2402501001;2023;4,2;10,2;35;1,7;48,9
Leon;24026;2402601001;2021;5,6;21,2;34;1,5;37,7
Leon;24026;2402601001;2022;6;20,6;34;1;38,4
Leon;24026;2402601001;2023;6,1;16,4;35,4;0,8;41,3
Leon;24027;2402701001;2021;5,2;6,6;31,1;3,2;54
Leon;24027;2402701001;2022;5,3;7,4;30,7;2,2;54,5
Leon;24027;2402701001;2023;6;7,7;31,4;2,4;52,5
Leon;24028;2402801001;2021;4,7;20,5;34,6;1,4;38,8
Leon;24028;2402801001;2022;4,1;18,8;35,7;1;40,4
Leon;24028;2402801001;2023;4,2;23,8;34;0,6;37,4
Leon;24029;2402901001;2021;6,5;7;50,8;2,7;33,1
Leon;24029;2402901001;2022;6;7,8;50,5;1,6;34,2
Leon;24029;2402901001;2023;6,5;9,2;49,7;1,7;32,9
Leon;24030;2403001001;2021;5;12,6;29,8;3,3;49,3
Leon;24030;2403001001;2022;5;12,9;30,4;2,2;49,5
Leon;24030;2403001001;2023;5,4;12,7;29,6;1,7;50,6
Leon;24030;2403001002;2021;5,7;11;31;2,9;49,4
Leon;24030;2403001002;2022;5,8;10,8;30,3;1,9;51,2
Leon;24030;2403001002;2023;6,3;9,5;31,6;1,9;50,7
Leon;24030;2403001003;2021;7,3;6,1;42;3,8;40,9
Leon;24030;2403001003;2022;7;6;41,5;2,4;43,1
Leon;24030;2403001003;2023;5,8;5,3;41,5;1,8;45,7
Leon;24030;2403001004;2021;6,3;6;33,4;3,9;50,4
Leon;24030;2403001004;2022;5,9;7,6;33,8;3,1;49,6
Leon;24030;2403001004;2023;5,9;8,4;33,3;2,4;49,9
Leon;24031;2403101001;2021;7,5;18,8;30,7;1,9;41,2
Leon;24031;2403101001;2022;9;19;29,6;1,9;40,5
Leon;24031;2403101001;2023;8,1;17,1;31,6;0,8;42,4
Leon;24032;2403201001;2021;2,7;23,4;27,7;2,2;44,1
Leon;24032;2403201001;2022;4,6;19,3;27,3;1;47,8
Leon;24032;2403201001;2023;4;19,8;27,5;0,8;48
Leon;24033;2403301001;2021;4,6;19,4;37;1,7;37,2
Leon;24033;2403301001;2022;4,1;21,5;34;1;39,4
Leon;24033;2403301001;2023;5,7;18,3;32,7;1,2;42,1
Leon;24034;2403401001;2021;5,8;7,9;27,7;3,4;55,2
Leon;24034;2403401001;2022;5,3;8,6;28,1;2,3;55,7
Leon;24034;2403401001;2023;5,4;9,2;28,1;1,9;55,5
Leon;24034;2403401002;2021;7,4;7,9;36,1;3,3;45,3
Leon;24034;2403401002;2022;6,2;7,9;35,9;2;48
Leon;24034;2403401002;2023;6,5;9;35,3;2,1;47,1
Leon;24034;2403401003;2021;5,3;7,9;20,6;3,6;62,7
Leon;24034;2403401003;2022;5,1;8,5;21,7;3;61,7
Leon;24034;2403401003;2023;5,3;9;22,8;3,4;59,6
Leon;24036;2403601001;2021;11,7;9,5;45,9;3,1;29,7
Leon;24036;2403601001;2022;11;11,4;43;1,8;32,9
Leon;24036;2403601001;2023;11,4;8,5;42,8;1,4;35,9
Leon;24037;2403701001;2021;5,8;9,6;43,5;2,8;38,2
Leon;24037;2403701001;2022;6,2;10,4;46;1,3;36,2
Leon;24037;2403701001;2023;5,9;10;47,2;1,4;35,6
Leon;24038;2403801001;2021;5,8;10;32,3;2,9;49
Leon;24038;2403801001;2022;5,5;10,2;32,8;2,2;49,3
Leon;24038;2403801001;2023;5,3;10,9;33;2,1;48,7
Leon;24038;2403801002;2021;6,4;6,4;34,8;3,2;49,3
Leon;24038;2403801002;2022;6,3;8,1;34,7;2;49
Leon;24038;2403801002;2023;6,4;8,9;34,8;2,3;47,7
Leon;24039;2403901001;2021;5,1;13,2;24;3,4;54,4
Leon;24039;2403901001;2022;5;13,2;25,5;2,2;54,2
Leon;24039;2403901001;2023;5,2;14,3;24,4;2;54,1
Leon;24039;2403901002;2021;4;13,4;32,8;2,4;47,5
Leon;24039;2403901002;2022;3,9;12,9;33,9;1,3;48
Leon;24039;2403901002;2023;4,3;13,8;32,8;0,9;48,1
Leon;24040;2404001001;2021;4,7;13,4;33,4;2,4;46,2
Leon;24040;2404001001;2022;4,5;10,4;35,8;1,5;47,9
Leon;24040;2404001001;2023;3,8;9,2;35,7;1,1;50,2
Leon;24041;2404101001;2021;5,4;9,5;44,9;2,9;37,3
Leon;24041;2404101001;2022;6,2;8,5;45,5;2,4;37,5
Leon;24041;2404101001;2023;5,1;7,3;47,2;2,6;37,7
Leon;24043;2404301001;2021;2,3;5;47,8;3,7;41,3
Leon;24043;2404301001;2022;3,5;4,2;47,4;2,1;42,8
Leon;24043;2404301001;2023;2,1;5,6;47,8;1,9;42,7
Leon;24044;2404401001;2021;7,1;8;45,6;1,5;37,7
Leon;24044;2404401001;2022;8,8;7,1;46,8;0,5;36,8
Leon;24044;2404401001;2023;9;8,8;45;0,9;36,3
Leon;24046;2404601001;2021;6,3;8,5;34,5;2,4;48,2
Leon;24046;2404601001;2022;6,2;8,7;34,8;2;48,3
Leon;24046;2404601001;2023;6,3;7,4;34,9;1,8;49,6
Leon;24047;2404701001;2021;6,4;9,9;42,9;2,5;38,3
Leon;24047;2404701001;2022;6,4;10,3;42,7;1,9;38,7
Leon;24047;2404701001;2023;6;10,3;42;1,9;39,8
Leon;24049;2404901001;2021;7,8;6,1;43,2;2,8;40,2
Leon;24049;2404901001;2022;7,4;6,8;42,8;1,7;41,3
Leon;24049;2404901001;2023;8,1;6,7;42,1;1,8;41,4
Leon;24050;2405001001;2021;4,7;39,9;22,2;2,1;31,1
Leon;24050;2405001001;2022;6,2;24,1;26,6;2,2;40,9
Leon;24050;2405001001;2023;5,3;25,2;23,4;1,6;44,5
Leon;24051;2405101001;2021;5;17;34,4;1,6;42
Leon;24051;2405101001;2022;5,4;19,2;33,4;0,8;41,2
Leon;24051;2405101001;2023;5,5;16,8;33,9;1,4;42,5
Leon;24052;2405201001;2021;6;9,9;45,9;0,9;37,3
Leon;24052;2405201001;2022;5;13,7;44,9;0,6;35,9
Leon;24052;2405201001;2023;6;14,9;43,9;0,8;34,4
Leon;24053;2405301001;2021;7,6;17,8;34,9;2,1;37,6
Leon;24053;2405301001;2022;6,9;18,4;34,6;1;39
Leon;24053;2405301001;2023;7,3;18,9;34,1;0,9;38,8
Leon;24054;2405401001;2021;4,5;19;30,3;1,9;44,4
Leon;24054;2405401001;2022;4,8;17,9;31,6;1,8;43,9
Leon;24054;2405401001;2023;4,4;18,3;33,4;1,6;42,2
Leon;24055;2405501001;2021;5,5;17,8;31,7;2,1;42,9
Leon;24055;2405501001;2022;5,4;18,7;32,3;1,4;42,2
Leon;24055;2405501001;2023;5,5;16;33,7;1,5;43,3
Leon;24056;2405601001;2021;7,3;10,5;36;3,1;43,1
Leon;24056;2405601001;2022;7,5;10,4;36,5;1,7;43,9
Leon;24056;2405601001;2023;7,6;9,8;36,9;1,7;44
Leon;24056;2405601002;2021;5,8;7,5;37,7;2,5;46,6
Leon;24056;2405601002;2022;5,1;7,9;37,7;1,8;47,4
Leon;24056;2405601002;2023;5,3;9,8;36,3;1,6;47
Leon;24057;2405701001;2021;6,8;5,9;38,3;2,8;46,3
Leon;24057;2405701001;2022;6,7;6,5;38,9;1,9;46
Leon;24057;2405701001;2023;6,4;9,5;37,2;1,6;45,4
Leon;24058;2405801001;2021;5,7;26,3;28,8;1,7;37,7
Leon;24058;2405801001;2022;4,4;28,6;28;1,1;37,9
Leon;24058;2405801001;2023;4,6;25,1;30,1;1,1;39,1
Leon;24059;2405901001;2021;5,5;6;45,8;3,4;39,3
Leon;24059;2405901001;2022;5,6;5,5;46,4;2,5;40
Leon;24059;2405901001;2023;6;6,1;45,2;2,6;40,2
Leon;24060;2406001001;2021;3,8;10,8;43,7;2,9;38,9
Leon;24060;2406001001;2022;3,7;9,8;40,8;1,6;44,1
Leon;24060;2406001001;2023;4,5;12;39,7;1,8;42
Leon;24061;2406101001;2021;5;8,2;27,1;2,3;57,4
Leon;24061;2406101001;2022;4,7;8,6;27,3;1,7;57,7
Leon;24061;2406101001;2023;4,7;9,2;27,8;1,5;56,8
Leon;24062;2406201001;2021;8,4;19,2;37,2;1,6;33,6
Leon;24062;2406201001;2022;9,6;13,3;43;0,8;33,3
Leon;24062;2406201001;2023;10,2;16,2;41,1;0,4;32,1
Leon;24063;2406301001;2021;4,7;13,3;33,2;1,6;47,2
Leon;24063;2406301001;2022;4,4;13,4;33,9;1,3;47
Leon;24063;2406301001;2023;4,8;16,7;32,5;1,1;45
Leon;24064;2406401001;2021;4,5;5,1;29,4;3;58
Leon;24064;2406401001;2022;5,1;5,5;30,3;2,3;56,8
Leon;24064;2406401001;2023;5,4;5,7;29,9;2,4;56,6
Leon;24065;2406501001;2021;5,1;8,8;22,8;3;60,3
Leon;24065;2406501001;2022;4,7;7,8;23,3;2,2;62,1
Leon;24065;2406501001;2023;5,1;8,1;23,4;1,9;61,5
Leon;24065;2406501002;2021;5,9;18,8;26,1;2,1;47,1
Leon;24065;2406501002;2022;5,9;17,3;27,9;1,2;47,8
Leon;24065;2406501002;2023;7;14,2;30,5;1,3;47,1
Leon;24066;2406601001;2021;6,2;15,6;40,1;1,6;36,6
Leon;24066;2406601001;2022;6,2;13,8;39,9;1,3;38,9
Leon;24066;2406601001;2023;5,6;13,4;39,2;1,3;40,5
Leon;24067;2406701001;2021;5,7;15,9;29,8;1,6;47,1
Leon;24067;2406701001;2022;5,6;19,3;29;1;45,2
Leon;24067;2406701001;2023;3,7;41,1;21;0,8;33,5
Leon;24068;2406801001;2021;5,8;9,4;40,7;2,7;41,4
Leon;24068;2406801001;2022;5,8;8,5;44,3;1,5;39,9
Leon;24068;2406801001;2023;5,2;15,6;38,9;1,5;38,8
Leon;24070;2407001001;2021;8,3;7,2;45;2,7;36,9
Leon;24070;2407001001;2022;8,5;6,7;45,3;2;37,5
Leon;24070;2407001001;2023;8,9;6,2;45,8;1,8;37,4
Leon;24070;2407001002;2021;9,5;2,7;43,5;2,6;41,8
Leon;24070;2407001002;2022;8,6;2,9;45,7;1,9;40,9
Leon;24070;2407001002;2023;8,3;3,5;44,8;1,8;41,6
Leon;24070;2407001003;2021;8,3;3,2;51,3;3,1;34,2
Leon;24070;2407001003;2022;8,7;3,5;53;1,9;32,9
Leon;24070;2407001003;2023;8,9;3,7;54;1,9;31,5
Leon;24070;2407001004;2021;8,1;4,8;46,3;3,3;37,6
