Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05037;0503701001;2023;10,9;13,9;35;2,9;37,3
Avila;05038;0503801001;2021;6,9;16,8;36,2;1,5;38,5
Avila;05038;0503801001;2022;7,3;14,4;29,4;1,8;47,1
Avila;05038;0503801001;2023;8,4;11,5;34,1;1,2;44,7
Avila;05041;0504101001;2021;5,3;14,1;29,9;3,9;46,9
Avila;05041;0504101001;2022;5,4;14,2;29,2;1,8;49,4
Avila;05041;0504101001;2023;6;15;30,1;1,8;47,2
Avila;05042;0504201001;2021;3,8;22,2;24,2;2,9;47
Avila;05042;0504201001;2022;3,3;25,4;24,8;1,5;45,1
Avila;05042;0504201001;2023;2,8;24,1;25,2;2,4;45,5
Avila;05044;0504401001;2021;3,9;23,6;39,2;2,3;31
Avila;05044;0504401001;2022;3,9;12;45,9;2,4;35,8
Avila;05044;0504401001;2023;4,4;22,7;36,6;2,1;34,3
Avila;05047;0504701001;2021;6,7;9,8;30,8;3,6;49,1
Avila;05047;0504701001;2022;6,6;12,5;28,6;2,9;49,4
Avila;05047;0504701001;2023;6;10,9;31,4;2,2;49,5
Avila;05047;0504703001;2021;5,2;12,9;25,5;4,1;52,3
Avila;05047;0504703001;2022;5,5;13,8;26;2,7;52
Avila;05047;0504703001;2023;5,6;13,5;25,9;2,4;52,6
Avila;05047;0504703002;2021;5;14,9;28,5;4,3;47,4
Avila;05047;0504703002;2022;4,5;13,9;28,7;2,7;50,2
Avila;05047;0504703002;2023;4,9;14,8;28,8;2,4;49,2
Avila;05047;0504703003;2021;4,4;11;31,4;4,4;48,8
Avila;05047;0504703003;2022;4,2;10,4;32,7;2,9;49,8
Avila;05049;0504901001;2021;5,3;12,6;24,8;1,7;55,7
Avila;05049;0504901001;2022;3,8;11,4;25,5;1,4;57,9
Avila;05049;0504901001;2023;3,3;11,7;25,7;1,2;58,1
Avila;05051;0505101001;2021;4,8;9,4;30,4;1,3;54,1
Avila;05051;0505101001;2022;3,6;7,5;30;3;55,9
Avila;05051;0505101001;2023;3,6;11,3;33;1,5;50,6
Avila;05054;0505401001;2021;5,2;10,6;29,2;5,1;50
Avila;05054;0505401001;2022;5,1;12,2;30,4;3;49,4
Avila;05054;0505401001;2023;5,4;12,5;30;2,9;49,2
Avila;05055;0505501001;2021;6,4;12,1;32,3;3,2;45,9
Avila;05055;0505501001;2022;6,5;12,9;30,4;2,3;47,9
Avila;05055;0505501001;2023;6;13,3;29,8;2,5;48,3
Avila;05056;0505601001;2022;2,3;21,7;20,1;0,9;55,1
Avila;05056;0505601001;2023;2,7;19,7;22;1,5;54,1
Avila;05057;0505701001;2021;6,1;10,4;30,1;4,9;48,6
Avila;05057;0505701001;2022;5,8;10,3;32,8;3,7;47,4
Avila;05057;0505701001;2023;6,5;9,1;32,3;3,2;48,9
Avila;05057;0505702001;2021;6,5;7;36,7;4,5;45,4
Avila;05057;0505702001;2022;6,2;8,3;32,8;3;49,7
Avila;05057;0505702002;2021;4,7;21,6;19,6;3,3;50,8
Avila;05057;0505702002;2022;6,1;12,6;22,3;2,5;56,5
Avila;05057;0505702002;2023;6,3;12;22,8;2,4;56,6
Avila;05060;0506001001;2021;4,1;26,2;26,8;2,3;40,7
Avila;05060;0506001001;2022;3,2;21,1;30,7;0,3;44,8
Avila;05060;0506001001;2023;3,3;19,9;31,8;1,9;43,1
Avila;05061;0506101001;2021;2,6;6,5;17,6;4,1;69,2
Avila;05061;0506101001;2022;4;8,9;15,8;1,8;69,6
Avila;05061;0506101001;2023;4;9,3;15,7;1,6;69,4
Avila;05062;0506201001;2021;3,8;26,8;24,9;0,6;44
Avila;05062;0506201001;2022;3,7;28,5;25;0,1;42,7
Avila;05062;0506201001;2023;2,8;35,3;22,9;0,3;38,7
