CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;viviendas_pre2000;viviendas_reformadas_2000;pct_reformado_2000;Seccion_id
2408906017;1883;126,639;2006;0,010;0,290;181;1;0,550;3535
2408907001;792;110,234;1979;0,010;0,570;602;1;0,170;1060
2408907002;644;96,849;1979;0,010;0,320;523;0;0,000;1061
2408907003;1099;125,058;1989;0,010;0,570;669;17;2,540;1062
2408907004;570;116,063;1968;0,010;0,900;559;1;0,180;1063
2408907005;1335;150,897;2006;0,000;0,220;0;0;;1064
2408907006;893;133,585;1985;0,000;0,180;889;0;0,000;1065
2408907007;918;108,917;1981;0,010;0,510;699;17;2,430;1066
2408907008;692;110,665;1978;0,010;0,390;648;12;1,850;1067
2408907009;450;124,078;1990;0,000;0,310;450;0;0,000;3471
2408907010;686;112,286;1968;0,010;0,690;667;19;2,850;1068
2408907011;910;135,890;1991;0,000;0,270;813;0;0,000;1069
2408907012;711;112,342;1980;0,010;0,560;676;1;0,150;1070
2408907013;446;131,034;1974;0,010;0,410;427;34;7,960;1071
2408908001;551;147,437;1980;0,010;0,590;404;41;10,150;1072
2408908002;1107;142,452;1993;0,010;0,460;421;43;10,210;3508
2408909001;1256;145,334;1974;0,010;0,700;999;81;8,110;1073
2408909002;439;169,141;1978;0,010;0,630;344;27;7,850;1074
2408909003;431;115,907;1986;0,010;0,710;418;3;0,720;1075
2408910001;778;121,757;1973;0,010;0,480;751;8;1,070;1076
2408910002;864;93,604;1972;0,000;0,470;864;0;0,000;1077
2408910003;511;103,769;1978;0,010;0,600;435;4;0,920;1078
2408910004;777;107,943;1973;0,000;0,300;777;1;0,130;1079
2408910005;864;118,102;1978;0,010;0,470;715;6;0,840;1080
2408910006;795;116,107;1980;0,010;0,390;703;1;0,140;1081
2408910007;1090;120,363;1991;0,010;0,320;437;5;1,140;1082
2409001001;661;197,776;1917;0,020;0,570;598;168;28,090;1083
2409101001;667;306,280;1921;0,020;0,460;633;158;24,960;1084
2409201001;743;341,532;1959;0,020;0,540;664;175;26,360;1085
2409301001;527;277,852;1948;0,010;0,580;477;140;29,350;1086
2409401001;1319;178,265;1966;0,020;0,760;1200;166;13,830;1087
2409501001;281;284,473;1956;0,020;0,580;236;94;39,830;1088
2409601001;194;211,696;1965;0,010;0,650;174;48;27,590;1089
2409701001;175;358,851;1929;0,010;0,450;168;36;21,430;1090
2409801001;1270;226,644;1943;0,020;0,650;1188;131;11,030;1091
2409901001;295;299,946;1930;0,020;0,520;285;56;19,650;1092
2410001001;737;178,563;1974;0,020;0,670;585;171;29,230;3492
2410101001;780;244,413;1931;0,010;0,580;734;111;15,120;1093
2410201001;1686;129,306;1954;0,020;0,740;1586;289;18,220;1094
2410301001;464;183,933;1924;0,020;0,590;408;124;30,390;1095
2410401001;333;298,240;1960;0,010;0,530;321;98;30,530;1096
2410501001;1076;246,539;1982;0,010;0,550;673;79;11,740;1097
2410601001;369;175,726;1958;0,020;0,620;330;42;12,730;1098
2410701001;315;273,432;1941;0,020;0,550;298;82;27,520;1099
2410801001;371;332,887;1958;0,020;0,560;346;14;4,050;1100
2410901001;1024;212,528;1947;0,020;0,690;959;129;13,450;3490
2411001001;1478;168,581;1959;0,020;0,750;1387;145;10,450;3491
2411201001;624;132,091;1959;0,020;0,680;479;165;34,450;1101
2411301001;281;317,434;1957;0,010;0,450;274;79;28,830;1102
2411401001;1334;174,767;1962;0,010;0,740;1182;406;34,350;1103
2411401002;787;122,307;1955;0,010;0,700;780;166;21,280;1104
2411401003;715;164,738;1952;0,010;0,640;693;173;24,960;1105
2411501001;922;137,958;1985;0,010;0,380;737;1;0,140;1106
2411501002;817;138,984;1979;0,010;0,460;716;1;0,140;1107
2411501003;918;160,304;1985;0,020;0,740;579;34;5,870;1108
2411501004;658;133,590;1992;0,010;0,410;380;3;0,790;1109
2411501005;987;137,722;1987;0,010;0,340;810;0;0,000;1110
2411501006;1154;123,988;1983;0,010;0,430;890;6;0,670;3499
2411501007;1028;129,985;1982;0,010;0,460;851;0;0,000;1111
2411501008;810;113,217;1987;0,010;0,440;551;1;0,180;1112
2411501009;632;131,794;1990;0,010;0,460;446;1;0,220;1113
2411501010;616;126,969;1979;0,010;0,500;533;6;1,130;1114
2411501011;675;131,299;1996;0,020;0,560;209;12;5,740;1115
2411501012;971;138,792;1998;0,000;0,310;512;2;0,390;1116
2411502001;823;132,983;1988;0,010;0,320;709;1;0,140;1117
2411502002;806;134,989;1982;0,010;0,540;578;0;0,000;1118
2411502003;802;145,708;1980;0,010;0,590;709;2;0,280;1119
2411502004;919;139,164;1987;0,010;0,490;522;4;0,770;1120
2411502005;895;126,354;1984;0,010;0,350;708;0;0,000;1121
2411502006;749;131,495;1977;0,010;0,600;626;10;1,600;1122
2411502007;1021;136,461;1983;0,010;0,490;780;7;0,900;1123
2411502008;842;119,482;1984;0,010;0,510;593;0;0,000;1124
2411502009;548;159,748;1984;0,000;0,080;548;0;0,000;1125
2411502010;833;135,492;1982;0,010;0,670;686;15;2,190;1126
2411502011;514;93,370;1980;0,000;0,240;514;3;0,580;1127
2411502012;615;110,802;1974;0,010;0,380;568;0;0,000;1128
2411502013;1062;125,574;1991;0,010;0,330;786;0;0,000;1129
2411502014;533;148,867;1980;0,010;0,410;488;0;0,000;1130
2411502015;612;249,967;2000;0,000;0,560;221;0;0,000;1131
2411502016;1442;154,477;2008;0,000;0,380;0;0;;1132
2411502017;1198;143,905;2008;0,000;0,250;0;0;;1133
2411503001;882;153,417;1990;0,010;0,620;485;1;0,210;1134
2411503002;1195;124,766;1977;0,010;0,480;1094;3;0,270;1135
2411503003;1396;130,504;1987;0,010;0,560;754;8;1,060;1136
2411503004;655;175,072;1985;0,010;0,680;404;23;5,690;1137
2411503005;811;146,274;1982;0,010;0,630;641;13;2,030;1138
2411503006;722;100,115;1969;0,010;0,840;608;2;0,330;1139
2411503007;1136;268,397;1983;0,020;0,500;852;36;4,230;1140
2411504001;1010;250,691;1976;0,020;0,640;764;47;6,150;3493
2411504002;531;204,209;1952;0,030;0,560;467;41;8,780;1141
2411505001;1204;173,738;1987;0,010;0,590;699;13;1,860;1142
2411505002;553;224,251;1981;0,010;0,580;431;29;6,730;1143
2411505003;808;220,088;1980;0,020;0,580;620;25;4,030;1144
2411505004;926;203,543;1981;0,010;0,460;643;16;2,490;1145
2411505005;596;235,473;1976;0,010;0,590;472;14;2,970;1146
2411505006;947;186,228;1986;0,010;0,640;650;19;2,920;1147
2411505007;1064;207,629;1991;0,010;0,600;589;29;4,920;3496
2411506001;1305;181,779;1928;0,020;0,700;1215;185;15,230;1148
2411601001;415;210,716;1965;0,020;0,630;349;100;28,650;1149
2411701001;408;237,061;1962;0,020;0,520;376;81;21,540;1150
2411801001;192;207,859;1947;0,020;0,600;184;22;11,960;1151
2411901001;546;256,342;1931;0,020;0,560;496;96;19,350;1152
2412001001;550;209,618;1967;0,020;0,530;433;58;13,390;1153
2412101001;1651;112,081;1975;0,020;0,830;1010;130;12,870;1154
2412201001;1073;207,897;1947;0,020;0,590;983;97;9,870;1155
